מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,סטאטוס סחירות,זירת מסחר,נכס בסיס (כתב אופציה),ענף מסחר,תאריך פקיעה,בעל עניין/צד קשור,מטבע פעילות,שער מימוש,יחס המרה,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,"שווי הוגן (באלפי ש""ח)",שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה,Unnamed: 25,סוף מידע
1328,9759.0,Athena Technology Acquisition,5493008CK2CE7TGDP465,LEI,Athena Technology Acquisition,US04687C1137,ISIN,"חו""ל","ארה""ב",סחיר,NYSE,US04687C1053,Financial Services,2028-10-17,לא,USD,11.5,1.0,2783.46,3.306,2.7,0.248,0.001268,0.0,,
1328,9759.0,TABOOLA.COM LTD,984500F5945AFAFFCB30,LEI,Taboola.com Ltd,IL0011754210,ISIN,"חו""ל",ישראל,סחיר,NASDAQ,IL0011754137,Trading Companies & Distributors,2026-06-29,לא,USD,11.5,1.0,1221.05,3.306,8.5,0.343,0.001751,0.0,,
1328,9759.0,SATELLOGIC INC-A,14211,פנימי,Satellogic Inc,US80401C1181,ISIN,"חו""ל","ארה""ב",סחיר,NASDAQ,VGG7823S1011,Aerospace & Defense,2027-01-25,לא,USD,11.5,1.0,1102.87,3.306,35.0,1.276,0.006513,0.0,,
1328,9759.0,HELIOGEN INC,14185,פנימי,Heliogen Inc,US42329E1139,ISIN,"חו""ל","ארה""ב",סחיר,NYSE,US42329E1055,Electric Utilities,2028-03-31,לא,USD,402.5,1.0,497.84,3.306,0.71,0.012,5.9e-05,0.0,,
1328,9759.0,SLAM CORP-A,13860,פנימי,Slam Corp,KYG8210L1216,ISIN,"חו""ל","ארה""ב",סחיר,NASDAQ,KYG8210L1059,Financial Services,2026-02-23,לא,USD,11.5,1.0,954.62,3.306,0.5,0.016,8e-05,0.0,,
1328,9759.0,Ginkgo Bioworks Holdings Inc,254900B6L3GN956CY454,LEI,Ginkgo Bioworks Holdings Inc,US37611X1182,ISIN,"חו""ל","ארה""ב",סחיר,NYSE,US37611X2099,Biotechnology,2026-09-16,לא,USD,11.5,1.0,3844.88,3.306,0.73,0.093,0.000473,0.0,,
1328,9759.0,EVe Mobility Acquisition Corp,14175,פנימי,EVe Mobility Acquisition Corp,KYG3218G1174,ISIN,"חו""ל","ארה""ב",סחיר,NYSE,KYG3218G1091,Financial Services,2028-12-31,לא,USD,11.5,1.0,2444.0,3.306,4.5,0.364,0.001855,0.0,,
1328,9759.0,DHC Acquisition Corp,13677,פנימי,Brand Engagement Network Inc,US1049321169,ISIN,"חו""ל","ארה""ב",סחיר,NASDAQ,US1049321086,Software,2029-03-14,לא,USD,11.5,1.0,452.59,3.306,1.53,0.023,0.000116,0.0,,
1328,9759.0,AIRSHIP AI HOLDINGS INC,14482,פנימי,Airship AI Holdings Inc,US0089401162,ISIN,"חו""ל","ארה""ב",סחיר,NASDAQ,US0089401089,Software,2028-12-31,לא,USD,11.5,1.0,4514.64,3.306,167.0,24.925,0.127223,1e-05,,
1328,9759.0,NIOCORP DEVELOPMENTS LTD,5299001QL26XJPOD3A17,LEI,NioCorp Developments Ltd,CA6544841530,ISIN,"חו""ל","ארה""ב",סחיר,NASDAQ,CA6544846091,Metals & Mining,2028-03-17,לא,USD,8.942,1.0,3055.01,3.306,184.0,18.584,0.094854,8e-06,,
1328,9759.0,JAWS MUSTANG ACQUISITION C-A,13839,פנימי,Jaws Mustang Acquisition Corp,KYG507371246,ISIN,"חו""ל","ארה""ב",סחיר,NYSE,KYG507371089,Financial Services,2026-01-30,לא,USD,11.5,1.0,202.15,3.306,3.38,0.023,0.000115,0.0,,
1328,9759.0,ECARX HOLDINGS INC-CL A,70625,פנימי,ECARX Holdings Inc,KYG292011114,ISIN,"חו""ל",קנדה,סחיר,NASDAQ,KYG292011031,Automobile Components,2027-12-21,לא,USD,11.5,1.0,4073.31,3.306,6.0,0.808,0.004124,0.0,,
