מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,בעל עניין/צד קשור,נכס בסיס,תאריך רכישה,דירוג,שם מדרג,דירוג נייר הערך/המנפיק,מטבע פעילות,"מח""מ",שיעור ריבית,תשואה לפדיון,סוג גורם משערך,תלות/אי-תלות המשערך,תאריך שערוך אחרון,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,"שווי הוגן (באלפי ש""ח)",שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה,Unnamed: 30,סוף מידע
1329,9761.0,TAURUS CMBS,12489.0,פנימי,TAURS 2020-NL1X (NL CMBS),70514757.0,פנימי,שכבת חוב (Tranche) בדרוג AA- ומעלה,"חו""ל",הולנד,לא,משכנתאות או תיקי משכנתאות,2020-03-03,A+,Fitch,נייר ערך,EUR,0.39,0.0342,0.0467,מומחה בלתי תלוי,אי-תלות,2025-09-30,28000.0,3.8807,51.192226,55.625,0.059218,0.000118,,
1329,9761.0,MADISON AVENUE TRUST,11411.0,פנימי,MAD 2015-11/144A/D (US CMBS),70707559.0,פנימי,שכבת חוב (Tranche) בדרוג BB+ ומטה,"חו""ל","ארה""ב",לא,משכנתאות או תיקי משכנתאות,2015-09-21,NR,NR,NR,USD,0.02,0.036733,0.1244,מומחה בלתי תלוי,אי-תלות,2024-09-30,5705.0,3.306,98.705,18.616,0.019818,3.9e-05,,
1329,9762.0,TAURUS CMBS,12489.0,פנימי,TAURS 2020-NL1X (NL CMBS),70514757.0,פנימי,שכבת חוב (Tranche) בדרוג AA- ומעלה,"חו""ל",הולנד,לא,משכנתאות או תיקי משכנתאות,2020-03-03,A+,Fitch,נייר ערך,EUR,0.39,0.0342,0.0467,מומחה בלתי תלוי,אי-תלות,2025-09-30,8000.0,3.8807,51.192226,15.893,0.046574,8.7e-05,,
1329,9762.0,MADISON AVENUE TRUST,11411.0,פנימי,MAD 2015-11/144A/D (US CMBS),70707559.0,פנימי,שכבת חוב (Tranche) בדרוג BB+ ומטה,"חו""ל","ארה""ב",לא,משכנתאות או תיקי משכנתאות,2015-09-21,NR,NR,NR,USD,0.02,0.036733,0.1244,מומחה בלתי תלוי,אי-תלות,2024-09-30,4000.0,3.306,98.705,13.053,0.038251,7.2e-05,,
1329,9762.0,ARES CLO Ltd,12623.0,פנימי,ARES 2017-43X A1R2 Mtge (CLO),70206307.0,פנימי,שכבת חוב (Tranche) בדרוג AA- ומעלה,"חו""ל","ארה""ב",לא,אחר,2024-12-13,AAA,S&P,נייר ערך,USD,4.94,0.0555,0.0524,מומחה בלתי תלוי,אי-תלות,2025-09-30,32000.0,3.306,100.39,106.205,0.311233,0.000587,,
1329,9762.0,"Sound Point CLO XXXI, Ltd",70239.0,פנימי,SNDPT 2021-3X A (CLO),70109369.0,פנימי,שכבת חוב (Tranche) בדרוג AA- ומעלה,"חו""ל","ארה""ב",לא,אחר,2021-08-10,AAA,Moodys,נייר ערך,USD,3.23,0.0540639,0.069,מומחה בלתי תלוי,אי-תלות,2025-09-02,13000.0,3.306,100.22,43.073,0.126224,0.000238,,
1329,9762.0,Sound Point XXIV LTD,70350.0,פנימי,SNDPT 2019-3X AR (CLO),70117567.0,פנימי,שכבת חוב (Tranche) בדרוג AA- ומעלה,"חו""ל","ארה""ב",לא,אחר,2021-10-27,AAA,Moodys,נייר ערך,USD,3.38,0.0541639,0.0704,מומחה בלתי תלוי,אי-תלות,2024-09-30,16000.0,3.306,99.98,52.885,0.154981,0.000292,,
1329,9762.0,Octagon Investment Partners 46 LLC,70236.0,פנימי,Oct46 2020-2X AR MT (CLO),70109107.0,פנימי,שכבת חוב (Tranche) בדרוג AA- ומעלה,"חו""ל","ארה""ב",לא,אחר,2021-08-05,AAA,S&P,נייר ערך,USD,3.5,0.0539799,0.0537,מומחה בלתי תלוי,אי-תלות,2025-09-30,15000.0,3.306,100.249,49.713,0.145685,0.000274,,
1329,9762.0,"Sound Point CLO XXXI, Ltd",70239.0,פנימי,SNDPT 2020-1X AR MTGE (CLO),70105862.0,פנימי,שכבת חוב (Tranche) בדרוג AA- ומעלה,"חו""ל","ארה""ב",לא,אחר,2021-07-02,AAA,S&P,נייר ערך,USD,3.25,0.0540639,0.0538,מומחה בלתי תלוי,אי-תלות,2025-01-30,18229.0,3.306,100.25,60.416,0.177048,0.000333,,
1329,9763.0,"Sound Point CLO XXXI, Ltd",70239.0,פנימי,SNDPT 2020-1X AR MTGE (CLO),70105862.0,פנימי,שכבת חוב (Tranche) בדרוג AA- ומעלה,"חו""ל","ארה""ב",לא,אחר,2021-07-02,AAA,S&P,נייר ערך,USD,3.25,0.0540639,0.0538,מומחה בלתי תלוי,אי-תלות,2025-01-30,16043.0,3.306,100.25,53.171,0.184419,0.000806,,
1329,9763.0,Octagon Investment Partners 46 LLC,70236.0,פנימי,Oct46 2020-2X AR MT (CLO),70109107.0,פנימי,שכבת חוב (Tranche) בדרוג AA- ומעלה,"חו""ל","ארה""ב",לא,אחר,2021-08-05,AAA,S&P,נייר ערך,USD,3.5,0.0539799,0.0537,מומחה בלתי תלוי,אי-תלות,2025-09-30,14000.0,3.306,100.249,46.399,0.160933,0.000703,,
1329,9763.0,"Sound Point CLO XXXI, Ltd",70239.0,פנימי,SNDPT 2021-3X A (CLO),70109369.0,פנימי,שכבת חוב (Tranche) בדרוג AA- ומעלה,"חו""ל","ארה""ב",לא,אחר,2021-08-10,AAA,Moodys,נייר ערך,USD,3.23,0.0540639,0.069,מומחה בלתי תלוי,אי-תלות,2025-09-02,10000.0,3.306,100.22,33.133,0.114919,0.000502,,
1329,9763.0,ARES CLO Ltd,12623.0,פנימי,ARES 2017-43X A1R2 Mtge (CLO),70206307.0,פנימי,שכבת חוב (Tranche) בדרוג AA- ומעלה,"חו""ל","ארה""ב",לא,אחר,2024-12-13,AAA,S&P,נייר ערך,USD,4.94,0.0555,0.0524,מומחה בלתי תלוי,אי-תלות,2025-09-30,26000.0,3.306,100.39,86.291,0.299296,0.001308,,
1329,9763.0,Sound Point XXIV LTD,70350.0,פנימי,SNDPT 2019-3X AR (CLO),70117567.0,פנימי,שכבת חוב (Tranche) בדרוג AA- ומעלה,"חו""ל","ארה""ב",לא,אחר,2021-10-27,AAA,Moodys,נייר ערך,USD,3.38,0.0541639,0.0704,מומחה בלתי תלוי,אי-תלות,2024-09-30,12000.0,3.306,99.98,39.664,0.137572,0.000601,,
1329,9763.0,TAURUS CMBS,12489.0,פנימי,TAURS 2020-NL1X (NL CMBS),70514757.0,פנימי,שכבת חוב (Tranche) בדרוג AA- ומעלה,"חו""ל",הולנד,לא,משכנתאות או תיקי משכנתאות,2020-03-03,A+,Fitch,נייר ערך,EUR,0.39,0.0342,0.0467,מומחה בלתי תלוי,אי-תלות,2025-09-30,10000.0,3.8807,51.192226,19.866,0.068904,0.000301,,
1329,9763.0,MADISON AVENUE TRUST,11411.0,פנימי,MAD 2015-11/144A/D (US CMBS),70707559.0,פנימי,שכבת חוב (Tranche) בדרוג BB+ ומטה,"חו""ל","ארה""ב",לא,משכנתאות או תיקי משכנתאות,2015-09-21,NR,NR,NR,USD,0.02,0.036733,0.1244,מומחה בלתי תלוי,אי-תלות,2024-09-30,3000.0,3.306,98.705,9.79,0.033954,0.000148,,
1329,13212.0,"Sound Point CLO XXXI, Ltd",70239.0,פנימי,SNDPT 2020-1X AR MTGE (CLO),70105862.0,פנימי,שכבת חוב (Tranche) בדרוג AA- ומעלה,"חו""ל","ארה""ב",לא,אחר,2021-07-02,AAA,S&P,נייר ערך,USD,3.25,0.0540639,0.0538,מומחה בלתי תלוי,אי-תלות,2025-01-30,44.0,3.306,100.25,0.146,1.0,4.4e-05,,
1328,2196.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1329,8580.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1328,12138.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1329,12139.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1328,12419.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1329,13211.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1328,13819.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1329,13820.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1329,14304.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1329,14305.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1328,14302.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1328,14303.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1329,14854.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1328,14850.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1328,15314.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1329,15313.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
סוף מידע,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
