מספר קרן,מספר מסלול,מאפיין עיקרי,חודש הנפקת שכבה,חודש הבדיקה,"שווי הנכסים באפיק (באלפי ש""ח)",שיעור מסך נכסי ההשקעה,Unnamed: 7,סוף מידע
1328,14303.0,החזקה באפיק השקעה מובטח תשואה,,,204.181,0.003701,,
1328,14850.0,החזקה באפיק השקעה מובטח תשואה,,,15512.854,0.007026,,
1328,14850.0,החזקה באפיק השקעה מובטח תשואה,,,8228.243,0.003726,,
1328,14850.0,החזקה באפיק השקעה מובטח תשואה,,,8531.739,0.003864,,
1328,14850.0,החזקה באפיק השקעה מובטח תשואה,,,2596.76,0.001176,,
1328,14850.0,החזקה באפיק השקעה מובטח תשואה,,,6615.055,0.002996,,
1328,15314.0,החזקה באפיק השקעה מובטח תשואה,,,32.288,0.002398,,
1328,15314.0,החזקה באפיק השקעה מובטח תשואה,,,82.25,0.006109,,
1328,15314.0,החזקה באפיק השקעה מובטח תשואה,,,106.082,0.007879,,
1328,15314.0,החזקה באפיק השקעה מובטח תשואה,,,192.884,0.014327,,
1328,15314.0,החזקה באפיק השקעה מובטח תשואה,,,102.308,0.007599,,
1329,9761.0,,,,,,,
1329,9762.0,,,,,,,
1329,9763.0,,,,,,,
1329,8580.0,,,,,,,
1329,12139.0,,,,,,,
1329,13212.0,,,,,,,
1329,13211.0,,,,,,,
1329,13820.0,,,,,,,
1329,14304.0,,,,,,,
1329,14305.0,,,,,,,
1329,14854.0,,,,,,,
1329,15313.0,,,,,,,
סוף מידע,,,,,,,,
