מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,סטאטוס סחירות,ענף מסחר,בעל עניין/צד קשור,תאריך רכישה,דירוג,שם מדרג,דירוג נייר הערך/המנפיק,מטבע פעילות,"מח""מ",מועד פדיון,תשואה לפדיון,שיעור ריבית,נחיתות חוזית,האם סווג כחוב בעייתי,סוג גורם משערך,תלות/אי-תלות המשערך,תאריך שערוך אחרון,תאריך אחרון בו נבחנה בפועל ירידת ערך,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,"שווי הוגן (באלפי ש""ח)","עלות מופחתת (באלפי ש""ח)",עלות מופחתת (במטבע הפעילות),השיטה שיושמה בדוח הכספי,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה,Unnamed: 38,סוף מידע
1329,9762.0,"חברת החשמל לישראל בע""מ",520000472.0,ח.פ.,ISRELE 4 06/19/28,70716105.0,פנימי,"צמוד למט""ח",ישראל,ישראל,לא סחיר,חשמל,לא,2015-08-04,BBB+,S&P,נייר ערך,JPY,2.58,2028-06-19,0.0433,0.0425,החוב לא נחות,,חברת ציטוט,אי-תלות,2025-09-30,,5448927.0,0.022332,100.38,122.148,,,שווי הוגן,0.361015,0.000675,,
1329,9762.0,"חברת החשמל לישראל בע""מ",520000472.0,ח.פ.,ISRELE 4.1 01/14/32,70551049.0,פנימי,"צמוד למט""ח",ישראל,ישראל,לא סחיר,חשמל,לא,2020-09-24,BBB+,S&P,נייר ערך,JPY,5.54,2032-01-14,0.0513,0.0375,החוב לא נחות,,חברת ציטוט,אי-תלות,2025-09-30,,5448927.0,0.022332,95.65,116.392,,,שווי הוגן,0.344003,0.000643,,
1329,9763.0,"חברת החשמל לישראל בע""מ",520000472.0,ח.פ.,ISRELE 4.1 01/14/32,70551049.0,פנימי,"צמוד למט""ח",ישראל,ישראל,לא סחיר,חשמל,לא,2020-09-24,BBB+,S&P,נייר ערך,JPY,5.54,2032-01-14,0.0513,0.0375,החוב לא נחות,,חברת ציטוט,אי-תלות,2025-09-30,,3727259.03,0.022332,95.65,79.616,,,שווי הוגן,0.244418,0.001207,,
1329,9763.0,"חברת החשמל לישראל בע""מ",520000472.0,ח.פ.,ISRELE 4 06/19/28,70716105.0,פנימי,"צמוד למט""ח",ישראל,ישראל,לא סחיר,חשמל,לא,2015-08-04,BBB+,S&P,נייר ערך,JPY,2.58,2028-06-19,0.0433,0.0425,החוב לא נחות,,חברת ציטוט,אי-תלות,2025-09-30,,3727259.03,0.022332,100.38,83.553,,,שווי הוגן,0.256505,0.001267,,
1329,9763.0,"אורמת טכנולוגיות, אינק",880326081.0,ח.פ.,אורמת אגח 4 -רמ,1167212.0,פנימי,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,לא סחיר,אנרגיה מתחדשת,לא,2020-07-01,AA-,S&P מעלות,נייר ערך,ILS,2.95,2031-06-15,0.0518,0.0335,החוב לא נחות,,חברת ציטוט,אי-תלות,2025-09-30,,43200.0,1.0,95.91,41.433,,,שווי הוגן,0.127197,0.000628,,
1329,9763.0,"מתם מרכז תעשיות מדע חיפה בע""מ",510687403.0,ח.פ.,מתם  אגח א -רמ,1138999.0,פנימי,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,לא סחיר,"נדל""ן מניב בישראל",לא,2016-08-16,Aa2,מידרוג Moodys,נייר ערך,ILS,1.22,2027-06-30,0.0464,0.031,החוב לא נחות,,חברת ציטוט,אי-תלות,2025-09-30,,24800.0,1.0,98.25,24.366,,,שווי הוגן,0.074802,0.000369,,
1329,9763.0,"רפאל מערכות לחימה מתקדמות בע""מ",520042185.0,ח.פ.,רפאל אגח ג-רמ,1140276.0,פנימי,צמוד למדד המחירים לצרכן,ישראל,ישראל,לא סחיר,ביטחוניות,לא,2021-05-04,Aaa,מידרוג Moodys,נייר ערך,ILS,4.65,2034-09-15,0.0245,0.0214,החוב לא נחות,,חברת ציטוט,אי-תלות,2025-09-30,,75902.3,1.0,118.75,90.134,,,שווי הוגן,0.276707,0.001367,,
1329,9763.0,"נתיבי הגז הטבעי לישראל בע""מ",513436394.0,ח.פ.,נתיבי גז אגח א-רמ,1103084.0,פנימי,צמוד למדד המחירים לצרכן,ישראל,ישראל,לא סחיר,שירותים,לא,2009-03-15,Aaa,מידרוג Moodys,נייר ערך,ILS,0.58,2026-12-29,0.0283,0.056,החוב לא נחות,,חברת ציטוט,אי-תלות,2025-09-30,,2178.33,1.0,147.67,3.217,,,שווי הוגן,0.009875,4.8e-05,,
1329,9763.0,"ביטוח ישיר - השקעות פיננסיות בע""מ",520044439.0,ח.פ.,ביט ישיראגיא-רמ,1138825.0,פנימי,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,לא סחיר,השקעה ואחזקות,לא,2016-07-21,A2,מידרוג Moodys,נייר ערך,ILS,2.0,2028-06-30,0.0529,0.046,החוב לא נחות,,חברת ציטוט,אי-תלות,2025-09-30,,3420.0,1.0,99.93,3.418,,,שווי הוגן,0.010491,5.1e-05,,
1329,12139.0,"חברת החשמל לישראל בע""מ",520000472.0,ח.פ.,ISRELE 4 06/19/28,70716105.0,פנימי,"צמוד למט""ח",ישראל,ישראל,לא סחיר,חשמל,לא,2015-08-04,BBB+,S&P,נייר ערך,JPY,2.58,2028-06-19,0.0433,0.0425,החוב לא נחות,,חברת ציטוט,אי-תלות,2025-09-30,,5875094.74,0.022332,100.38,131.701,,,שווי הוגן,0.512064,0.001166,,
