מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,מאפיין עיקרי,שם נייר ערך,מספר נייר ערך,תאריך רכישה,"מח""מ",סוג הצמדה,מועד פדיון,שיעור ריבית,תשואה לפדיון,ערך נקוב (יחידות),שער נייר הערך,"שווי הוגן (באלפי ש""ח)","עלות מופחתת (באלפי ש""ח)",השיטה שיושמה בדוח הכספי,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה,Unnamed: 18,סוף מידע
1328,14303.0,ערד בקרן פנסיה מקיפה חדשה,ערד 8854 01.09.2032,71123947.0,2017-09-01,5.945130326524218,צמוד למדד המחירים לצרכן,2032-09-01,0.048,0.0485,49656.46,120.636282,59.904,59.904,עלות מופחתת,0.003963,0.001085,,
1328,14303.0,ערד בקרן פנסיה מקיפה חדשה,ערד 8859 01.02.2033,71124325.0,2018-02-01,6.220163618575248,צמוד למדד המחירים לצרכן,2033-02-01,0.048,0.0485,85635.83,120.522995,103.211,103.211,עלות מופחתת,0.006829,0.001871,,
1328,14303.0,ערד בקרן פנסיה מקיפה חדשה,ערד 8872 01.03.2034,71124986.0,2019-03-01,6.99507950299065,צמוד למדד המחירים לצרכן,2034-03-01,0.048,0.0485,98622.42,119.203218,117.561,117.561,עלות מופחתת,0.007779,0.002131,,
1328,14303.0,ערד בקרן פנסיה מקיפה חדשה,ערד 8873 01.04.2034,71125108.0,2019-04-01,6.912017153161408,צמוד למדד המחירים לצרכן,2034-04-01,0.048,0.0485,72004.85,121.471191,87.465,87.465,עלות מופחתת,0.005787,0.001585,,
1328,14303.0,ערד בקרן פנסיה מקיפה חדשה,ערד 8837 01.04.2031,71123129.0,2016-04-01,4.785574882157442,צמוד למדד המחירים לצרכן,2031-04-01,0.048,0.0485,10467.41,123.681618,12.946,12.946,עלות מופחתת,0.000856,0.000234,,
1328,14303.0,ערד בקרן פנסיה מקיפה חדשה,ערד 8853 01.08.2032,71123939.0,2017-08-01,5.861796993190884,צמוד למדד המחירים לצרכן,2032-08-01,0.048,0.0485,48705.49,121.005087,58.936,58.936,עלות מופחתת,0.003899,0.001068,,
1328,14303.0,ערד בקרן פנסיה מקיפה חדשה,ערד 8790 01.05.2027,71117162.0,2012-05-01,1.516853486630857,צמוד למדד המחירים לצרכן,2027-05-01,0.048,0.0485,1638.75,124.958178,2.048,2.048,עלות מופחתת,0.000135,3.7e-05,,
1328,14303.0,ערד בקרן פנסיה מקיפה חדשה,ערד 8792 01.07.2027,71119747.0,2012-07-01,1.6835201532975237,צמוד למדד המחירים לצרכן,2027-07-01,0.048,0.0485,1519.37,122.444858,1.86,1.86,עלות מופחתת,0.000123,3.3e-05,,
1328,14303.0,ערד בקרן פנסיה מקיפה חדשה,ערד 8830 01.09.2030,71122717.0,2015-09-01,4.423084483674979,צמוד למדד המחירים לצרכן,2030-09-01,0.048,0.0485,3810.64,119.070903,4.537,4.537,עלות מופחתת,0.0003,8.2e-05,,
1328,14303.0,ערד בקרן פנסיה מקיפה חדשה,ערד 8904 01.12.2036,71126841.0,2021-12-01,8.632216086765283,צמוד למדד המחירים לצרכן,2036-12-01,0.048,0.0485,230371.32,117.577516,270.865,270.865,עלות מופחתת,0.017923,0.00491,,
1328,14303.0,ערד בקרן פנסיה מקיפה חדשה,ערד 8772 01.11.2025,71116735.0,2010-11-01,0.08611111111111114,צמוד למדד המחירים לצרכן,2025-11-01,0.048,0.048,543.99,128.622996,0.7,0.7,עלות מופחתת,4.6e-05,1.2e-05,,
1328,14303.0,ערד בקרן פנסיה מקיפה חדשה,ערד 8892 01.12.2035,71126163.0,2020-12-01,8.032988084043678,צמוד למדד המחירים לצרכן,2035-12-01,0.048,0.0485,650874.92,120.279457,782.869,782.869,עלות מופחתת,0.051803,0.014192,,
1328,14303.0,ערד בקרן פנסיה מקיפה חדשה,ערד 8885 01.05.2035,71125603.0,2020-05-01,7.63912347114554,צמוד למדד המחירים לצרכן,2035-05-01,0.048,0.0485,176532.5,120.402353,212.549,212.549,עלות מופחתת,0.014064,0.003853,,
