מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,מאפיין עיקרי,שם שותף כללי קרן השקעות,מספר מזהה שותף כללי קרן השקעות,סוג מספר מזהה שותף כללי קרן השקעות,שם קרן השקעה,מספר מזהה קרן השקעה,סוג מספר מזהה קרן השקעות,מטבע פעילות,תאריך העמדת התחייבות לקרן השקעה,סכום המחויבות הראשוני (במטבע הדיווח של קרן ההשקעה),"סכום המחויבות הראשוני (באלפי ש""ח)",יתרת המחויבות לתקופת הדיווח (במטבע הדיווח של קרן ההשקעה),"יתרת המחויבות לתקופת הדיווח (באלפי ש""ח)",שיעור יתרת המחויבות,תאריך פקיעת מחויבות להשקעה
414,414,התחייבות להשקעה,advnt international,ריק במקור,ריק במקור,Advent IX,6950,פנימי,EUR,2019-06-01 00:00:00,398.61171,1546.8924629970002,14.95363,58.030551941,0.03751427673813195,2029-06-01 00:00:00
414,414,התחייבות להשקעה,KARTESIA,ריק במקור,ריק במקור,KSO II,9014,פנימי,EUR,2022-03-31 00:00:00,403.2588945515847,1564.926792086335,181.4665024099578,704.2170559023232,0.4499999996571549,2031-09-30 00:00:00
414,414,התחייבות להשקעה,Hush lux S.a.r.l,ריק במקור,ריק במקור,ACE IV,6289,פנימי,EUR,2018-05-01 00:00:00,452.4719400000001,1755.9078575580004,90.84489991304041,352.54180309253593,0.20077466,2026-09-30 00:00:00
414,414,התחייבות להשקעה,Hush lux S.a.r.l,ריק במקור,ריק במקור,ACE V,7918,פנימי,EUR,2020-09-01 00:00:00,1131.1798500000002,4389.769643895001,186.38764449223552,723.3145319810184,0.16477277639999996,2028-09-01 00:00:00
414,414,התחייבות להשקעה,Hush lux S.a.r.l,ריק במקור,ריק במקור,APCS LP,5469,פנימי,USD,2017-02-21 00:00:00,402.19727497253405,1329.6641910591975,190.99372196682305,631.425244822317,0.47487572356094643,2026-06-30 00:00:00
414,414,התחייבות להשקעה,Arcmont,ריק במקור,ריק במקור,Arcmont SLF II,7574,פנימי,EUR,2020-03-19 00:00:00,904.9438800000001,3511.815715116001,185.44232226768324,719.6460200241984,0.20492135077777773,2027-03-19 00:00:00
414,414,התחייבות להשקעה,Global Infrastructure Partners,ריק במקור,ריק במקור,CAPSII,7517,פנימי,USD,2019-04-03 00:00:00,502.7466000000001,1662.0802596000003,177.46581992297465,586.7020006653541,0.352992581,2030-08-20 00:00:00
414,414,התחייבות להשקעה,Global Infrastructure Partners,ריק במקור,ריק במקור,CAPSII co-inv,7742,פנימי,USD,2020-03-27 00:00:00,321.04178715495,1061.3641483342647,212.7793531004108,703.4485413499581,0.6627777492333525,2030-08-20 00:00:00
414,414,התחייבות להשקעה,CRESCENT,ריק במקור,ריק במקור,CDL II,6286,פנימי,USD,2017-09-29 00:00:00,653.5705799497254,2160.704337313792,372.67315234263094,1232.057441644738,0.5702110281207855,2026-09-22 00:00:00
414,414,התחייבות להשקעה,CRESCENT,ריק במקור,ריק במקור,CMPVIIC,5447,פנימי,USD,2015-12-21 00:00:00,377.05994798901366,1246.5601880516792,113.45615458455975,375.08604705655455,0.30089686053811665,2025-12-21 00:00:00
