מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם הבנק,מספר מזהה בנק,סוג מספר מזהה בנק,מאפיין עיקרי,תאריך פקיעת פיקדון,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,בעל עניין/צד קשור,דירוג הבנק,שם מדרג,מטבע פעילות,"מח""מ",שיעור ריבית,תשואה לפדיון,שווי מטבעי,שער חליפין,שער פיקדון,"שווי הוגן (באלפי ש""ח)",שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
162,12146,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,0.0,0.0
162,12147,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,0.0,0.0
162,13572,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,0.0,0.0
162,14242,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,0.0,0.0
162,14243,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,0.0,0.0
162,14929,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,0.0,0.0
162,15524,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,0.0,0.0
162,15525,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,0.0,0.0
414,414,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,0.0,0.0
659,2145,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,0.0,0.0
659,2146,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,0.0,0.0
659,2147,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,0.0,0.0
659,2148,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,0.0,0.0
659,2149,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,0.0,0.0
659,2208,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,0.0,0.0
659,8604,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,0.0,0.0
659,9453,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,0.0,0.0
659,9454,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,0.0,0.0
659,9455,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,0.0,0.0
659,12152,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,0.0,0.0
659,13627,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,0.0,0.0
659,14244,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,0.0,0.0
659,14245,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,0.0,0.0
659,14930,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,0.0,0.0
659,15526,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,0.0,0.0
659,15527,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,0.0,0.0
