מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,ענף מסחר,בעל עניין/צד קשור,תאריך רכישה,דירוג,שם מדרג,דירוג נייר הערך/המנפיק,מטבע פעילות,"מח""מ",סוג הצמדה,ריבית עוגן,מועד פדיון,שיעור ריבית,תשואה לפדיון,נחיתות חוזית,האם סווג כחוב בעייתי,סוג גורם משערך,תלות/אי-תלות המשערך,שם גורם משערך,תאריך שערוך אחרון,תאריך אחרון בו נבחנה בפועל ירידת ערך,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,"שווי הוגן (באלפי ש""ח)","עלות מופחתת (באלפי ש""ח)",עלות מופחתת (במטבע הפעילות),השיטה שיושמה בדוח הכספי,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
671,8320.0,"שיכון ובינוי נדל""ן (נכסים) בע""מ",515092609.0,ח.פ.,"שיכון ובינוי נע""מ 3 2.6% בי 30.05.26",1512315.0,פנימי,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,"נדל""ן מניב בישראל",לא,2023-05-31,A1.il,מידרוג Moodys,נייר ערך,ILS,0.663,לא צמוד,ריבית בנק ישראל,2026-05-30,0.071,-0.0128,החוב לא נחות,,מומחה בלתי תלוי,אי-תלות,,2025-09-30,2025-09-30,95388.27,1.0,103.49,98.71732,,,,0.294849,0.009573
671,8320.0,"רוטשטיין נדל""ן בע""מ",520039959.0,ח.פ.,"רוטשטיין נדל""ן נע""מ 1 2% בי 05.05.30",1512320.0,פנימי,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,"נדל""ן מניב בישראל",לא,2025-08-06,NR,NR,NR,ILS,4.3894,לא צמוד,ריבית בנק ישראל,2030-05-05,0.065,0.0188,החוב לא נחות,,מומחה בלתי תלוי,אי-תלות,,2025-09-30,2025-09-30,152539.88,1.0,100.98,154.03477,,,,0.460071,0.014938
671,8320.0,"וואן טכנולוגיות תוכנה בע""מ",520034695.0,ח.פ.,"וואן טכנולוגיות נע""מ 0.3% בי 23.07.30",1512316.0,פנימי,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,שירותי מידע,לא,2025-07-23,NR,NR,NR,ILS,4.7839,לא צמוד,ריבית בנק ישראל,2030-07-23,0.048,0.0013,החוב לא נחות,,מומחה בלתי תלוי,אי-תלות,,2025-09-30,2025-09-30,81354.6,1.0,100.86,82.05425,,,,0.245079,0.007957
209,13335.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,14286.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,15218.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,15219.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,2187.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,2201.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,9974.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
