מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם שותף כללי קרן השקעות,מספר מזהה שותף כללי קרן השקעות,סוג מספר מזהה שותף כללי קרן השקעות,שם קרן השקעה,מספר מזהה קרן השקעה,סוג מספר מזהה קרן השקעות,מאפיין עיקרי,אסטרטגיית קרן ההשקעה,"ישראל/חו""ל",מדינת התאגדות קרן השקעה,מיקום משרד השותף הכללי,מדינה לפי חשיפה כלכלית,בעל עניין/צד קשור,תאריך רכישה,מטבע פעילות,סוג גורם משערך,תלות/אי-תלות המשערך,תאריך שערוך אחרון,שער חליפין,NAV (במטבע הדיווח של קרן ההשקעה),"שווי הוגן (באלפי ש""ח)",שיעור החזקה בקרן השקעה,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
671,7234.0,Hayfin Capital Management LLP,,,HAYFIN DIRECT LENDING FUND II IP,33155,פנימי,קרן חוב,,"חו""ל",,,גרמניה,לא,2016-08-18,EUR,דיווח מנהל הקרן,אי-תלות,2024-09-30,3.8807,35.43503,137.51272,0.000287,0.000673,4.8e-05
671,7234.0,Apollo Advisors X L.P.  ,,,Apollo Overseas Partners (Delaware) X,34071,פנימי,קרן השקעה אחרת,,"חו""ל",,,"ארה""ב",לא,2023-08-16,USD,דיווח מנהל הקרן,אי-תלות,2025-06-30,3.306,480.75211,1589.3665,4.4e-05,0.00779,0.000563
671,7234.0,Greenfield Partners GP Fund II LP,,,Exodigo - Greenfield Co-Invest,34101,פנימי,פרייבט אקוויטי,,"חו""ל",,,"ארה""ב",לא,2024-02-22,USD,מומחה בלתי תלוי,אי-תלות,2025-03-31,3.306,118.5779,392.01854,0.000203,0.001921,0.000139
671,7234.0,Schroders Julie II,,,Schroders Project Salsa,39038,פנימי,קרן חוב,,"חו""ל",,,גרמניה,לא,2023-01-18,EUR,דיווח מנהל הקרן,אי-תלות,2025-03-31,3.8807,260.61512,1011.3691,0.000844,0.004957,0.000358
671,7234.0,PSC Credit IV,,,PSC Credit III,33905,פנימי,קרן חוב,,"חו""ל",,,בריטניה,לא,2021-07-20,GBP,דיווח מנהל הקרן,אי-תלות,2025-06-30,4.4409,677.05909,3006.75173,0.001879,0.014737,0.001066
671,7234.0,JCF Associates IV L.P.,,,JCF V Co-Invest River LP (Earth & River),39070,פנימי,קרן השקעה אחרת,,"חו""ל",,,איי קיימן,לא,2025-01-10,GBP,דיווח מנהל הקרן,אי-תלות,2025-06-30,4.4409,937.43408,4163.05102,0.009395,0.020404,0.001476
671,7234.0,SPROTT PRIVATE RESOURCE LENDING,,,SPROTT PRIVATE RESOURCE LENDING,34122,פנימי,קרן חוב,,"חו""ל",,,"ארה""ב",לא,2022-11-28,USD,דיווח מנהל הקרן,אי-תלות,2025-06-30,3.306,87.91152,290.63549,8.4e-05,0.001424,0.000103
671,7234.0,Northleaf Capital Partners (Canada) Ltd.,,,CSV 2 Northleaf CSV Co-Investment LP,34046,פנימי,פרייבט אקוויטי,,"חו""ל",,,קנדה,לא,2024-03-20,CAD,מומחה בלתי תלוי,אי-תלות,2024-12-31,2.3745,613.48067,1456.70986,0.000627,0.007139,0.000516
671,7234.0,Israel Infrastructure G.P. Management II L.P.,,,MADISON REALTY CAPITAL DEBT MA III LP,33975,פנימי,קרן חוב,,"חו""ל",,,"ארה""ב",לא,2022-09-12,USD,דיווח מנהל הקרן,אי-תלות,2025-06-30,3.306,768.95151,2542.15369,0.003603,0.012459,0.000901
671,7234.0,Project Atlas (Zep),,,Project Atlas (Zep)- Stepstone C,39078,פנימי,פרייבט אקוויטי,,"חו""ל",,,"ארה""ב",לא,2025-06-15,USD,מומחה בלתי תלוי,אי-תלות,2025-06-30,3.306,464.83545,1536.746,0.001619,0.007532,0.000544
671,7234.0,Northleaf NICP III GP Ltd.,,,UK Fiber -Northleaf,33930,פנימי,קרן אנרגיה ותשתיות,,"חו""ל",,,בריטניה,לא,2021-12-20,GBP,דיווח מנהל הקרן,אי-תלות,2025-06-30,4.4409,205.42654,912.27875,0.000726,0.004471,0.000323
