מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך ,מספר נייר ערך,סוג מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,סטאטוס סחירות,זירת מסחר,סיווג הקרן,בעל עניין/צד קשור,מטבע פעילות,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,"שווי הוגן (באלפי ש""ח)",שיעור מערך נקוב מונפק,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
209,15217.0,"מגדל קרנות נאמנות בע""מ",511303661,ח.פ.,MTF מח תל גוב-שקלי,IL0051233935,ISIN,"אג""ח קונצרני",ישראל,ישראל,סחיר,TASE,"(ומעלה ו/ או מדינה AA) אג""ח בארץ - כללי-אג""ח כללי בארץ - ללא מניות-אג""ח כללי בארץ בדירוג גבוה בלבד",לא,ILS,27.85,1.0,109.58,0.03051,0.0,0.079061,1e-06
209,15217.0,"מגדל קרנות נאמנות בע""מ",511303661,ח.פ.,MTF סל תלבונד שקלי,IL0011500027,ISIN,"אג""ח קונצרני",ישראל,ישראל,סחיר,TASE,"אג""ח בארץ - חברות והמרה-חברות והמרה אחר",לא,ILS,66.49,1.0,487.71,0.32428,0.0,0.840321,1.8e-05
209,15217.0,"הראל קרנות נאמנות בע""מ",511776783,ח.פ.,הראל Htf שקליות ריבית קבועה ממשלתיות,IL0051281116,ISIN,"אג""ח קונצרני",ישראל,ישראל,סחיר,TASE,"(ומעלה ו/ או מדינה AA) אג""ח בארץ - כללי-אג""ח כללי בארץ - ללא מניות-אג""ח כללי בארץ בדירוג גבוה בלבד",לא,ILS,6.31,1.0,492.68,0.03111,0.0,0.080616,1e-06
209,2187.0,SDCL ENERGY EFFICIENCY INCOME,213800ZPSC7XUVD3NL94,LEI,Sdcl Energy Efficiency Income,GB00BGHVZM47,ISIN,מניות,"חו""ל",בריטניה,סחיר,LSE,Equity Funds,לא,GBP,1552556.15,4.4409,56.6,3902.42658,0.00143,0.030048,0.000294
209,2187.0,PIMCO,J1L21SK0XQM5UHF1OK52,LEI,PIMCO GIS Capital Securities F,IE00B6VH4D24,ISIN,"אג""ח קונצרני","חו""ל",בריטניה,סחיר,אחר,Bond/Fixed Income Funds,לא,USD,477.87,3.306,2549.0,40.26966,1e-05,0.00031,3e-06
209,2187.0,M&Gַַ  LUX INVESTMENT FUNDS 1 - M,549300OR1ZG2XAP7AU07,LEI,M&G Lux Investment Funds 1 - M,LU2486835627,ISIN,מניות,"חו""ל",יפן,סחיר,אחר,Equity Funds,לא,USD,341781.59,3.306,1656.53,18717.62854,0.016401,0.144123,0.00141
209,2187.0,CT Lux Japan Equities,6ZLKQF7QB6JAEKQS5388,LEI,THRLXIU LX,LU2656573974,ISIN,מניות,"חו""ל",יפן,סחיר,אחר,Equity Funds,לא,USD,288114.73,3.306,1370.82,13057.16073,0.002881,0.100538,0.000984
209,2187.0,Prestige Alternative Finance,21380098U356PUQFYE72,LEI,PRESTIGE ALT FI,KYG722711853,ISIN,מניות,"חו""ל",בריטניה,סחיר,אחר,Bond/Fixed Income Funds,לא,USD,36.08,3.306,9914.0,11.82486,0.0,9.1e-05,0.0
209,2187.0,CVC Credit Partners Ltd,2588,פנימי,CVC INCOME & GROWTH LTD,JE00B9G79F59,ISIN,מניות,"חו""ל",אירופה,סחיר,LSE,Bond/Fixed Income Funds,לא,EUR,10950.51,3.8807,109.0,46.32026,0.000131,0.000356,3e-06
209,2187.0,Ashoka India,213800M3HXZ3RG189568,LEI,Ashoka WhiteOak ICAV - Ashoka,IE00BH3N4915,ISIN,מניות,"חו""ל",הודו,סחיר,אחר,Equity Funds,לא,USD,32558.62,3.306,25948.0,27930.11357,0.0,0.215059,0.002105
209,2187.0,Threadneedle Lux,549300L2D2ETS27INO14,LEI,CT Lux Global Technology,LU0444971666,ISIN,מניות,"חו""ל","ארה""ב",סחיר,אחר,Equity Funds,לא,USD,107414.66,3.306,17186.9,61032.89098,0.037734,0.469947,0.0046
209,2187.0,FULLGOAL INTERNATIONALFUNDS,549300BD5XZL0OCXC245,LEI,Fullgoal International Funds S,LU1171460493,ISIN,מניות,"חו""ל",סין,סחיר,אחר,Equity Funds,לא,USD,274.45,3.306,565649.3,5132.22724,0.006843,0.039517,0.000386
209,2187.0,Colchis Capital Management,4441,פנימי,COLCHIS P2P INCOME FUND,555888222,פנימי,מניות,"חו""ל","ארה""ב",לא סחיר,אחר,Bond/Fixed Income Funds,לא,USD,318.34,3.306,93.0571,0.97938,0.0,7e-06,0.0
209,2188.0,"מגדל קרנות נאמנות בע""מ",511303661,ח.פ.,MTF סל תלבונד שקלי,IL0011500027,ISIN,"אג""ח קונצרני",ישראל,ישראל,סחיר,TASE,"אג""ח בארץ - חברות והמרה-חברות והמרה אחר",לא,ILS,714.32,1.0,487.71,3.48382,4e-06,0.001325,1.7e-05
209,2188.0,"הראל קרנות נאמנות בע""מ",511776783,ח.פ.,הראל Htf שקליות ריבית קבועה ממשלתיות,IL0051281116,ISIN,"אג""ח קונצרני",ישראל,ישראל,סחיר,TASE,"(ומעלה ו/ או מדינה AA) אג""ח בארץ - כללי-אג""ח כללי בארץ - ללא מניות-אג""ח כללי בארץ בדירוג גבוה בלבד",לא,ILS,67.83,1.0,492.68,0.3342,2e-06,0.000127,1e-06
209,2188.0,"מגדל קרנות נאמנות בע""מ",511303661,ח.פ.,MTF מח תל גוב-שקלי,IL0051233935,ISIN,"אג""ח קונצרני",ישראל,ישראל,סחיר,TASE,"(ומעלה ו/ או מדינה AA) אג""ח בארץ - כללי-אג""ח כללי בארץ - ללא מניות-אג""ח כללי בארץ בדירוג גבוה בלבד",לא,ILS,299.16,1.0,109.58,0.32782,6e-06,0.000124,1e-06
209,2188.0,SDCL ENERGY EFFICIENCY INCOME,213800ZPSC7XUVD3NL94,LEI,Sdcl Energy Efficiency Income,GB00BGHVZM47,ISIN,מניות,"חו""ל",בריטניה,סחיר,LSE,Equity Funds,לא,GBP,1121.21,4.4409,56.6,2.8182,1e-06,0.001072,1.3e-05
209,2188.0,FULLGOAL INTERNATIONALFUNDS,549300BD5XZL0OCXC245,LEI,Fullgoal International Funds S,LU1171460493,ISIN,מניות,"חו""ל",סין,סחיר,אחר,Equity Funds,לא,USD,0.2,3.306,565649.3,3.70633,4e-06,0.00141,1.8e-05
209,2188.0,M&Gַַ  LUX INVESTMENT FUNDS 1 - M,549300OR1ZG2XAP7AU07,LEI,M&G Lux Investment Funds 1 - M,LU2486835627,ISIN,מניות,"חו""ל",יפן,סחיר,אחר,Equity Funds,לא,USD,246.82,3.306,1656.53,13.51726,1.1e-05,0.005143,6.6e-05
209,2188.0,NinetyOne,LU1194085475,פנימי,NinetyOne Global Strategy Fund,LU1194085475,ISIN,"אג""ח ממשלתי","חו""ל",סין,סחיר,אחר,Bond/Fixed Income Funds,לא,USD,0.0,3.306,2471.0,0.00026,0.0,0.0,0.0
209,2188.0,PIMCO,J1L21SK0XQM5UHF1OK52,LEI,PIMCO GIS Emerging Local Bond,IE00B29K0P99,ISIN,"אג""ח ממשלתי","חו""ל",סין,סחיר,אחר,Bond/Fixed Income Funds,לא,USD,21471.36,3.306,1719.0,1220.22011,0.000137,0.46428,0.005999
209,2188.0,Ashoka India,213800M3HXZ3RG189568,LEI,Ashoka WhiteOak ICAV - Ashoka,IE00BH3N4915,ISIN,מניות,"חו""ל",הודו,סחיר,אחר,Equity Funds,לא,USD,23.51,3.306,25948.0,20.17021,0.0,0.007674,9.9e-05
209,2188.0,CT Lux Japan Equities,6ZLKQF7QB6JAEKQS5388,LEI,THRLXIU LX,LU2656573974,ISIN,מניות,"חו""ל",יפן,סחיר,אחר,Equity Funds,לא,USD,208.07,3.306,1370.82,9.42945,2e-06,0.003587,4.6e-05
209,2188.0,INDIA DYNAMIC BOND FUND,25490082RF6XVDE85Z82,LEI,India Dynamic Bond Fund,MU0395S00048,ISIN,"אג""ח ממשלתי","חו""ל",הודו,סחיר,אחר,Bond/Fixed Income Funds,לא,USD,404.11,3.306,12121.0,161.9334,0.0,0.061613,0.000796
209,2188.0,Kotak Funds - India Midcap,4408,פנימי,Kotak Bond Feeder Fund,MU0381S00022,ISIN,"אג""ח ממשלתי","חו""ל",הודו,סחיר,אחר,Bond/Fixed Income Funds,לא,USD,4059.22,3.306,1401.76,188.11292,8.2e-05,0.071574,0.000924
209,2188.0,TOTAL CAPITAL INTL SA,5493009VJSAE25SFXL78,LEI,Capital Group Emerging Markets,LU0532993937,ISIN,"אג""ח ממשלתי","חו""ל",סין,סחיר,אחר,Bond/Fixed Income Funds,לא,USD,8200.22,3.306,1401.0,379.81014,0.000485,0.144513,0.001867
209,2188.0,Colchis Capital Management,4441,פנימי,Colchester Local Markets Bond,IE00BQZJ1775,ISIN,"אג""ח ממשלתי","חו""ל",אירלנד,סחיר,אחר,Bond/Fixed Income Funds,לא,USD,6533.24,3.306,1176.7651,254.16823,0.000102,0.096708,0.001249
209,2188.0,CVC Credit Partners Ltd,2588,פנימי,CVC INCOME & GROWTH LTD,JE00B9G79F59,ISIN,מניות,"חו""ל",אירופה,סחיר,LSE,Bond/Fixed Income Funds,לא,EUR,35925.84,3.8807,109.0,151.96497,0.000432,0.057821,0.000747
209,2188.0,PIMCO,J1L21SK0XQM5UHF1OK52,LEI,PIMCO GIS Capital Securities F,IE00B6VH4D24,ISIN,"אג""ח קונצרני","חו""ל",בריטניה,סחיר,אחר,Bond/Fixed Income Funds,לא,USD,1567.75,3.306,2549.0,132.11451,3.4e-05,0.050268,0.000649
209,2188.0,Threadneedle Lux,549300L2D2ETS27INO14,LEI,CT Lux Global Technology,LU0444971666,ISIN,מניות,"חו""ל","ארה""ב",סחיר,אחר,Equity Funds,לא,USD,77.57,3.306,17186.9,44.07595,2.7e-05,0.01677,0.000216
209,2188.0,Prestige Alternative Finance,21380098U356PUQFYE72,LEI,PRESTIGE ALT FI,KYG722711853,ISIN,מניות,"חו""ל",בריטניה,סחיר,אחר,Bond/Fixed Income Funds,לא,USD,118.36,3.306,9914.0,38.79435,0.0,0.01476,0.00019
209,2188.0,Colchis Capital Management,4441,פנימי,COLCHIS P2P INCOME FUND,555888222,פנימי,מניות,"חו""ל","ארה""ב",לא סחיר,אחר,Bond/Fixed Income Funds,לא,USD,1044.41,3.306,93.0571,3.21308,1e-06,0.001222,1.5e-05
209,9974.0,SDCL ENERGY EFFICIENCY INCOME,213800ZPSC7XUVD3NL94,LEI,Sdcl Energy Efficiency Income,GB00BGHVZM47,ISIN,מניות,"חו""ל",בריטניה,סחיר,LSE,Equity Funds,לא,GBP,4039262.64,4.4409,56.6,10152.88618,0.003721,0.030071,0.000173
209,9974.0,CT Lux Japan Equities,6ZLKQF7QB6JAEKQS5388,LEI,THRLXIU LX,LU2656573974,ISIN,מניות,"חו""ל",יפן,סחיר,אחר,Equity Funds,לא,USD,749583.89,3.306,1370.82,33970.62421,0.007495,0.100615,0.00058
209,9974.0,Threadneedle Lux,549300L2D2ETS27INO14,LEI,CT Lux Global Technology,LU0444971666,ISIN,מניות,"חו""ל","ארה""ב",סחיר,אחר,Equity Funds,לא,USD,279459.14,3.306,17186.9,158788.3803,0.098172,0.470307,0.002714
209,9974.0,FULLGOAL INTERNATIONALFUNDS,549300BD5XZL0OCXC245,LEI,Fullgoal International Funds S,LU1171460493,ISIN,מניות,"חו""ל",סין,סחיר,אחר,Equity Funds,לא,USD,714.02,3.306,565649.3,13352.4406,0.017804,0.039547,0.000228
209,9974.0,M&Gַַ  LUX INVESTMENT FUNDS 1 - M,549300OR1ZG2XAP7AU07,LEI,M&G Lux Investment Funds 1 - M,LU2486835627,ISIN,מניות,"חו""ל",יפן,סחיר,אחר,Equity Funds,לא,USD,889208.17,3.306,1656.53,48697.38056,0.042671,0.144234,0.000832
209,9974.0,Ashoka India,213800M3HXZ3RG189568,LEI,Ashoka WhiteOak ICAV - Ashoka,IE00BH3N4915,ISIN,מניות,"חו""ל",הודו,סחיר,אחר,Equity Funds,לא,USD,84707.28,3.306,25948.0,72665.36821,0.0,0.215223,0.001242
209,9975.0,"מגדל קרנות נאמנות בע""מ",511303661,ח.פ.,MTF מח תל גוב-שקלי,IL0051233935,ISIN,"אג""ח קונצרני",ישראל,ישראל,סחיר,TASE,"(ומעלה ו/ או מדינה AA) אג""ח בארץ - כללי-אג""ח כללי בארץ - ללא מניות-אג""ח כללי בארץ בדירוג גבוה בלבד",לא,ILS,1909.43,1.0,109.58,2.09235,3.8e-05,1.4e-05,0.0
209,9975.0,"מגדל קרנות נאמנות בע""מ",511303661,ח.פ.,MTF סל תלבונד שקלי,IL0011500027,ISIN,"אג""ח קונצרני",ישראל,ישראל,סחיר,TASE,"אג""ח בארץ - חברות והמרה-חברות והמרה אחר",לא,ILS,4559.22,1.0,487.71,22.2358,3.1e-05,0.00015,1e-06
209,9975.0,"הראל קרנות נאמנות בע""מ",511776783,ח.פ.,הראל Htf שקליות ריבית קבועה ממשלתיות,IL0051281116,ISIN,"אג""ח קונצרני",ישראל,ישראל,סחיר,TASE,"(ומעלה ו/ או מדינה AA) אג""ח בארץ - כללי-אג""ח כללי בארץ - ללא מניות-אג""ח כללי בארץ בדירוג גבוה בלבד",לא,ILS,432.95,1.0,492.68,2.13308,1.4e-05,1.4e-05,0.0
209,9975.0,Colchis Capital Management,4441,פנימי,Colchester Local Markets Bond,IE00BQZJ1775,ISIN,"אג""ח ממשלתי","חו""ל",אירלנד,סחיר,אחר,Bond/Fixed Income Funds,לא,USD,241410.3,3.306,1176.7651,9391.7911,0.00378,0.063392,0.000686
209,9975.0,Kotak Funds - India Midcap,4408,פנימי,Kotak Bond Feeder Fund,MU0381S00022,ISIN,"אג""ח ממשלתי","חו""ל",הודו,סחיר,אחר,Bond/Fixed Income Funds,לא,USD,149992.41,3.306,1401.76,6950.97587,0.003061,0.046917,0.000507
209,9975.0,Threadneedle Lux,549300L2D2ETS27INO14,LEI,CT Lux Global Technology,LU0444971666,ISIN,מניות,"חו""ל","ארה""ב",סחיר,אחר,Equity Funds,לא,USD,54694.33,3.306,17186.9,31077.25639,0.019213,0.209765,0.00227
