מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם הנכס,מאפיין עיקרי,"מדינת מיקום נדל""ן",בעל עניין/צד קשור,תאריך רכישה,שימוש עיקרי בנכס,מחזור חיי הנכס,כתובת הנכס,שיעור תשואה בפועל במהלך הרבעון,השיטה שבאמצעותה נקבע שווי הנכס,סוג גורם משערך,שם גורם משערך,תלות/אי-תלות המשערך,תאריך שערוך אחרון,מטבע פעילות,שווי הוגן (במטבע הפעילות),"שווי הוגן (באלפי ש""ח)","עלות מופחתת (באלפי ש""ח)",עלות מופחתת (במטבע הפעילות),השיטה שיושמה בדוח הכספי,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
209,12119.0,,,,,,,,,,,,,,,,,,,,,,
209,13335.0,,,,,,,,,,,,,,,,,,,,,,
209,14285.0,,,,,,,,,,,,,,,,,,,,,,
209,14286.0,,,,,,,,,,,,,,,,,,,,,,
209,15217.0,,,,,,,,,,,,,,,,,,,,,,
209,15218.0,,,,,,,,,,,,,,,,,,,,,,
209,15219.0,,,,,,,,,,,,,,,,,,,,,,
209,2187.0,,,,,,,,,,,,,,,,,,,,,,
209,2188.0,,,,,,,,,,,,,,,,,,,,,,
209,2189.0,,,,,,,,,,,,,,,,,,,,,,
209,2201.0,,,,,,,,,,,,,,,,,,,,,,
209,9975.0,,,,,,,,,,,,,,,,,,,,,,
209,9976.0,,,,,,,,,,,,,,,,,,,,,,
209,9979.0,,,,,,,,,,,,,,,,,,,,,,
209,9984.0,,,,,,,,,,,,,,,,,,,,,,
209,9987.0,,,,,,,,,,,,,,,,,,,,,,
325,325.0,,,,,,,,,,,,,,,,,,,,,,
389,389.0,,,,,,,,,,,,,,,,,,,,,,
671,12120.0,,,,,,,,,,,,,,,,,,,,,,
671,13465.0,,,,,,,,,,,,,,,,,,,,,,
671,14082.0,,,,,,,,,,,,,,,,,,,,,,
