מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם הנכס,מאפיין עיקרי,"מדינת מיקום נדל""ן",בעל עניין/צד קשור,תאריך רכישה,שימוש עיקרי בנכס,מחזור חיי הנכס,כתובת הנכס,שיעור תשואה בפועל במהלך הרבעון,השיטה שבאמצעותה נקבע שווי הנכס,סוג גורם משערך,שם גורם משערך,תלות/אי-תלות המשערך,תאריך שערוך אחרון,מטבע פעילות,שווי הוגן (במטבע הפעילות),"שווי הוגן (באלפי ש""ח)","עלות מופחתת (באלפי ש""ח)",עלות מופחתת (במטבע הפעילות),השיטה שיושמה בדוח הכספי,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
170,9654,כורזין גבעתיים - פנסיה,"נדל""ן לא מניב",ישראל,לא,2019-10-23,משרדים,בתכנון/בהיתרים,תפוצות ישראל גבעתיים,7.800%,,מומחה בלתי תלוי,,אי-תלות,2024-12-31,ILS,13346.795,13346.79479,,,,5.898%,0.037%
170,9654,עסקת גרפוליט - פנסיה,"נדל""ן לא מניב",ישראל,לא,2020-01-09,משרדים,בתכנון/בהיתרים,רחוב הגרא תל אביב-יפו,8.500%,,מומחה בלתי תלוי,,אי-תלות,2024-12-31,ILS,12924.736,12924.7363,,,,5.711%,0.036%
170,9654,נכס באר שבע - פנסיה,"נדל""ן לא מניב",ישראל,לא,2020-07-27,משרדים,שלבים מתקדמים,באר שבע,8.300%,,מומחה בלתי תלוי,,אי-תלות,2024-12-31,ILS,14367.399,14367.39937,,,,6.349%,0.040%
170,9654,אורדן - פנסיה,"נדל""ן לא מניב",ישראל,לא,2021-06-28,משרדים,בתכנון/בהיתרים,אזור תעשיה צפוני נתניה,8.250%,,מומחה בלתי תלוי,,אי-תלות,2024-12-31,ILS,4637.102,4637.10162,,,,2.049%,0.013%
170,9654,מבוא כרמל - פנסיה,"נדל""ן לא מניב",ישראל,לא,2022-01-26,לוגיסטיקה ותעשייה,בשימוש,"רחוב אלון פינת תאנה, מבוא כרמל",6.800%,,מומחה בלתי תלוי,,אי-תלות,2024-12-31,ILS,6454.922,6454.92163,,,,2.852%,0.018%
170,9654,אינשטיין 33-35 - פנסיה,"נדל""ן לא מניב",ישראל,לא,2022-06-15,מסחר,שלבים התחלתיים,רחוב איינשטיין תל אביב,7.700%,,מומחה בלתי תלוי,,אי-תלות,2024-12-31,ILS,28923.001,28923.00067,,,,12.780%,0.080%
170,9654,מבוא כרמל החדשה - פנסיה,"נדל""ן לא מניב",ישראל,לא,2022-06-29,לוגיסטיקה ותעשייה,שלבים התחלתיים,"רחוב אלון פינת תאנה, מבוא כרמל",9.500%,,מומחה בלתי תלוי,,אי-תלות,2024-12-31,ILS,25177.043,25177.04268,,,,11.125%,0.070%
170,9654,מרלוג אשדוד - פנסיה,"נדל""ן לא מניב",ישראל,לא,2022-09-11,לוגיסטיקה ותעשייה,שלבים התחלתיים,"רחוב עובדי הנמל, אשדוד",9.500%,,מומחה בלתי תלוי,,אי-תלות,2024-12-31,ILS,27070.701,27070.7013,,,,11.962%,0.075%
170,9654,נכס עכו - פנסיה,"נדל""ן לא מניב",ישראל,לא,2023-09-27,לוגיסטיקה ותעשייה,שלבים התחלתיים,אזור התעשייה החדש עכו,7.100%,,מומחה בלתי תלוי,,אי-תלות,2024-12-31,ILS,4310.406,4310.40589,,,,1.905%,0.012%
170,9654,איינשטיין 2-4 פנסיה,"נדל""ן לא מניב",ישראל,לא,2024-05-21,מסחר,בתכנון/בהיתרים,רחוב איינשטיין  2-4 תל אביב,6.500%,,אחר,,אי-תלות,2024-06-30,ILS,18643.552,18643.5515,,,,8.238%,0.052%
170,9654,עסקת איינשטיין מרכז 15-17 - פנסיה,"נדל""ן לא מניב",ישראל,לא,2024-05-21,מסחר,בתכנון/בהיתרים,רחוב איינשטיין  15-17 תל אביב,6.500%,,אחר,,אי-תלות,2024-06-30,ILS,9033.316,9033.3163,,,,3.992%,0.025%
170,9654,איינשטיין 6-8 - פנסיה,"נדל""ן לא מניב",ישראל,לא,2024-06-16,מסחר,בתכנון/בהיתרים,רחוב איינשטיין 6-8 תל אביב,6.500%,,אחר,,אי-תלות,2024-06-30,ILS,823.749,823.74904,,,,0.364%,0.002%
170,9655,פארק אפק - מקיפה בני 50 עד 60,"נדל""ן מניב",ישראל,לא,2018-01-30,לוגיסטיקה ותעשייה,בשימוש,רחוב העמל 7 פארק תעסוקה אפק ראש העין,7.315%,,מומחה בלתי תלוי,,אי-תלות,2024-12-31,ILS,282.227,282.22668,,,,0.399%,0.002%
170,9655,חניון שוק הפשפשים - פנסיה,"נדל""ן מניב",ישראל,לא,2018-08-07,חניון,בשימוש,רבי פנחס 4 תל אביב,6.235%,,מומחה בלתי תלוי,,אי-תלות,2024-12-31,ILS,554.019,554.01931,,,,0.783%,0.003%
