מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,סטאטוס סחירות,זירת מסחר,נכס בסיס,בעל עניין/צד קשור,"מח""מ",שיעור ריבית,תשואה לפדיון,דירוג,שם מדרג,דירוג נייר הערך/המנפיק,מטבע פעילות,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,"שווי הוגן (באלפי ש""ח)",שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
170,12177,Societe Generale,969500E0BD5PO8N2HS42,LEI,SGBENRGY Index,XS2059575709,ISIN,קרן מובטחת,"חו""ל",צרפת,סחיר,אחר,מניות לרבות מדדי מניות,לא,0.0,0.000%,0.000%,A,S&P,נייר ערך,EUR,497210.481140283,3.8807,176.49,3405.41817,46.458%,0.032%
170,12177,Societe Generale,969500E0BD5PO8N2HS42,LEI,SGBCLARI US Equity,XS2746158851,ISIN,קרן מובטחת,"חו""ל","ארה""ב",סחיר,אחר,מניות לרבות מדדי מניות,לא,0.0,0.000%,0.000%,A,S&P,נייר ערך,USD,1022814.8310474,3.306,116.068,3924.75333,53.542%,0.037%
170,9648,Societe Generale,969500E0BD5PO8N2HS42,LEI,SGBENRGY Index,XS2059575709,ISIN,קרן מובטחת,"חו""ל",צרפת,סחיר,אחר,מניות לרבות מדדי מניות,לא,0.0,0.000%,0.000%,A,S&P,נייר ערך,EUR,4.021842854,3.8807,176.49,0.02755,46.458%,0.000%
170,9648,Societe Generale,969500E0BD5PO8N2HS42,LEI,SGBCLARI US Equity,XS2746158851,ISIN,קרן מובטחת,"חו""ל","ארה""ב",סחיר,אחר,מניות לרבות מדדי מניות,לא,0.0,0.000%,0.000%,A,S&P,נייר ערך,USD,8.273358417,3.306,116.068,0.03175,53.540%,0.000%
170,15433,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
170,15432,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
170,15092,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
170,14233,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
170,14232,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
170,13347,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
170,13213,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
170,12176,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
170,9650,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
170,2004,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
170,2205,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
170,9649,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
