מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,סטאטוס סחירות,זירת מסחר,ענף מסחר,בעל עניין/צד קשור,מטבע פעילות,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,סכום לקבל (במטבע הפעילות),"שווי הוגן (באלפי ש""ח)",שיעור מערך נקוב מונפק,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
170,9647,"אאורה השקעות בע""מ",520038274,ח.פ.,אאורה,IL0003730194,ISIN,מניות,ישראל,ישראל,חסום,TASE,בנייה,לא,ILS,156294.692,1.0,2195.0,0.0,3430.66849,0.055%,0.147%,0.039%
170,9647,קבוצת אקרו בעמ,511996803,ח.פ.,אקרו,IL0011849028,ISIN,מניות,ישראל,ישראל,חסום,TASE,בנייה,לא,ILS,98419.576,1.0,4651.1655,0.0,4577.65737,0.156%,0.196%,0.053%
170,9647,"אלקטרה מוצרי צריכה (1970) בע""מ",520039967,ח.פ.,אלקטרה צריכה,IL0050101299,ISIN,מניות,ישראל,ישראל,חסום,TASE,רשתות שיווק,לא,ILS,22045.985,1.0,11506.7715,0.0,2536.78112,0.095%,0.109%,0.029%
170,9647,פריורטק בעמ,520037797,ח.פ.,פריורטק,IL0003280133,ISIN,מניות,ישראל,ישראל,סחיר,TASE,מוליכים למחצה,לא,ILS,28827.802,1.0,19700.0,0.0,5679.07708,0.246%,0.244%,0.065%
170,9647,נאייקס בעמ דואלי,513639013,ח.פ.,נאייקס,IL0011751166,ISIN,מניות,ישראל,ישראל,סחיר,TASE,תוכנה ואינטרנט,לא,ILS,8672.103,1.0,15830.0,0.0,1372.79393,0.024%,0.059%,0.016%
170,9647,"אינרום תעשיות בנייה בע""מ",515001659,ח.פ.,אינרום,IL0011323560,ISIN,מניות,ישראל,ישראל,חסום,TASE,מתכת ומוצרי בניה,לא,ILS,62988.529,1.0,2172.7647,0.0,1368.59252,0.042%,0.059%,0.016%
170,9647,"שיכון ובינוי בע""מ - שכון ובינוי אחזקות",520036104,ח.פ.,שיכון ובינוי,IL0010819428,ISIN,מניות,ישראל,ישראל,סחיר,TASE,בנייה,לא,ILS,907425.121,1.0,1510.0,0.0,13702.11933,0.160%,0.588%,0.158%
170,9647,"אל על נתיבי אויר לישראל בע""מ",520017146,ח.פ.,אל על,IL0010878242,ISIN,מניות,ישראל,ישראל,סחיר,TASE,שירותים,לא,ILS,421375.053,1.0,1509.0,0.0,6358.54955,0.077%,0.273%,0.073%
170,9647,"קבוצת אשטרום בע""מ",510381601,ח.פ.,אשטרום קבוצה,IL0011323156,ISIN,מניות,ישראל,ישראל,סחיר,TASE,בנייה,לא,ILS,193410.904,1.0,6966.0,0.0,13473.00356,0.173%,0.578%,0.155%
170,9647,"מנועי בית שמש אחזקות (1997) בע""מ",520043480,ח.פ.,בית שמש,IL0010815616,ISIN,מניות,ישראל,ישראל,סחיר,TASE,מתכת ומוצרי בניה,לא,ILS,7422.984,1.0,67920.0,0.0,5041.6906,0.081%,0.216%,0.058%
