מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,סטאטוס סחירות,זירת מסחר,נכס בסיס (כתב אופציה),ענף מסחר,תאריך פקיעה,בעל עניין/צד קשור,מטבע פעילות,שער מימוש,יחס המרה,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,"שווי הוגן (באלפי ש""ח)",שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
170,9654,Taboola.com Ltd,513870683,ח.פ.,TBLAW US Equity,IL0011754210,ISIN,"חו""ל","ארה""ב",סחיר,NASDAQ,IL0011754137,Media,2026-06-29,לא,USD,11.5,1.0,30576.878760901,3.306,8.5,8.59241,0.028%,0.000%
170,9654,I2PO SA,969500LM904RGABQUN96,LEI,DEEZW FP Equity,FR0014004JF6,ISIN,"חו""ל",צרפת,סחיר,EURONEXT,FR0014004J15,Media,2027-06-07,לא,EUR,11.5,1.0,111829.660472915,3.8807,0.05,0.21699,0.001%,0.000%
170,9654,ALPHA TAU MEDICAL LTD,M0740A116,"מספר תאגיד או שותפות בחו""ל",DRTSW US Equity,IL0011839466,ISIN,"חו""ל","ארה""ב",סחיר,NASDAQ,IL0011839383,Health Care Providers & Services,2027-03-07,לא,USD,11.5,1.0,66071.229189259,3.306,34.5,75.35886,0.247%,0.000%
170,9654,AIRSHIP AI HOLDINGS INC,8940116,"מספר תאגיד או שותפות בחו""ל",AISPW US Equity,US0089401162,ISIN,"חו""ל","ארה""ב",סחיר,NASDAQ,US0089401089,Software,2028-12-31,לא,USD,4.5,1.0,111106.886634802,3.306,167.0,613.42334,2.008%,0.002%
170,9655,"מפעלים פטרוכימיים בישראל בע""מ",520029315,ח.פ.,פטרוכימים אפ 1,IL0011903056,ISIN,ישראל,ישראל,סחיר,TASE,IL0007560159,אנרגיה,2026-10-25,לא,ILS,37.5,1.0,31328.079940543,1.0,134.3,42.07361,0.355%,0.000%
170,9655,"מפעלים פטרוכימיים בישראל בע""מ",520029315,ח.פ.,פטרוכימים אפ 2,IL0011903130,ISIN,ישראל,ישראל,סחיר,TASE,IL0007560159,אנרגיה,2026-10-25,לא,ILS,600.0,1.0,3477.316813105,1.0,8.1,0.28166,0.002%,0.000%
170,9655,זפירוס ווינג אנרגיס בעמ,516537560,ח.פ.,זפירוס אופ 1,IL0011947038,ISIN,ישראל,ישראל,סחיר,TASE,IL0011946956,אנרגיה מתחדשת,2026-06-30,לא,ILS,1650.0,1.0,106017.127485158,1.0,464.5,492.44956,4.157%,0.003%
170,9655,מיטב טרייד השקעות בעמ,516854239,ח.פ.,מיטב טרייד אפ 1,IL0012031998,ISIN,ישראל,ישראל,סחיר,TASE,IL0012031816,שירותים פיננסיים,2028-01-18,לא,ILS,699.03,1.0,55514.423119501,1.0,1568.0,870.46615,7.348%,0.005%
170,9655,"קיסטון אינפרא בע""מ",515983476,ח.פ.,קיסטון אינ אופ 2,IL0012039918,ISIN,ישראל,ישראל,סחיר,TASE,IL0011759342,השקעה ואחזקות,2026-02-11,לא,ILS,541.82,1.0,96379.206804689,1.0,403.0,388.4082,3.279%,0.002%
170,9655,"אל על נתיבי אויר לישראל בע""מ",520017146,ח.פ.,אל על אפ 3,IL0012054677,ISIN,ישראל,ישראל,סחיר,TASE,IL0010878242,שירותים,2026-03-31,לא,ILS,510.4,1.0,846209.869451601,1.0,1000.0,8462.09869,71.435%,0.051%
170,9655,רותם שני יזמות והשקעות בעמ,512287517,ח.פ.,רותם שני אופ 2,IL0012093030,ISIN,ישראל,ישראל,סחיר,TASE,IL0011715294,בנייה,2027-10-24,לא,ILS,2600.0,1.0,10583.98,1.0,1802.0,190.72331,1.610%,0.001%
170,9655,"ארי נדל""ן(ארנה) השקעות בעמ",520038332,ח.פ.,ארי נדלן אפ 1,IL0012123498,ISIN,ישראל,ישראל,סחיר,TASE,IL0003660136,"נדל""ן מניב בישראל",2027-09-27,לא,ILS,285.24,1.0,205735.825616026,1.0,59.6,122.61855,1.035%,0.001%
170,9655,פאי סיאם בעמ,513978635,ח.פ.,פאי סיאם אפ 1,IL0012162827,ISIN,ישראל,ישראל,סחיר,TASE,IL0011865271,מלונאות ותיירות,2028-01-12,לא,ILS,4900.0,1.0,27443.979137635,1.0,480.1,131.75854,1.112%,0.001%
170,9655,נאייקס בעמ דואלי,513639013,ח.פ.,נאייקס אפ 1,IL0012189812,ISIN,ישראל,ישראל,סחיר,TASE,IL0011751166,תוכנה ואינטרנט,2027-03-31,לא,ILS,16225.0,1.0,1820.36042593,1.0,2797.0,50.91548,0.430%,0.000%
170,9655,מגידו י.ק. בעמ,510542855,ח.פ.,מגידו אפ 1,IL0012251844,ISIN,ישראל,ישראל,סחיר,TASE,IL0012166059,בנייה,2029-07-12,לא,ILS,850.0,1.0,146876.128417938,1.0,215.8,316.95869,2.676%,0.002%
170,9655,נאוויטס פטרוליום שותפות מוגבלת,550263107,מספר שותפות,נאוויטס פט אפ 6,IL0012288242,ISIN,ישראל,ישראל,סחיר,TASE,IL0011419699,חיפושי נפט וגז,2026-08-31,לא,ILS,12000.0,1.0,30854.598318436,1.0,1609.0,496.45049,4.191%,0.003%
170,9655,BLUERIVER ACQUISITION CORP,G1261Q115,"מספר תאגיד או שותפות בחו""ל",BLUAW US Equity,KYG1261Q1156,ISIN,"חו""ל","ארה""ב",סחיר,אחר,KYG1261Q1073,Other,2026-01-04,לא,USD,11.5,1.0,5911.094784064,3.306,0.01,0.00195,0.000%,0.000%
170,9655,Taboola.com Ltd,513870683,ח.פ.,TBLAW US Equity,IL0011754210,ISIN,"חו""ל","ארה""ב",סחיר,NASDAQ,IL0011754137,Media,2026-06-29,לא,USD,11.5,1.0,11565.408437356,3.306,8.5,3.25,0.027%,0.000%
170,9655,I2PO SA,969500LM904RGABQUN96,LEI,DEEZW FP Equity,FR0014004JF6,ISIN,"חו""ל",צרפת,סחיר,EURONEXT,FR0014004J15,Media,2027-06-07,לא,EUR,11.5,1.0,45039.856472741,3.8807,0.05,0.08739,0.001%,0.000%
170,9655,ALPHA TAU MEDICAL LTD,M0740A116,"מספר תאגיד או שותפות בחו""ל",DRTSW US Equity,IL0011839466,ISIN,"חו""ל","ארה""ב",סחיר,NASDAQ,IL0011839383,Health Care Providers & Services,2027-03-07,לא,USD,11.5,1.0,26610.459757074,3.306,34.5,30.35109,0.256%,0.000%
170,9655,AIRSHIP AI HOLDINGS INC,8940116,"מספר תאגיד או שותפות בחו""ל",AISPW US Equity,US0089401162,ISIN,"חו""ל","ארה""ב",סחיר,NASDAQ,US0089401089,Software,2028-12-31,לא,USD,4.5,1.0,44748.756331748,3.306,167.0,247.05878,2.086%,0.001%
170,9647,זפירוס ווינג אנרגיס בעמ,516537560,ח.פ.,זפירוס אופ 1,IL0011947038,ISIN,ישראל,ישראל,סחיר,TASE,IL0011946956,אנרגיה מתחדשת,2026-06-30,לא,ILS,1650.0,1.0,69287.38154674,1.0,464.5,321.83989,3.901%,0.004%
170,9647,מיטב טרייד השקעות בעמ,516854239,ח.פ.,מיטב טרייד אפ 1,IL0012031998,ISIN,ישראל,ישראל,סחיר,TASE,IL0012031816,שירותים פיננסיים,2028-01-18,לא,ILS,699.03,1.0,36281.39251902,1.0,1568.0,568.89223,6.895%,0.007%
170,9647,"קיסטון אינפרא בע""מ",515983476,ח.פ.,קיסטון אינ אופ 2,IL0012039918,ISIN,ישראל,ישראל,סחיר,TASE,IL0011759342,השקעה ואחזקות,2026-02-11,לא,ILS,541.82,1.0,62988.528678855,1.0,403.0,253.84377,3.077%,0.003%
170,9647,"אל על נתיבי אויר לישראל בע""מ",520017146,ח.פ.,אל על אפ 3,IL0012054677,ISIN,ישראל,ישראל,סחיר,TASE,IL0010878242,שירותים,2026-03-31,לא,ILS,510.4,1.0,553039.565248725,1.0,1000.0,5530.39565,67.033%,0.064%
170,9647,"ארי נדל""ן(ארנה) השקעות בעמ",520038332,ח.פ.,ארי נדלן אפ 1,IL0012123498,ISIN,ישראל,ישראל,סחיר,TASE,IL0003660136,"נדל""ן מניב בישראל",2027-09-27,לא,ILS,285.24,1.0,134458.431250053,1.0,59.6,80.13722,0.971%,0.001%
170,9647,פאי סיאם בעמ,513978635,ח.פ.,פאי סיאם אפ 1,IL0012162827,ISIN,ישראל,ישראל,סחיר,TASE,IL0011865271,מלונאות ותיירות,2028-01-12,לא,ILS,4900.0,1.0,17935.983541304,1.0,480.1,86.11066,1.044%,0.001%
170,9647,מגידו י.ק. בעמ,510542855,ח.פ.,מגידו אפ 1,IL0012251844,ISIN,ישראל,ישראל,סחיר,TASE,IL0012166059,בנייה,2029-07-12,לא,ILS,850.0,1.0,319221.455725158,1.0,215.8,688.8799,8.350%,0.008%
170,9647,נאוויטס פטרוליום שותפות מוגבלת,550263107,מספר שותפות,נאוויטס פט אפ 6,IL0012288242,ISIN,ישראל,ישראל,סחיר,TASE,IL0011419699,חיפושי נפט וגז,2026-08-31,לא,ILS,12000.0,1.0,29734.569566579,1.0,1609.0,478.42922,5.799%,0.006%
170,9647,BLUERIVER ACQUISITION CORP,G1261Q115,"מספר תאגיד או שותפות בחו""ל",BLUAW US Equity,KYG1261Q1156,ISIN,"חו""ל","ארה""ב",סחיר,אחר,KYG1261Q1073,Other,2026-01-04,לא,USD,11.5,1.0,5104.556966146,3.306,0.01,0.00169,0.000%,0.000%
170,9647,Taboola.com Ltd,513870683,ח.פ.,TBLAW US Equity,IL0011754210,ISIN,"חו""ל","ארה""ב",סחיר,NASDAQ,IL0011754137,Media,2026-06-29,לא,USD,11.5,1.0,7558.560452934,3.306,8.5,2.12403,0.026%,0.000%
170,9647,I2PO SA,969500LM904RGABQUN96,LEI,DEEZW FP Equity,FR0014004JF6,ISIN,"חו""ל",צרפת,סחיר,EURONEXT,FR0014004J15,Media,2027-06-07,לא,EUR,11.5,1.0,38894.404761021,3.8807,0.05,0.07547,0.001%,0.000%
170,9647,ALPHA TAU MEDICAL LTD,M0740A116,"מספר תאגיד או שותפות בחו""ל",DRTSW US Equity,IL0011839466,ISIN,"חו""ל","ארה""ב",סחיר,NASDAQ,IL0011839383,Health Care Providers & Services,2027-03-07,לא,USD,11.5,1.0,22979.602372732,3.306,34.5,26.20984,0.318%,0.000%
170,9647,AIRSHIP AI HOLDINGS INC,8940116,"מספר תאגיד או שותפות בחו""ל",AISPW US Equity,US0089401162,ISIN,"חו""ל","ארה""ב",סחיר,NASDAQ,US0089401089,Software,2028-12-31,לא,USD,4.5,1.0,38643.023704409,3.306,167.0,213.34891,2.586%,0.002%
170,9656,"מפעלים פטרוכימיים בישראל בע""מ",520029315,ח.פ.,פטרוכימים אפ 1,IL0011903056,ISIN,ישראל,ישראל,סחיר,TASE,IL0007560159,אנרגיה,2026-10-25,לא,ILS,37.5,1.0,27731.465945802,1.0,134.3,37.24336,1.269%,0.001%
