מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,סטאטוס סחירות,זירת מסחר,נכס בסיס,בעל עניין/צד קשור,"מח""מ",שיעור ריבית,תשואה לפדיון,דירוג,שם מדרג,דירוג נייר הערך/המנפיק,מטבע פעילות,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,"שווי הוגן (באלפי ש""ח)",שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
662,15280,"קרדיטו הנפקות בע""מ",516804499.0,ח.פ.,קרדיטו אגח א,IL0012103276,ISIN,מוצר מאוגח - שכבת חוב (Tranche) בדרוג AA- ומעלה,ישראל,ישראל,סחיר,TASE,"ריבית ואג""ח",לא,9.05,0.073,0.0567,ilAAA,S&P מעלות,נייר ערך,ILS,8896.08,1.0,116.95,10.40397,0.369492,0.004274
662,15280,"אלה פקדונות בע""מ",515666881.0,ח.פ.,אלה פקדון אגח ה,IL0011625774,ISIN,מוצר מאוגח - שכבת חוב (Tranche) בדרוג AA- ומעלה,ישראל,ישראל,סחיר,TASE,"ריבית ואג""ח",לא,2.78,0.0005,0.0264,ilAAA,S&P מעלות,נייר ערך,ILS,16173.36,1.0,109.77,17.7535,0.630507,0.007293
662,15281,"קרדיטו הנפקות בע""מ",516804499.0,ח.פ.,קרדיטו אגח א,IL0012103276,ISIN,מוצר מאוגח - שכבת חוב (Tranche) בדרוג AA- ומעלה,ישראל,ישראל,סחיר,TASE,"ריבית ואג""ח",לא,9.05,0.073,0.0567,ilAAA,S&P מעלות,נייר ערך,ILS,4727.82,1.0,116.95,5.52918,0.223152,0.001155
662,15281,"אלה פקדונות בע""מ",515666881.0,ח.פ.,אלה פקדון אגח ה,IL0011625774,ISIN,מוצר מאוגח - שכבת חוב (Tranche) בדרוג AA- ומעלה,ישראל,ישראל,סחיר,TASE,"ריבית ואג""ח",לא,2.78,0.0005,0.0264,ilAAA,S&P מעלות,נייר ערך,ILS,17535.27,1.0,109.77,19.24846,0.776847,0.004022
662,2164,"אלה פקדונות בע""מ",515666881.0,ח.פ.,אלה פקדון אגח ה,IL0011625774,ISIN,מוצר מאוגח - שכבת חוב (Tranche) בדרוג AA- ומעלה,ישראל,ישראל,סחיר,TASE,"ריבית ואג""ח",לא,2.78,0.0005,0.0264,ilAAA,S&P מעלות,נייר ערך,ILS,455054.88,1.0,109.77,499.51374,0.630736,0.000501
662,2164,"קרדיטו הנפקות בע""מ",516804499.0,ח.פ.,קרדיטו אגח א,IL0012103276,ISIN,מוצר מאוגח - שכבת חוב (Tranche) בדרוג AA- ומעלה,ישראל,ישראל,סחיר,TASE,"ריבית ואג""ח",לא,9.05,0.073,0.0567,ilAAA,S&P מעלות,נייר ערך,ILS,250054.65,1.0,116.95,292.43891,0.369263,0.000293
662,2204,"קרדיטו הנפקות בע""מ",516804499.0,ח.פ.,קרדיטו אגח א,IL0012103276,ISIN,מוצר מאוגח - שכבת חוב (Tranche) בדרוג AA- ומעלה,ישראל,ישראל,סחיר,TASE,"ריבית ואג""ח",לא,9.05,0.073,0.0567,ilAAA,S&P מעלות,נייר ערך,ILS,255.11,1.0,116.95,0.29835,0.008927,4e-06
662,2204,"אלה פקדונות בע""מ",515666881.0,ח.פ.,אלה פקדון אגח ה,IL0011625774,ISIN,מוצר מאוגח - שכבת חוב (Tranche) בדרוג AA- ומעלה,ישראל,ישראל,סחיר,TASE,"ריבית ואג""ח",לא,2.78,0.0005,0.0264,ilAAA,S&P מעלות,נייר ערך,ILS,30172.08,1.0,109.77,33.11989,0.991072,0.000495
662,9856,"אלה פקדונות בע""מ",515666881.0,ח.פ.,אלה פקדון אגח ה,IL0011625774,ISIN,מוצר מאוגח - שכבת חוב (Tranche) בדרוג AA- ומעלה,ישראל,ישראל,סחיר,TASE,"ריבית ואג""ח",לא,2.78,0.0005,0.0264,ilAAA,S&P מעלות,נייר ערך,ILS,307609.26,1.0,109.77,337.66269,0.696309,0.001332
662,9856,"קרדיטו הנפקות בע""מ",516804499.0,ח.פ.,קרדיטו אגח א,IL0012103276,ISIN,מוצר מאוגח - שכבת חוב (Tranche) בדרוג AA- ומעלה,ישראל,ישראל,סחיר,TASE,"ריבית ואג""ח",לא,9.05,0.073,0.0567,ilAAA,S&P מעלות,נייר ערך,ILS,125924.93,1.0,116.95,147.26921,0.30369,0.000581
