מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם הנכס,מאפיין עיקרי,"מדינת מיקום נדל""ן",בעל עניין/צד קשור,תאריך רכישה,שימוש עיקרי בנכס,מחזור חיי הנכס,כתובת הנכס,שיעור תשואה בפועל במהלך הרבעון,השיטה שבאמצעותה נקבע שווי הנכס,סוג גורם משערך,שם גורם משערך,תלות/אי-תלות המשערך,תאריך שערוך אחרון,מטבע פעילות,שווי הוגן (במטבע הפעילות),"שווי הוגן (באלפי ש""ח)","עלות מופחתת (באלפי ש""ח)",עלות מופחתת (במטבע הפעילות),השיטה שיושמה בדוח הכספי,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
214,15277,הגעת לשדה האחרון בשורה זו,,,,,,,,,,,,,,,,,,,,,
214,15278,הגעת לשדה האחרון בשורה זו,,,,,,,,,,,,,,,,,,,,,
214,2173,הגעת לשדה האחרון בשורה זו,,,,,,,,,,,,,,,,,,,,,
214,2175,הגעת לשדה האחרון בשורה זו,,,,,,,,,,,,,,,,,,,,,
214,8588,הגעת לשדה האחרון בשורה זו,,,,,,,,,,,,,,,,,,,,,
214,8806,הגעת לשדה האחרון בשורה זו,,,,,,,,,,,,,,,,,,,,,
214,9097,הגעת לשדה האחרון בשורה זו,,,,,,,,,,,,,,,,,,,,,
662,12140,הגעת לשדה האחרון בשורה זו,,,,,,,,,,,,,,,,,,,,,
662,13278,הגעת לשדה האחרון בשורה זו,,,,,,,,,,,,,,,,,,,,,
662,13279,הגעת לשדה האחרון בשורה זו,,,,,,,,,,,,,,,,,,,,,
662,13424,הגעת לשדה האחרון בשורה זו,,,,,,,,,,,,,,,,,,,,,
662,13684,הגעת לשדה האחרון בשורה זו,,,,,,,,,,,,,,,,,,,,,
662,13685,הגעת לשדה האחרון בשורה זו,,,,,,,,,,,,,,,,,,,,,
662,14192,הגעת לשדה האחרון בשורה זו,,,,,,,,,,,,,,,,,,,,,
662,14193,הגעת לשדה האחרון בשורה זו,,,,,,,,,,,,,,,,,,,,,
662,14194,הגעת לשדה האחרון בשורה זו,,,,,,,,,,,,,,,,,,,,,
662,15039,הגעת לשדה האחרון בשורה זו,,,,,,,,,,,,,,,,,,,,,
662,15279,הגעת לשדה האחרון בשורה זו,,,,,,,,,,,,,,,,,,,,,
662,15280,הגעת לשדה האחרון בשורה זו,,,,,,,,,,,,,,,,,,,,,
662,15281,הגעת לשדה האחרון בשורה זו,,,,,,,,,,,,,,,,,,,,,
662,15282,הגעת לשדה האחרון בשורה זו,,,,,,,,,,,,,,,,,,,,,
662,2204,הגעת לשדה האחרון בשורה זו,,,,,,,,,,,,,,,,,,,,,
662,9856,הגעת לשדה האחרון בשורה זו,,,,,,,,,,,,,,,,,,,,,
662,9858,הגעת לשדה האחרון בשורה זו,,,,,,,,,,,,,,,,,,,,,
