מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך ,מספר נייר ערך,סוג מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,סטאטוס סחירות,זירת מסחר,סיווג הקרן,בעל עניין/צד קשור,מטבע פעילות,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,"שווי הוגן (באלפי ש""ח)",שיעור מערך נקוב מונפק,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
662,12140,Fidelity Funds - Asia Pacific,5493007KIU6LS4KZ1387,LEI,FIDELITY FDS-ASIA P OP-IAUSD,LU2045877524,ISIN,מניות,"חו""ל",Developed Markets - Pacific,סחיר,אחר,"MSCI EMERGING MARKETS - מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-שווקים מתעוררים כללי",לא,USD,2913.75,3.306,1773.0,170.79072,0.000198,0.013877,0.000507
662,12140,Nomura Funds Ireland - Nomura,549300B3CEAHYG7K8164,LEI,NUSHYIU ID,IE00B3RW8498,ISIN,"אג""ח קונצרני","חו""ל","ארה""ב",סחיר,אחר,Bond/Fixed Income Funds,לא,USD,1541.71,3.306,43065.06,2194.97802,0.000306,0.178345,0.006525
662,12140,PIMCO GIS GLOBAL HIGH YIELD BD,QXVFC9ZCZF8S0XG3RS45,LEI,PIMCO Global High Yield,IE0002420739,ISIN,"אג""ח קונצרני","חו""ל","ארה""ב",סחיר,אחר,Bond/Fixed Income Funds,לא,USD,10872.8,3.306,3352.0,1204.89284,0.000623,0.097899,0.003581
662,13278,"אי.בי.אי קרנות נאמנות בע""מ",513765339,ח.פ.,איביאי טכנולוגיה עילית 5D,IL0011425381,ISIN,מניות,ישראל,ישראל,סחיר,TASE,קרן סגורה-קרן טכנולוגיה עילית,כן,ILS,212009.09,1.0,84.7,179.5717,0.000684,0.01387,0.000232
662,13278,SPARX Jupan Fund,635400BTSWMY84SXPB33,LEI,SPARX JAPAN FUND PLC-JPY I G,IE00BD6HM324,ISIN,מניות,"חו""ל",יפן,סחיר,אחר,"NIKKEI 225 - מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-אסיה יפן",לא,JPY,3594.04,0.022332,2189400.0,1757.25815,0.000728,0.135731,0.002278
662,13278,Fidelity Funds - Global Focus,549300F4JJCOV7BCT788,LEI,FIDELITY FDS-GL FOCUS-IAUSD,LU1366333257,ISIN,מניות,"חו""ל",גלובלי,סחיר,אחר,Equity Funds,לא,USD,8644.23,3.306,3055.0,873.05302,0.002749,0.067435,0.001131
662,13278,UTI INDIA DYNAMIC EQUITY FUND,549300ACH7GWORVJDB13,LEI,UTIIDEI ID,IE00BYPC7R45,ISIN,מניות,"חו""ל",הודו,סחיר,אחר,"CNX NIFTY - מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-אסיה הודו",לא,USD,27961.86,3.306,2348.33,2170.84085,0.001602,0.167677,0.002814
662,13278,UBAM - Swiss Equity,549300JRDP7MWQWUOI82,LEI,UBAM-SWISS EQUITY-IC,LU0132668087,ISIN,מניות,"חו""ל",שוויץ,סחיר,אחר,Equity Funds,לא,CHF,349.77,4.1427,49496.0,717.19401,0.000567,0.055396,0.000929
662,13278,Pictet CH Institutional - Swis,549300SSQUL8NSW2ZU66,LEI,PICTET CH IN SWISS E-IINSCAP,CH0180952241,ISIN,מניות,"חו""ל",שוויץ,סחיר,אחר,Equity Funds,לא,CHF,68.12,4.1427,305423.0,861.96055,0.003153,0.066578,0.001117
662,13278,Comgest Growth PLC - Europe,635400JYB1RHBTRDH390,LEI,COMEEIA ID,IE00B5WN3467,ISIN,מניות,"חו""ל",Developed Markets - Europe,סחיר,אחר,Equity Funds,לא,EUR,4772.33,3.8807,4271.0,790.98774,0.000123,0.061096,0.001025
662,13278,Fidelity Funds - Asia Pacific,5493007KIU6LS4KZ1387,LEI,FIDELITY FDS-ASIA P OP-IAUSD,LU2045877524,ISIN,מניות,"חו""ל",Developed Markets - Pacific,סחיר,אחר,"MSCI EMERGING MARKETS - מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-שווקים מתעוררים כללי",לא,USD,19964.31,3.306,1773.0,1170.21555,0.001357,0.090388,0.001517
662,13278,KBI Fund ICAV - KBI Energy Sol,635400UCQYVGO94KDT51,LEI,KBI ENERGY SOLUTIONS-AUSDACC,IE00BNGJJ156,ISIN,מניות,"חו""ל",גלובלי,סחיר,אחר,Equity Funds,לא,USD,29863.89,3.306,1119.7,1105.4802,0.001792,0.085388,0.001433
662,13278,Artemis Funds Lux - SmartGARP,5493003UWC387B8GNF45,LEI,ARTEMIS LUX-SG GL EM E-IAUSD,LU1846577242,ISIN,מניות,"חו""ל","גלובלי ללא ארה""ב",סחיר,אחר,"MSCI EMERGING MARKETS - מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-שווקים מתעוררים כללי",לא,USD,402624.6,3.306,184.81,2459.9633,0.002724,0.190009,0.003189
