מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,מאפיין עיקרי,שם שותף כללי קרן השקעות,מספר מזהה שותף כללי קרן השקעות,סוג מספר מזהה שותף כללי קרן השקעות,שם קרן השקעה,מספר מזהה קרן השקעה,סוג מספר מזהה קרן השקעות,מטבע פעילות,תאריך העמדת התחייבות לקרן השקעה,סכום המחויבות הראשוני (במטבע הדיווח של קרן ההשקעה),"סכום המחויבות הראשוני (באלפי ש""ח)",יתרת המחויבות לתקופת הדיווח (במטבע הדיווח של קרן ההשקעה),"יתרת המחויבות לתקופת הדיווח (באלפי ש""ח)",שיעור יתרת המחויבות,תאריך פקיעת מחויבות להשקעה
214,9827,התחייבות להשקעה,EQT IX (General Partner) S.a r.l. ,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",EQT IX (No.1) EUR SCSp,12551415.0,פנימי,EUR,2021-02-02,4340.6499,16844.760067,433.306465,1681.5324,0.099825,2027-12-31 00:00:00
214,9827,התחייבות להשקעה,CVC CAPITAL PARTNERS STRATEGIC OPPORTUNITIES III LIMITED,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",CVC Capital PTRS Strategic Opportunities III A L.P,12551526.0,פנימי,EUR,2024-04-24,7339.16382,28481.093036,6618.845316,25685.75302,0.901852,2035-09-30 00:00:00
214,9827,התחייבות להשקעה,EQT X (GENERAL PARTNER) S.A R.L,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",EQT X Co-Investment (A) SCSp,12551528.0,פנימי,USD,2024-06-25,679.47112,2246.331523,0.0,0.0,0.0,NR
214,9827,התחייבות להשקעה,Permira Management S.a.r.l,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",Permira Credit Solutions VI Senior Euro,12551554.0,פנימי,EUR,2025-07-23,1635.36748,6346.37058,1635.367482,6346.37059,1.0,2034-07-31 00:00:00
214,9827,התחייבות להשקעה,Electra Capital PM II Feeder Manager LLC,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",QFPF Electra Capital PM II Debt,12561105.0,פנימי,USD,2022-06-08,1302.5,4306.065,130.919767,432.82075,0.100514,2029-06-30 00:00:00
214,9827,התחייבות להשקעה,AURICK AVIATION MANAGEMENT LP,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",אאוריק 2 שותפות מוגבלת,12551547.0,פנימי,USD,2025-07-15,483.932,1599.879192,387.145871,1279.90425,0.8,2027-09-13 00:00:00
214,9827,התחייבות להשקעה,PONTIFAX V GP LIMITED PARTNERSHIP,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",Pontifax (Israel) V LP,12551404.0,פנימי,USD,2018-03-26,868.07245,2869.84752,60.765045,200.88924,0.069999,2028-03-31 00:00:00
214,9827,התחייבות להשקעה,Hamilton Lane Second Feeder Fund IV BLP,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",Hamilton Lane Second Feeder Fund IV BLP,12551296.0,פנימי,USD,2017-07-05,1733.54438,5731.09772,771.105133,2549.27357,0.444814,2027-10-31 00:00:00
214,9827,התחייבות להשקעה,Cerca Capital 4 GP Limited Partnership,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",CERCA 4 PARTNERS LP,12551548.0,פנימי,USD,2025-05-13,53.244,176.024664,47.920108,158.42388,0.900009,2032-01-15 00:00:00
214,9827,התחייבות להשקעה,Fattal European Partnership II GP LTD,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",עמיתים Fattal II,12102191.0,פנימי,EUR,2022-04-28,4108.571,15944.13148,131.979952,512.1746,0.032123,2032-04-30 00:00:00
214,9827,התחייבות להשקעה,ICG Strategic Equity V GP S.a r.l,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",ICG SE V (USD Feeder) SCSp,12551525.0,פנימי,USD,2024-06-25,4159.98429,13752.908063,3107.508266,10273.42233,0.747,2033-09-30 00:00:00
214,9827,התחייבות להשקעה,Balkan Energies Co-operation U.A,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",Balkan Energies Co-operation U.A,12104002.0,פנימי,EUR,2017-05-04,28.952,112.354026,1.930381,7.49123,0.066675,2029-12-15 00:00:00
214,9827,התחייבות להשקעה,Silver Lake Management Company VII LLC,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",Silver Lake Partners VII,12551469.0,פנימי,USD,2024-01-03,5293.39461,17499.962581,3472.731536,11480.85046,0.65605,2031-05-31 00:00:00
214,9827,התחייבות להשקעה,GIP Gemini Fund GP Ltd.,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",GIP Gemini Fund Feeder II Gatwick,12751037.0,פנימי,GBP,2019-10-23,1597.67579,7095.118416,0.0,0.0,0.0,2029-09-30 00:00:00
214,9827,התחייבות להשקעה,S.H. SKY 4 Management L.P.,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",SKY IV,12551465.0,פנימי,USD,2022-03-16,1533.41249,5069.461692,975.036079,3223.46928,0.63586,2033-10-31 00:00:00
214,9827,התחייבות להשקעה,"MENSCH CAPITAL PARTNERS I GP, LIMITED PARTNERSHIP","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",Mensch Capital Partners II LP,12551532.0,פנימי,USD,2024-12-02,340.398,1125.355788,180.41094,596.43857,0.53,2034-08-30 00:00:00
214,9827,התחייבות להשקעה,Senior Loan Fund II General Partner S.a.r.l,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",Arcmont Senior Loan Fund II,12551335.0,פנימי,EUR,2021-06-01,3512.3,13630.18261,719.745259,2793.11543,0.204921,2028-02-28 00:00:00
214,9827,התחייבות להשקעה,EQT INFRASTRUCTURE III (GP) SCS,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",EQT Infrastructure III,12551293.0,פנימי,EUR,2017-10-23,1018.77702,3953.567982,7.205076,27.96074,0.007072,2029-02-21 00:00:00
214,9827,התחייבות להשקעה,"FORTISSIMO CAPITAL FUND V GP, LIMITED PARTNERSHIP","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",Fortissimo Capital Fund V LP,12596005.0,פנימי,USD,2019-10-23,345.02051,1140.637806,6.210369,20.53148,0.017999,2030-03-31 00:00:00
214,9827,התחייבות להשקעה,"HB VENTURE 14, LLC","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",Horsley Bridge Venture 14,12551451.0,פנימי,USD,2021-12-16,3227.12913,10668.888904,1124.482332,3717.53859,0.348446,2033-07-31 00:00:00
214,9827,התחייבות להשקעה,S.H. SKY 3 Investment Management L.P.,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",S.H. SKY III L.P,12551294.0,פנימי,USD,2017-01-11,1622.69623,5364.633736,159.356512,526.83263,0.098204,2026-12-30 00:00:00
214,9827,התחייבות להשקעה,FINTLV SECOND FUND GP LIMITED PARTNERSHIP,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",Fintlv  II,12551446.0,פנימי,USD,2021-09-29,507.77422,1678.701571,60.932837,201.44396,0.119999,2029-01-01 00:00:00
214,9827,התחייבות להשקעה,Meridia Capital Partners S.G.E.I.C. S.A,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",MERIDIA REAL ESTATE FUND V,12561128.0,פנימי,EUR,2024-05-08,101.0,391.9507,69.94303,271.42792,0.692505,2031-05-31 00:00:00
214,9827,התחייבות להשקעה,CVC Credit Partners Investment Management Limited,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",CVC CPE DL FEEDER Fund IV E SCSp,12551538.0,פנימי,EUR,2025-02-17,2415.18118,9372.593605,1811.385889,7029.44522,0.75,2031-05-31 00:00:00
214,9827,התחייבות להשקעה,"Encap Flatrock Midstream Fund IV GP, L.P.","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",Encap Flatrock Midstream IV,12551402.0,פנימי,USD,2018-02-01,145.08,479.63448,11.48065,37.95503,0.079133,2028-01-01 00:00:00
