מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,בעל עניין/צד קשור,נכס בסיס,תאריך רכישה,דירוג,שם מדרג,דירוג נייר הערך/המנפיק,מטבע פעילות,"מח""מ",שיעור ריבית,תשואה לפדיון,סוג גורם משערך,תלות/אי-תלות המשערך,תאריך שערוך אחרון,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,"שווי הוגן (באלפי ש""ח)",שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
662,9858,"אן. אס. נוקס טכנולוגיות בע""מ",515267888,ח.פ.,NSKNOX SAFE,12914009,פנימי,קרן לא מובטחת,ישראל,ישראל,לא,מניות לרבות מדדי מניות,2025-07-14,NR,NR,NR,USD,"תא ללא תוכן, המשך בתא הבא",0.0,"תא ללא תוכן, המשך בתא הבא",מומחה בלתי תלוי,אי-תלות,2025-07-06,1315.0,3.306,100.0,4.34739,0.000472,8e-06
662,9858,"טור-בר בע""מ",516006467,ח.פ.,Torr Bar Ltd safe,12914008,פנימי,קרן לא מובטחת,ישראל,ישראל,לא,מניות לרבות מדדי מניות,2025-03-04,NR,NR,NR,USD,"תא ללא תוכן, המשך בתא הבא",0.0,"תא ללא תוכן, המשך בתא הבא",מומחה בלתי תלוי,אי-תלות,2025-03-04,1315.0,3.306,100.0,4.34739,0.000472,8e-06
662,9858,"טאביט טכנולוגיות בע""מ",514759661,ח.פ.,Tabit Technologies Ltd,12914002,פנימי,קרן לא מובטחת,ישראל,ישראל,לא,מניות לרבות מדדי מניות,2022-08-10,NR,NR,NR,USD,"תא ללא תוכן, המשך בתא הבא",0.0,"תא ללא תוכן, המשך בתא הבא",מומחה בלתי תלוי,אי-תלות,2024-08-11,3110.0,3.306,100.0,10.28166,0.001116,1.9e-05
662,9862,"בנק הפועלים בע""מ",520000118,ח.פ.,בנק הפועלים אג'ח צמודות אשראי אגח1 24.09.24 cln,IL0012117474,ISIN,קרן לא מובטחת,ישראל,ישראל,כן,"ריבית ואג""ח",2024-09-24,ilAAA,S&P מעלות,מנפיק,ILS,1.9,0.0675,0.0689,חברת ציטוט,אי-תלות,2025-09-30,3476557.45,1.0,101.09,3514.45192,0.152566,0.002027
662,9862,"בנק לאומי לישראל בע""מ",520018078,ח.פ.,אגח CLN צמודות אשראי סדרה 3 בנק לאומי 22.12.24,IL0012150293,ISIN,קרן לא מובטחת,ישראל,ישראל,כן,"ריבית ואג""ח",2024-12-22,ilAAA,S&P מעלות,מנפיק,ILS,3.73,0.0369,0.037,חברת ציטוט,אי-תלות,2025-09-30,292079.84,1.0,103.39,301.98135,0.013109,0.000174
662,9862,"בנק הפועלים בע""מ",520000118,ח.פ.,"בנק הפועלים בע""מ  CLN אשראי משיכה 1",10000504,טיקר,קרן לא מובטחת,ישראל,ישראל,כן,"ריבית ואג""ח",2025-03-30,ilAAA,S&P מעלות,מנפיק,ILS,2.92,0.065,0.061,חברת ציטוט,אי-תלות,2025-09-30,11185620.47,1.0,100.5,11241.54857,0.488009,0.006484
662,9862,"בנק הפועלים בע""מ",520000118,ח.פ.,"בנק הפועלים בע""מ  CLN אשראי משיכה 2",10000504,טיקר,קרן לא מובטחת,ישראל,ישראל,כן,"ריבית ואג""ח",2025-06-29,ilAAA,S&P מעלות,מנפיק,ILS,1.33,0.065,0.062,חברת ציטוט,אי-תלות,2025-09-30,7802218.33,1.0,100.4,7833.4272,0.340059,0.004518
662,9862,"אן. אס. נוקס טכנולוגיות בע""מ",515267888,ח.פ.,NSKNOX SAFE,12914009,פנימי,קרן לא מובטחת,ישראל,ישראל,לא,מניות לרבות מדדי מניות,2025-07-14,NR,NR,NR,USD,"תא ללא תוכן, המשך בתא הבא",0.0,"תא ללא תוכן, המשך בתא הבא",מומחה בלתי תלוי,אי-תלות,2025-07-06,4313.0,3.306,100.0,14.25877,0.000618,8e-06
662,9862,"טאביט טכנולוגיות בע""מ",514759661,ח.פ.,Tabit Technologies Ltd,12914002,פנימי,קרן לא מובטחת,ישראל,ישראל,לא,מניות לרבות מדדי מניות,2022-08-10,NR,NR,NR,USD,"תא ללא תוכן, המשך בתא הבא",0.0,"תא ללא תוכן, המשך בתא הבא",מומחה בלתי תלוי,אי-תלות,2024-08-11,10201.0,3.306,100.0,33.7245,0.001464,1.9e-05
662,9862,"טור-בר בע""מ",516006467,ח.פ.,Torr Bar Ltd safe,12914008,פנימי,קרן לא מובטחת,ישראל,ישראל,לא,מניות לרבות מדדי מניות,2025-03-04,NR,NR,NR,USD,"תא ללא תוכן, המשך בתא הבא",0.0,"תא ללא תוכן, המשך בתא הבא",מומחה בלתי תלוי,אי-תלות,2025-03-04,4313.0,3.306,100.0,14.25877,0.000618,8e-06
662,9862,"סופלנט בע""מ",515724847,ח.פ.,SUPPLANT LTD,12914005,פנימי,קרן לא מובטחת,ישראל,ישראל,לא,מניות לרבות מדדי מניות,2024-06-06,NR,NR,NR,USD,"תא ללא תוכן, המשך בתא הבא",0.0,"תא ללא תוכן, המשך בתא הבא",מומחה בלתי תלוי,אי-תלות,2025-05-27,24751.81,3.306,100.0,81.82948,0.003552,4.7e-05
214,12028,הגעת לשדה האחרון בשורה זו,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,13415,הגעת לשדה האחרון בשורה זו,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,14198,הגעת לשדה האחרון בשורה זו,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,14199,הגעת לשדה האחרון בשורה זו,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,14200,הגעת לשדה האחרון בשורה זו,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,15038,הגעת לשדה האחרון בשורה זו,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,15276,הגעת לשדה האחרון בשורה זו,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,15277,הגעת לשדה האחרון בשורה זו,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,15278,הגעת לשדה האחרון בשורה זו,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,2173,הגעת לשדה האחרון בשורה זו,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,2203,הגעת לשדה האחרון בשורה זו,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,8806,הגעת לשדה האחרון בשורה זו,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,9097,הגעת לשדה האחרון בשורה זו,,,,,,,,,,,,,,,,,,,,,,,,,,,
662,13278,הגעת לשדה האחרון בשורה זו,,,,,,,,,,,,,,,,,,,,,,,,,,,
662,13279,הגעת לשדה האחרון בשורה זו,,,,,,,,,,,,,,,,,,,,,,,,,,,
662,13424,הגעת לשדה האחרון בשורה זו,,,,,,,,,,,,,,,,,,,,,,,,,,,
662,13684,הגעת לשדה האחרון בשורה זו,,,,,,,,,,,,,,,,,,,,,,,,,,,
662,13685,הגעת לשדה האחרון בשורה זו,,,,,,,,,,,,,,,,,,,,,,,,,,,
662,14192,הגעת לשדה האחרון בשורה זו,,,,,,,,,,,,,,,,,,,,,,,,,,,
662,14193,הגעת לשדה האחרון בשורה זו,,,,,,,,,,,,,,,,,,,,,,,,,,,
662,14194,הגעת לשדה האחרון בשורה זו,,,,,,,,,,,,,,,,,,,,,,,,,,,
662,15039,הגעת לשדה האחרון בשורה זו,,,,,,,,,,,,,,,,,,,,,,,,,,,
662,15279,הגעת לשדה האחרון בשורה זו,,,,,,,,,,,,,,,,,,,,,,,,,,,
662,15280,הגעת לשדה האחרון בשורה זו,,,,,,,,,,,,,,,,,,,,,,,,,,,
662,15281,הגעת לשדה האחרון בשורה זו,,,,,,,,,,,,,,,,,,,,,,,,,,,
662,15282,הגעת לשדה האחרון בשורה זו,,,,,,,,,,,,,,,,,,,,,,,,,,,
