מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,סטאטוס סחירות,זירת מסחר,נכס בסיס (כתב אופציה),ענף מסחר,תאריך פקיעה,בעל עניין/צד קשור,מטבע פעילות,שער מימוש,יחס המרה,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,"שווי הוגן (באלפי ש""ח)",שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה,הגעת לשדה האחרון בשורה זו
214,9829,נאוויטס פטרוליום שותפות מוגבלת,550263107.0,מספר שותפות,נאוויטס אופציה 6,IL0012288242,ISIN,ישראל,"ארה""ב",סחיר,TASE,IL0011419699,חיפושי נפט וגז,2026-08-31,כן,ILS,12000.0,1.0,1965.23,1.0,1609.0,31.62049,0.370565,5e-06,הגעת לשדה האחרון בשורה זו
283,283,"ג'י סיטי בע""מ",520033234.0,ח.פ.,ג'י סיטי אפ 11,IL0012148164,ISIN,ישראל,אירופה,סחיר,TASE,IL0001260111,"נדל""ן מניב בחו""ל",2027-12-15,לא,ILS,2038.15,1.0,13885.62,1.0,149.2,20.71734,0.148468,1e-06,הגעת לשדה האחרון בשורה זו
283,283,נאוויטס פטרוליום שותפות מוגבלת,550263107.0,מספר שותפות,נאוויטס אופציה 6,IL0012288242,ISIN,ישראל,"ארה""ב",סחיר,TASE,IL0011419699,חיפושי נפט וגז,2026-08-31,כן,ILS,12000.0,1.0,3213.72,1.0,1609.0,51.7089,0.370565,2e-06,הגעת לשדה האחרון בשורה זו
283,283,"זפירוס ווינג אנרג'יס בע""מ",516537560.0,ח.פ.,זפירוס אפ 1,IL0011947038,ISIN,ישראל,ישראל,סחיר,TASE,IL0011946956,אנרגיה מתחדשת,2026-06-30,כן,ILS,1650.0,1.0,8303.18,1.0,464.5,38.56827,0.276394,2e-06,הגעת לשדה האחרון בשורה זו
283,283,"אמות השקעות בע""מ",520026683.0,ח.פ.,אמות אפ 12,IL0012250366,ISIN,ישראל,ישראל,סחיר,TASE,IL0010972789,"נדל""ן מניב בישראל",2026-12-31,כן,ILS,2768.75,1.0,16811.47,1.0,169.8,28.54588,0.20457,1e-06,הגעת לשדה האחרון בשורה זו
662,12140,נאוויטס פטרוליום שותפות מוגבלת,550263107.0,מספר שותפות,נאוויטס אופציה 6,IL0012288242,ISIN,ישראל,"ארה""ב",סחיר,TASE,IL0011419699,חיפושי נפט וגז,2026-08-31,כן,ILS,12000.0,1.0,138.66,1.0,1609.0,2.23109,0.370566,6e-06,הגעת לשדה האחרון בשורה זו
662,12140,"זפירוס ווינג אנרג'יס בע""מ",516537560.0,ח.פ.,זפירוס אפ 1,IL0011947038,ISIN,ישראל,ישראל,סחיר,TASE,IL0011946956,אנרגיה מתחדשת,2026-06-30,כן,ILS,1650.0,1.0,358.26,1.0,464.5,1.66411,0.276395,4e-06,הגעת לשדה האחרון בשורה זו
662,12140,"אמות השקעות בע""מ",520026683.0,ח.פ.,אמות אפ 12,IL0012250366,ISIN,ישראל,ישראל,סחיר,TASE,IL0010972789,"נדל""ן מניב בישראל",2026-12-31,כן,ILS,2768.75,1.0,725.37,1.0,169.8,1.23167,0.20457,3e-06,הגעת לשדה האחרון בשורה זו
662,12140,"ג'י סיטי בע""מ",520033234.0,ח.פ.,ג'י סיטי אפ 11,IL0012148164,ISIN,ישראל,אירופה,סחיר,TASE,IL0001260111,"נדל""ן מניב בחו""ל",2027-12-15,לא,ILS,2038.15,1.0,599.12,1.0,149.2,0.89389,0.148467,2e-06,הגעת לשדה האחרון בשורה זו
662,13278,"אמות השקעות בע""מ",520026683.0,ח.פ.,אמות אפ 12,IL0012250366,ISIN,ישראל,ישראל,סחיר,TASE,IL0010972789,"נדל""ן מניב בישראל",2026-12-31,כן,ILS,2768.75,1.0,4887.47,1.0,169.8,8.29892,0.20457,1e-05,הגעת לשדה האחרון בשורה זו
662,13278,"זפירוס ווינג אנרג'יס בע""מ",516537560.0,ח.פ.,זפירוס אפ 1,IL0011947038,ISIN,ישראל,ישראל,סחיר,TASE,IL0011946956,אנרגיה מתחדשת,2026-06-30,כן,ILS,1650.0,1.0,2413.92,1.0,464.5,11.21265,0.276395,1.4e-05,הגעת לשדה האחרון בשורה זו
662,13278,נאוויטס פטרוליום שותפות מוגבלת,550263107.0,מספר שותפות,נאוויטס אופציה 6,IL0012288242,ISIN,ישראל,"ארה""ב",סחיר,TASE,IL0011419699,חיפושי נפט וגז,2026-08-31,כן,ILS,12000.0,1.0,934.3,1.0,1609.0,15.03292,0.370565,1.9e-05,הגעת לשדה האחרון בשורה זו
662,13278,"ג'י סיטי בע""מ",520033234.0,ח.פ.,ג'י סיטי אפ 11,IL0012148164,ISIN,ישראל,אירופה,סחיר,TASE,IL0001260111,"נדל""ן מניב בחו""ל",2027-12-15,לא,ILS,2038.15,1.0,4036.85,1.0,149.2,6.02299,0.148468,7e-06,הגעת לשדה האחרון בשורה זו
662,15279,"אמות השקעות בע""מ",520026683.0,ח.פ.,אמות אפ 12,IL0012250366,ISIN,ישראל,ישראל,סחיר,TASE,IL0010972789,"נדל""ן מניב בישראל",2026-12-31,כן,ILS,2768.75,1.0,1135.62,1.0,169.8,1.92829,0.20457,2.7e-05,הגעת לשדה האחרון בשורה זו
662,15279,"זפירוס ווינג אנרג'יס בע""מ",516537560.0,ח.פ.,זפירוס אפ 1,IL0011947038,ISIN,ישראל,ישראל,סחיר,TASE,IL0011946956,אנרגיה מתחדשת,2026-06-30,כן,ILS,1650.0,1.0,560.88,1.0,464.5,2.6053,0.276394,3.6e-05,הגעת לשדה האחרון בשורה זו
662,15279,"ג'י סיטי בע""מ",520033234.0,ח.פ.,ג'י סיטי אפ 11,IL0012148164,ISIN,ישראל,אירופה,סחיר,TASE,IL0001260111,"נדל""ן מניב בחו""ל",2027-12-15,לא,ILS,2038.15,1.0,937.98,1.0,149.2,1.39947,0.148468,1.9e-05,הגעת לשדה האחרון בשורה זו
662,15279,נאוויטס פטרוליום שותפות מוגבלת,550263107.0,מספר שותפות,נאוויטס אופציה 6,IL0012288242,ISIN,ישראל,"ארה""ב",סחיר,TASE,IL0011419699,חיפושי נפט וגז,2026-08-31,כן,ILS,12000.0,1.0,217.09,1.0,1609.0,3.49296,0.370565,4.8e-05,הגעת לשדה האחרון בשורה זו
662,15281,נאוויטס פטרוליום שותפות מוגבלת,550263107.0,מספר שותפות,נאוויטס אופציה 6,IL0012288242,ISIN,ישראל,"ארה""ב",סחיר,TASE,IL0011419699,חיפושי נפט וגז,2026-08-31,כן,ILS,12000.0,1.0,0.26,1.0,1609.0,0.00422,0.370826,0.0,הגעת לשדה האחרון בשורה זו
