Unnamed: 0,מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,מספר מזהה לווה,סוג מספר מזהה לווה,שם הלוואה,מספר הלוואה,מאפיין עיקרי,מאפיין הלוואות מתואמות עבור זכויות מקרקעין,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,ענף מסחר,בעל עניין/צד קשור,קונסורציום/ סינדיקציה,מספר קונסורציום/ סינדיקציה,תאריך העמדת הלוואה,דירוג,שם מדרג,דירוג הלוואה/המנפיק,מטבע פעילות,"מח""מ",סוג הריבית,שיעור ריבית,סוג הצמדה,ריבית עוגן,שיעור תוספת/הפחתה לריבית העוגן,תשואה לפדיון,מועד פדיון,נחיתות חוזית,סוג בטוחה,שווי הבטוחות העומדות כנגד ההלוואה,שיעור הבטוחות מהחוב,מועד עדכון אחרון לשווי הבטוחות,זכות חזרה,מבנה לוח סילוקין,יעוד הלוואה,זכות פירעון מוקדם,סוג גורם משערך,שם גורם משערך,תלות/אי-תלות המשערך,תאריך שערוך אחרון,תאריך אחרון בו נבחנה בפועל ירידת ערך,שיעור ריבית בגין אי-ניצול מסגרת האשראי,ערך נקוב,שער הלוואה,שער חליפין,"שווי הוגן (באלפי ש""ח)",שווי הוגן (במטבע הפעילות),"עלות מופחתת (באלפי ש""ח)",עלות מופחתת (במטבע הפעילות),האם סווג כחוב בעייתי,השיטה שיושמה בדוח הכספי,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה,Unnamed: 54
,168,12155.0,,,,25000998.0,תאגיד,תשתיות - שלב הקמה,ישראל,,שירותים,לא,כן,,2025-02-27,A1.il,מידרוג Moodys,מנפיק,ILS,3.29,משתנה,0.069,,,,0.067,2029-05-31,החוב לא נחות,,,,2024-12-31 00:00:00,,,,כן,חברת ציטוט,,אי-תלות,2025-09-30,2025-09-30,,403259.84,99.52,1.0,401.32419,401.32419,,,,,0.000338,1.4e-05,
,168,12155.0,,,,25000962.0,תאגיד,,ישראל,,אשראי חוץ בנקאי,לא,כן,,2024-08-26,NR,NR,NR,ILS,3.41,משתנה,0.077,,,,0.065,2029-08-20,החוב לא נחות,,,,2025-09-30 00:00:00,,,,כן,חברת ציטוט,,אי-תלות,2025-09-30,2025-09-30,,53112.26,103.05,1.0,54.73219,54.73219,,,,,4.6e-05,1e-06,
,168,12155.0,,,,25000997.0,תאגיד,תשתיות - שלב הקמה,ישראל,,בנייה,לא,כן,,2025-02-17,A1.il,מידרוג Moodys,מנפיק,ILS,2.26,משתנה,0.066,,,,0.0653,2028-02-28,החוב לא נחות,,,,2023-12-31 00:00:00,,,,כן,חברת ציטוט,,אי-תלות,2025-09-30,2025-09-30,,743502.1,99.27,1.0,738.07453,738.07453,,,,,0.000623,2.6e-05,
,168,12155.0,,,,25000994.0,תאגיד,פעילות שוטפת של התאגיד - אחר/לא מסווג,ישראל,,בנייה,לא,לא,,2025-01-26,BBB,פנימי,מנפיק,ILS,2.1,משתנה,0.0915,,,,0.1016,2028-02-07,החוב נחות,,,,2025-06-30 00:00:00,,,,כן,חברת ציטוט,,אי-תלות,2025-09-30,2025-09-30,,467161.54,97.63,1.0,456.08981,456.08981,,,,,0.000385,1.6e-05,
,168,12155.0,,,,25000993.0,תאגיד,"ייזום נדל""ן לבניה של נכס ספציפי - לוגיסטיקה",ישראל,,"נדל""ן מניב בישראל",לא,לא,,2025-01-15,AA-,פנימי,מנפיק,ILS,0.73,משתנה,0.065,,,,0.0686,2026-06-30,החוב לא נחות,,,,,,,,כן,חברת ציטוט,,אי-תלות,2025-09-30,2025-09-30,,2393374.26,102.07,1.0,2442.91711,2442.91711,,,,,0.002062,8.6e-05,
,168,12155.0,,,,25000992.0,תאגיד,תשתיות - שלב הקמה,ישראל,,בנייה,לא,כן,,2025-01-15,A1.il,מידרוג Moodys,מנפיק,ILS,3.11,משתנה,0.066,,,,0.0667,2029-02-28,החוב לא נחות,,,,2023-12-31 00:00:00,,,,כן,חברת ציטוט,,אי-תלות,2025-09-30,2025-09-30,,137195.05,98.54,1.0,135.192,135.192,,,,,0.000114,4e-06,
,168,12155.0,,,,25000991.0,תאגיד,תשתיות - שלב הקמה,ישראל,,בנייה,לא,כן,,2025-01-15,A1.il,מידרוג Moodys,מנפיק,ILS,2.26,משתנה,0.066,,,,0.0668,2028-02-28,החוב לא נחות,,,,2023-12-31 00:00:00,,,,כן,חברת ציטוט,,אי-תלות,2025-09-30,2025-09-30,,167790.32,98.96,1.0,166.0453,166.0453,,,,,0.00014,5e-06,
,168,12155.0,,,,25000989.0,תאגיד,תשתיות - שלב הקמה,ישראל,,קלינטק,לא,כן,,2024-12-30,A3.il,מידרוג Moodys,מנפיק,ILS,6.36,קבועה,0.046664,,,,0.0491,2034-12-25,החוב לא נחות,,,,2023-12-31 00:00:00,,,,כן,חברת ציטוט,,אי-תלות,2025-09-30,2025-09-30,,3084727.47,102.05,1.0,3147.96439,3147.96439,,,,,0.002658,0.000111,
,168,12155.0,,,,25000988.0,תאגיד,,ישראל,,שירותים פיננסיים,לא,לא,,2024-12-31,A2.il,מידרוג Moodys,מנפיק,ILS,0.25,משתנה,0.065,,,,0.06,2025-12-31,החוב לא נחות,,,, ,,,,כן,חברת ציטוט,,אי-תלות,2025-09-30,2025-09-30,,11864420.11,105.08,1.0,12467.13265,12467.13265,,,,,0.010527,0.000443,
,168,12155.0,,,,25000987.0,תאגיד,,ישראל,,אשראי חוץ בנקאי,לא,כן,,2024-12-29,NR,NR,NR,ILS,3.77,קבועה,0.04996,,,,0.054,2029-12-20,החוב לא נחות,,,,2025-09-30 00:00:00,,,,כן,חברת ציטוט,,אי-תלות,2025-09-30,2025-09-30,,223679.68,102.0,1.0,228.15328,228.15328,,,,,0.000192,8e-06,
