Unnamed: 0,מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם שותף כללי קרן השקעות,מספר מזהה שותף כללי קרן השקעות,סוג מספר מזהה שותף כללי קרן השקעות,שם קרן השקעה,מספר מזהה קרן השקעה,סוג מספר מזהה קרן השקעות,מאפיין עיקרי,אסטרטגיית קרן ההשקעה,"ישראל/חו""ל",מדינת התאגדות קרן השקעה,מיקום משרד השותף הכללי,מדינה לפי חשיפה כלכלית,בעל עניין/צד קשור,תאריך רכישה,מטבע פעילות,סוג גורם משערך,תלות/אי-תלות המשערך,תאריך שערוך אחרון,שער חליפין,NAV (במטבע הדיווח של קרן ההשקעה),"שווי הוגן (באלפי ש""ח)",שיעור החזקה בקרן השקעה,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה,Unnamed: 27
,168,2016.0,Starlight Canadian Residential Growth Fund III GP Inc,,,Starlight 3 PEN-GEMEL,291231234.0,פנימי,"קרן נדל""ן",,"חו""ל",,,קנדה,לא,2022-05-19,CAD,דיווח מנהל הקרן,אי-תלות,2025-06-30,2.3745,7937.18398,18846.84336,0.007937,0.00905,0.001009,
,168,2016.0,"TPG Asia GenPar VII, L.P.",,,"TPG ASIS VLL B, L.P.",291231046.0,פנימי,קרן השקעה אחרת,,"חו""ל",,,גלובלי,לא,2018-08-30,USD,דיווח מנהל הקרן,אי-תלות,2025-06-30,3.306,2325.78512,7689.04562,0.000516,0.003692,0.000411,
,168,2016.0,LCN European Fund IV GP S. r.l.,,,LCN European Fund IV SLP,291231272.0,פנימי,"קרן נדל""ן",,"חו""ל",,,אירופה,לא,2024-03-24,EUR,דיווח מנהל הקרן,אי-תלות,2025-06-30,3.8807,3814.59773,14803.30944,0.006357,0.007108,0.000793,
,168,2016.0,Forma Fund General Partner Ltd,,,Forma Fund I,291231019.0,פנימי,"קרן נדל""ן",,"חו""ל",,,אירופה,לא,2017-06-06,EUR,דיווח מנהל הקרן,אי-תלות,2025-06-30,3.8807,1007.58985,3910.15394,0.006717,0.001877,0.000209,
,168,2016.0,Lexington Partners GP Holdings IX LLC,,,Lexington Capital Partners IX,291231074.0,פנימי,"קרן נדל""ן",,"חו""ל",,,"ארה""ב",לא,2020-01-12,USD,דיווח מנהל הקרן,אי-תלות,2025-06-30,3.306,3819.07116,12625.84927,0.000293,0.006063,0.000676,
,168,2016.0,Lexington Partners GP Holdings V LLC,,,LMMI IV,291231008.0,פנימי,"קרן נדל""ן",,"חו""ל",,,"ארה""ב",לא,2016-11-30,USD,דיווח מנהל הקרן,אי-תלות,2025-06-30,3.306,1333.57271,4408.7914,0.000501,0.002117,0.000236,
,168,2016.0,Pantheon Access GP S.a r.l,,,Pantheon Global Infrastructure Fund III,291231045.0,פנימי,קרן אנרגיה ותשתיות,,"חו""ל",,,"ארה""ב",לא,2018-08-28,USD,דיווח מנהל הקרן,אי-תלות,2025-06-30,3.306,2200.49198,7274.82648,0.001833,0.003493,0.000389,
,168,2016.0,ARES CAPITAL EUROPE V GP (DELAWARE) L.P/Ares Capital Europe V GP S.a r.l.,,,Ares Capital Europe V Unlevered,291231105.0,פנימי,קרן חוב,,"חו""ל",,,אירופה,לא,2020-12-31,EUR,דיווח מנהל הקרן,אי-תלות,2025-06-30,3.8807,3441.66336,13356.06302,0.000312,0.006413,0.000715,
,168,2016.0,ALEMIF IV Management LLC,,,Electra Multifamily Investments Fund 4,291231204.0,פנימי,"קרן נדל""ן",,"חו""ל",,,"ארה""ב",לא,2022-05-22,USD,דיווח מנהל הקרן,אי-תלות,2025-03-31,3.306,6047.76599,19993.91437,0.004652,0.009601,0.001071,
,168,2016.0,Silverstein DF I GP LLC,,,SCP IRE SERIES III LP,291231174.0,פנימי,"קרן נדל""ן",,"חו""ל",,,"ארה""ב",לא,2021-12-30,USD,דיווח מנהל הקרן,אי-תלות,2025-06-30,3.306,98.19709,324.6396,4.9e-05,0.000155,1.7e-05,
,168,2016.0,PAZ G.P.,,,AP SUNRAY POWER LP,291231251.0,פנימי,קרן אנרגיה ותשתיות,,"חו""ל",,,"ארה""ב",לא,2023-01-31,USD,דיווח מנהל הקרן,אי-תלות,2024-09-30,3.306,2656.61951,8782.7841,0.020435,0.004217,0.00047,
,168,2016.0,Starlight Bond FP 1 GP Ltd.,,,Starlight UK (Bond FP 1 LP) - OPS - Pen,291231246.0,פנימי,"קרן נדל""ן",,"חו""ל",,,בריטניה,לא,2022-10-09,GBP,דיווח מנהל הקרן,אי-תלות,2025-06-30,4.4409,1472.8317,6540.69831,0.002454,0.003141,0.00035,
,168,2016.0,נוי אי. איי תשתיות ואנרגיה ג'י.פי,,,נוי פסולת לאנרגיה NOY WASTE TO ENERGY 2,691239767.0,פנימי,קרן אנרגיה ותשתיות,,"חו""ל",,,בריטניה,לא,2015-11-01,GBP,דיווח מנהל הקרן,אי-תלות,2025-03-31,4.4409,1.17386,5.21302,2.5e-05,2e-06,0.0,
,168,2016.0,Global Healthcare Management LP,,,Sphera Global Healthcare - J - Pocket,591231062.0,פנימי,קרן גידור (Hedge Fund),,"חו""ל",,,"ארה""ב",לא,2023-06-07,USD,דיווח מנהל הקרן,אי-תלות,2025-08-31,3.306,13.25024,43.80532,0.003473,2.1e-05,2e-06,
,168,2016.0,נוי אי. איי תשתיות ואנרגיה ג'י.פי,,,נוי פסולת לאנרגיה  NOY WASTE TO ENERGY,691239759.0,פנימי,קרן אנרגיה ותשתיות,,"חו""ל",,,בריטניה,לא,2015-06-01,GBP,דיווח מנהל הקרן,אי-תלות,2025-03-31,4.4409,10.94437,48.60289,0.000277,2.3e-05,2e-06,
,168,2016.0,ICG Europe Fund VI GP Limited,,,ICG Europe Fund VI,691239752.0,פנימי,קרן חוב,,"חו""ל",,,אירופה,לא,2015-03-01,EUR,דיווח מנהל הקרן,אי-תלות,2025-06-30,3.8807,24.33099,94.4213,9e-06,4.5e-05,5e-06,
,168,2016.0,Pershing Square Holdco GP LLC,,,Pershing Square HoldCo,25300017.0,פנימי,קרן השקעה אחרת,,"חו""ל",,,"ארה""ב",לא,2024-06-06,USD,דיווח מנהל הקרן,אי-תלות,2024-12-31,3.306,6065.52,20052.60912,0.000579,0.009629,0.001074,
,168,2016.0,"BPEA Private Equity GP VII, L.P.",,,Baring Asia Private Equity Fund VII,291231048.0,פנימי,קרן השקעה אחרת,,"חו""ל",,,גלובלי,לא,2018-12-20,USD,דיווח מנהל הקרן,אי-תלות,2025-06-30,3.306,2326.42543,7691.16249,0.000422,0.003693,0.000412,
,168,2016.0,Cheyne Capital Management (UK) LLP,,,Cheyne Real Estate Credit Holdings VII,291231094.0,פנימי,"קרן נדל""ן",,"חו""ל",,,אירופה,לא,2020-10-19,USD,דיווח מנהל הקרן,אי-תלות,2025-06-30,3.306,2234.42213,7386.99957,0.002793,0.003547,0.000395,
,168,2016.0,SL Green,,,SLG Opportunities Debt Fund LP,291231295.0,פנימי,"קרן נדל""ן",,"חו""ל",,,"ארה""ב",לא,2025-01-01,USD,דיווח מנהל הקרן,אי-תלות,2025-06-30,3.306,354.1722,1170.89331,0.000354,0.000562,6.2e-05,
,168,2016.0,EQT IX (General Partner) S.a.r.l.,,,EQT Europe IX,291231112.0,פנימי,קרן השקעה אחרת,,"חו""ל",,,אירופה,לא,2021-01-27,EUR,דיווח מנהל הקרן,אי-תלות,2025-06-30,3.8807,5097.44411,19781.65137,0.000339,0.009499,0.001059,
,168,2016.0,PSC Credit IV GP S. r.l,,,PCS Credit IV (B) SCSp,291231278.0,פנימי,קרן חוב,,"חו""ל",,,אירופה,לא,2024-03-28,GBP,דיווח מנהל הקרן,אי-תלות,2025-06-30,4.4409,8025.24408,35639.30644,0.008025,0.017114,0.001909,
,168,2016.0,Michelson Multifamily Fund GP II LLC,,,Michelson Multifamily REIT Fund QFPF,291231189.0,פנימי,"קרן נדל""ן",,"חו""ל",,,"ארה""ב",לא,2022-04-04,USD,דיווח מנהל הקרן,אי-תלות,2025-06-30,3.306,584.56679,1932.57781,0.002922,0.000928,0.000103,
,168,2016.0,"Hamilton Lane Advisors, LLC",,,Hamilton Lane Strategic Opportun 2017,291231014.0,פנימי,קרן חוב,,"חו""ל",,,"ארה""ב",לא,2017-03-20,USD,דיווח מנהל הקרן,אי-תלות,2025-06-30,3.306,212.02641,700.95934,0.000487,0.000336,3.7e-05,
,168,2016.0,"Apollo Impact Mission Advisors, L.P.",,,"Apollo Global Securities, LLC",291231266.0,פנימי,קרן השקעה אחרת,,"חו""ל",,,בריטניה,לא,2023-12-12,USD,דיווח מנהל הקרן,אי-תלות,2025-06-30,3.306,6828.52973,22575.11931,0.066296,0.010841,0.001209,
,168,2016.0,OEP IX General Partner L.P.,,,"One Equity Partners IX-A, L.P.",291231279.0,פנימי,קרן השקעה אחרת,,"חו""ל",,,"ארה""ב",לא,2024-04-26,USD,דיווח מנהל הקרן,אי-תלות,2025-06-30,3.306,4292.73605,14191.7854,0.003281,0.006815,0.00076,
