Unnamed: 0,מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,סטאטוס סחירות,נכס בסיס (כתב אופציה),ענף מסחר,תאריך פקיעה,בעל עניין/צד קשור,תאריך רכישה,מטבע פעילות,סוג גורם משערך,תלות/אי-תלות המשערך,תאריך שערוך אחרון,שער מימוש,יחס המרה,ערך נקוב (יחידות),שער נייר הערך,שער חליפין,"שווי הוגן (באלפי ש""ח)",שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה,Unnamed: 29
,168,2013.0,"טופ גאם תעשיות בע""מ",513561399.0,ח.פ.,טופ גאם כתב אופציה 01.02.2027,77179289.0,פנימי,ישראל,ישראל,לא סחיר,IL0011791428,פודטק,2027-02-01,לא,2025-07-31,ILS,גורם תלוי/פנימי,קיימת תלות,2025-09-30,1025.0,0.01,38745.2,122.036,1.0,47.28309,0.243042,4e-06,
,168,2013.0,"לידר ושות' פיננסיים בע""מ",520037664.0,ח.פ.,פז אנרגיה אופציה 31.01.2026,77179281.0,פנימי,ישראל,ישראל,לא סחיר,IL0011000077,אנרגיה,2026-01-31,לא,2025-07-24,ILS,גורם תלוי/פנימי,קיימת תלות,2025-09-30,658.81238,0.01,437.98,5612.81,1.0,24.58274,0.126359,2e-06,
,168,2014.0,"דב לוסטרניק ובניו בע""מ",513064907.0,ח.פ.,טופ גאם כתב אופציה 04.02.2026,77179291.0,פנימי,ישראל,ישראל,לא סחיר,IL0011791428,פודטק,2026-02-04,לא,2025-08-07,ILS,גורם תלוי/פנימי,קיימת תלות,2025-09-30,1002.0,0.01,146398.78,45.258,1.0,66.25716,0.183874,4e-06,
,168,2014.0,"ארלדן החזקות (1982) בע""מ",520033580.0,ח.פ.,טלסיס כתב אופציה 24.05.2026,77179297.0,פנימי,ישראל,ישראל,לא סחיר,IL0003540197,אלקטרוניקה ואופטיקה,2026-05-24,לא,2025-08-31,ILS,גורם תלוי/פנימי,קיימת תלות,2025-09-30,231.68604,0.01,12469.3,1290.95,1.0,160.97244,0.446723,1.1e-05,
,168,2014.0,"טופ גאם תעשיות בע""מ",513561399.0,ח.פ.,טופ גאם כתב אופציה 01.02.2027,77179289.0,פנימי,ישראל,ישראל,לא סחיר,IL0011791428,פודטק,2027-02-01,לא,2025-07-31,ILS,גורם תלוי/פנימי,קיימת תלות,2025-09-30,1025.0,0.01,71764.11,122.036,1.0,87.57805,0.243042,6e-06,
,168,2014.0,"לידר ושות' פיננסיים בע""מ",520037664.0,ח.פ.,פז אנרגיה אופציה 31.01.2026,77179281.0,פנימי,ישראל,ישראל,לא סחיר,IL0011000077,אנרגיה,2026-01-31,לא,2025-07-24,ILS,גורם תלוי/פנימי,קיימת תלות,2025-09-30,658.81238,0.01,811.22,5612.81,1.0,45.53232,0.126359,3e-06,
,168,2015.0,"טופ גאם תעשיות בע""מ",513561399.0,ח.פ.,טופ גאם כתב אופציה 01.02.2027,77179289.0,פנימי,ישראל,ישראל,לא סחיר,IL0011791428,פודטק,2027-02-01,לא,2025-07-31,ILS,גורם תלוי/פנימי,קיימת תלות,2025-09-30,1025.0,0.01,124858.32,122.036,1.0,152.3721,0.243042,8e-06,
,168,2015.0,"ארלדן החזקות (1982) בע""מ",520033580.0,ח.פ.,טלסיס כתב אופציה 24.05.2026,77179297.0,פנימי,ישראל,ישראל,לא סחיר,IL0003540197,אלקטרוניקה ואופטיקה,2026-05-24,לא,2025-08-31,ILS,גורם תלוי/פנימי,קיימת תלות,2025-09-30,231.68604,0.01,21694.63,1290.95,1.0,280.06686,0.446723,1.4e-05,
,168,2015.0,"לידר ושות' פיננסיים בע""מ",520037664.0,ח.פ.,פז אנרגיה אופציה 31.01.2026,77179281.0,פנימי,ישראל,ישראל,לא סחיר,IL0011000077,אנרגיה,2026-01-31,לא,2025-07-24,ILS,גורם תלוי/פנימי,קיימת תלות,2025-09-30,658.81238,0.01,1411.4,5612.81,1.0,79.21911,0.126359,4e-06,
,168,2015.0,"דב לוסטרניק ובניו בע""מ",513064907.0,ח.פ.,טופ גאם כתב אופציה 04.02.2026,77179291.0,פנימי,ישראל,ישראל,לא סחיר,IL0011791428,פודטק,2026-02-04,לא,2025-08-07,ILS,גורם תלוי/פנימי,קיימת תלות,2025-09-30,1002.0,0.01,254710.97,45.258,1.0,115.27709,0.183874,6e-06,
