Unnamed: 0,מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,מאפיין עיקרי,שם שותף כללי קרן השקעות,מספר מזהה שותף כללי קרן השקעות,סוג מספר מזהה שותף כללי קרן השקעות,שם קרן השקעה,מספר מזהה קרן השקעה,סוג מספר מזהה קרן השקעות,מטבע פעילות,תאריך העמדת התחייבות לקרן השקעה,סכום המחויבות הראשוני (במטבע הדיווח של קרן ההשקעה),"סכום המחויבות הראשוני (באלפי ש""ח)",יתרת המחויבות לתקופת הדיווח (במטבע הדיווח של קרן ההשקעה),"יתרת המחויבות לתקופת הדיווח (באלפי ש""ח)",שיעור יתרת המחויבות,תאריך פקיעת מחויבות להשקעה,Unnamed: 18
,665,1645.0,התחייבות להשקעה,Starlight Bond FP 1 GP Ltd.,,,Starlight UK (Bond FP 1 LP) - OPS - Pen,291231246.0,פנימי,GBP,2022-10-09,525.6,2334.13704,422.302889,1875.4049,0.803468,2027-10-09,
,665,1645.0,התחייבות להשקעה,Lexington Partners GP Holdings IX LLC,,,Lexington Capital Partners IX,291231074.0,פנימי,USD,2020-01-12,323.018,1067.897508,67.59696,223.47555,0.209266,2028-10-24,
,665,1645.0,התחייבות להשקעה,HarbourVest Partners,,,HarbourVest Asia Pacific 5 Feeder Fund l.P,291231171.0,פנימי,USD,2021-12-30,525.0,1735.65,233.625,772.36425,0.445,2035-12-31,
,665,1645.0,התחייבות להשקעה,Stonepeak Associates IV LLC,,,STONEPEAK INFRUCTURE FUND IV LP,291231165.0,פנימי,USD,2021-11-25,230.217,761.097402,81.553581,269.61614,0.354246,2033-11-25,
,665,1645.0,התחייבות להשקעה,Vintage Investments 10 Limited Partnership,,,Vintage Secondary Fund IV (Vintage X),291231024.0,פנימי,USD,2017-08-17,74.78,247.22268,7.47797,24.72217,0.099999,2027-08-03,
,665,1645.0,התחייבות להשקעה,"NFX Capital Fund II GP, LLC",,,"NFX CAPITAL FUND II, LP",291231060.0,פנימי,USD,2019-05-30,66.776,220.761456,3.2399,10.71111,0.048518,2029-05-30,
,665,1645.0,התחייבות להשקעה,Madison Realty Capital Debt Fund IV GP LLC,,,Madison Realty Capital Debt IV,291231035.0,פנימי,USD,2018-02-22,181.105,598.73313,14.965828,49.47703,0.082636,2026-04-02,
,665,1645.0,התחייבות להשקעה,"Veritas Capital Partners VIII, L.L.C.",,,"THE VERITAS CAPITAL FUND VIII, L.P. - CITCO",291231219.0,פנימי,USD,2022-09-29,287.401,950.147706,41.183369,136.15222,0.143295,2032-03-16,
,665,1645.0,התחייבות להשקעה,RedTree French Real Estate GP S.a.r.l,,,REDTREE FRENCH REAL ESTATE FUND SCS SICAV-RAIF,291231169.0,פנימי,EUR,2021-12-28,324.0,1257.3468,37.1432,144.14162,0.114639,2028-12-31,
,665,1645.0,התחייבות להשקעה,Providence Equity Partners,,,Providence Strategic Growth IV  דרך פנתיאון,291231059.0,פנימי,USD,2019-05-22,53.421,176.609826,5.747081,18.99985,0.10758,2029-04-30,
,665,1645.0,התחייבות להשקעה,Lexington Partners GP Holdings IV LLC,,,LMMI III,691239735.0,פנימי,USD,2014-06-01,11.961,39.543066,1.331001,4.40029,0.111278,2025-12-31,
,665,1645.0,התחייבות להשקעה,Allianz Global Investors GmbH,,,"Allianz European Private Credit III (EPC III) LP_x000D_
",291231277.0,פנימי,EUR,2024-03-26,970.0,3764.279,475.28226,1844.42787,0.489981,2033-11-08,
,665,1645.0,התחייבות להשקעה,"MSD Partners (GP) – RCOF II, LLC",,,MSD R.E. Credit Opp II - Pen Mashlima,291231238.0,פנימי,USD,2022-12-11,929.114,3071.650884,417.144921,1379.08111,0.44897,2030-12-11,
,665,1645.0,התחייבות להשקעה,"ISQ Global Fund III, GP",,,"ISQ Global Infrastructure Fund III, LP",291231192.0,פנימי,USD,2022-04-11,210.6,696.2436,46.74627,154.54317,0.221967,2032-03-31,
,665,1645.0,התחייבות להשקעה,ICG Asia Pacific Fund III GP LP,,,ICG Asia Pacific Fund III,691239770.0,פנימי,USD,2015-12-01,115.626,382.259556,24.104869,79.6907,0.208472,2026-07-31,
,665,1645.0,התחייבות להשקעה,Shaked Partners II G.P Ltd.,,,Shaked Partners II,291231256.0,פנימי,ILS,2023-06-06,849.022,849.022,719.27383,719.27383,0.847179,2030-06-06,
,665,1645.0,התחייבות להשקעה,Signal Alpha II GP Limited,,,Signal Alpha II,291231081.0,פנימי,EUR,2020-04-30,605.658,2350.377001,69.114159,268.21132,0.114114,2026-06-30,
,665,1645.0,התחייבות להשקעה,Arkin Bio Capital General Partner Limited Partnership,,,"Arkin Bio Capital, L.P",291231167.0,פנימי,USD,2021-12-09,280.0,925.68,173.547649,573.74853,0.619813,2029-12-31,
,665,1645.0,התחייבות להשקעה,CVC Capital Partners VIII Limited,,,CVC Capital Partners VIII,291231082.0,פנימי,EUR,2020-06-08,403.772,1566.918,17.53398,68.04412,0.043425,2030-06-30,
,665,1645.0,התחייבות להשקעה,COGITO CAPITAL GENERAL PARTNER LTD,,,קוגיטו קפיטל אס.אם.אי. (עסקים בינוניים),691239771.0,פנימי,ILS,2015-12-01,239.954,239.954,103.91158,103.91158,0.433047,2027-12-30,
,665,1645.0,התחייבות להשקעה,CITIC Capital (Renamed Trustar Capital),,,"CITIC Capital China Partners IV, L.P.",291231053.0,פנימי,USD,2019-03-07,53.421,176.609826,2.42437,8.01497,0.045382,2029-02-28,
,665,1651.0,התחייבות להשקעה,Blackstone Management Associates (Cayman) VII L.P (GP),,,Blackstone Capital Partners VII L.P. Omnibus,691239755.0,פנימי,USD,2015-04-01,45.544,150.568464,2.27414,7.51831,0.049932,2026-04-30,
,665,1651.0,התחייבות להשקעה,HarbourVest Partners,,,Dover Street IX Cayman Fund L.P.,691239773.0,פנימי,USD,2016-02-23,63.586,210.215316,5.72274,18.91938,0.09,2026-02-22,
,665,1651.0,התחייבות להשקעה,"Lightspeed General Partner Opportunity Fund II, L.P",,,"Lightspeed Opportunity Fund II, L.P.",291231191.0,פנימי,USD,2022-04-06,125.0,413.25,2.5,8.265,0.02,2032-03-01,
,665,1651.0,התחייבות להשקעה,CVC Capital Partners VIII Limited,,,CVC Capital Partners VIII,291231082.0,פנימי,EUR,2020-06-08,303.797,1178.945018,13.192491,51.1961,0.043425,2030-06-30,
,665,1651.0,התחייבות להשקעה,"General Atlantic GP 2021, LLC",,,"General Atlantic Investment Partners 2021, L.P.",291231160.0,פנימי,USD,2021-11-22,303.951,1004.862006,66.594848,220.16257,0.219097,2036-10-31,
,665,1651.0,התחייבות להשקעה,"COGITO CAPITAL LME GENERAL PARTNER, LIMITED PARTNERSHIP",,,קוגיטו קפיטל בי.אמ.אי (משלימה),291231012.0,פנימי,ILS,2016-12-27,130.182,130.182,141.12081,141.12081,1.084027,2028-12-31,
,665,1651.0,התחייבות להשקעה,Verdane Capital,,,דרך פנתיאון Verdane Edda II,291231108.0,פנימי,EUR,2021-01-24,48.6,188.60202,6.42266,24.92442,0.132153,2030-12-31,
,665,1651.0,התחייבות להשקעה,Hines HEVF 2 (GP) S.a r.l.,,,HEVF 2 SCSP,291231147.0,פנימי,EUR,2021-08-10,472.5,1833.63075,44.73462,173.60164,0.094676,2027-12-01,
,665,1651.0,התחייבות להשקעה,Battery,,,"Battery vantures xiv , L.P",291231198.0,פנימי,USD,2022-05-09,125.0,413.25,52.0,171.912,0.416,2032-02-24,
,665,1651.0,התחייבות להשקעה,"ISQ Global Fund III, GP",,,"ISQ Global Infrastructure Fund III, LP",291231192.0,פנימי,USD,2022-04-11,146.25,483.5025,32.462679,107.32162,0.221967,2032-03-31,
,665,1651.0,התחייבות להשקעה,Blackstone Tactical Opportunities Management Associates (Cayman) - NQ L.P.,,,BLACKSTONE TACTICAL OPPORTUNITIES FUND,291231011.0,פנימי,USD,2016-12-01,177.388,586.444728,183.865369,607.85891,1.036515,2030-12-31,
,665,1651.0,התחייבות להשקעה,"Mission Capital GP 6, L.P.",,,"Axiom Asia Co-investment Fund II, L.P.",291231123.0,פנימי,USD,2021-03-21,180.0,595.08,83.52042,276.11851,0.464002,2031-03-31,
,665,1651.0,התחייבות להשקעה,"BPEA Private Equity GP VII, L.P.",,,Baring Asia Private Equity Fund VII,291231048.0,פנימי,USD,2018-12-20,110.819,366.367614,41.808781,138.21983,0.37727,2029-07-31,
,665,1651.0,התחייבות להשקעה,Viola Credit ALF III GP L.P.,,,"Viola Credit ALF III (U) (2), L.P",291231294.0,פנימי,USD,2024-10-01,165.0,545.49,51.15,169.1019,0.31,2031-03-31,
,665,1651.0,התחייבות להשקעה,HarbourVest Partners,,,HarbourVest Asia Pacific 5 Feeder Fund l.P,291231171.0,פנימי,USD,2021-12-30,450.0,1487.7,200.25,662.0265,0.445,2035-12-31,
,665,1651.0,התחייבות להשקעה,Arkin Bio Capital General Partner Limited Partnership,,,"Arkin Bio Capital, L.P",291231167.0,פנימי,USD,2021-12-09,240.0,793.44,148.755139,491.78449,0.619813,2029-12-31,
,665,1651.0,התחייבות להשקעה,"OEP VII General Partner, L.P.",,,One Equity Partners VII,291231056.0,פנימי,USD,2019-03-31,175.463,580.080678,14.81983,48.99436,0.084461,2029-03-31,
,665,1651.0,התחייבות להשקעה,"PONTIFAX 6 GP, LIMITED PARTNERSHIP",,,PONTIFAX (ISRAEL) VI LIMITED PARTNE,291231098.0,פנימי,USD,2020-11-15,199.049,658.055994,61.705411,203.99809,0.310001,2031-03-31,
,665,1651.0,התחייבות להשקעה,"Hamilton Lane Advisors, LLC",,,Hamilton Lane Strategic Opportun Fund V 2019,291231064.0,פנימי,USD,2019-06-30,184.698,610.611588,52.800399,174.55812,0.285874,2025-11-26,
,665,1651.0,התחייבות להשקעה,"Financial Credit Investment Advisors III, L.P.",,,Financial Credit Investment III,691239775.0,פנימי,USD,2016-04-20,158.966,525.541596,76.753399,253.74674,0.482829,2030-01-01,
,665,1651.0,התחייבות להשקעה,PSC Credit IV GP S. r.l,,,PCS Credit IV (B) SCSp,291231278.0,פנימי,GBP,2024-03-28,834.999,3708.147059,306.48575,1361.07257,0.367049,2032-03-31,
,665,1651.0,התחייבות להשקעה,"ג'יי.טי.אל.וי 3 ש.כ. בע""מ",,,JTLV 3,291231207.0,פנימי,ILS,2022-06-06,954.0,954.0,155.45918,155.45918,0.162955,2030-05-31,
,665,1651.0,התחייבות להשקעה,FATTAL PARTNERSHIP III GP LTD,,,Fattal Partnership III (International) LP,291231270.0,פנימי,EUR,2024-01-08,1081.25,4196.006875,672.038299,2607.97903,0.621538,2033-01-08,
