Unnamed: 0,מספר קרן,מספר מסלול,מאפיין עיקרי,חודש הנפקת שכבה,חודש הבדיקה,"שווי הנכסים באפיק (באלפי ש""ח)",שיעור מסך נכסי ההשקעה,Unnamed: 8
,168,14277.0,החזקה באפיק השקעה מובטח תשואה,,,1618.59313,0.003789,
,168,14277.0,החזקה באפיק השקעה מובטח תשואה,,,1443.00383,0.003378,
,168,14277.0,החזקה באפיק השקעה מובטח תשואה,,,1260.48795,0.00295,
,168,14277.0,החזקה באפיק השקעה מובטח תשואה,,,916.2126,0.002144,
,168,14277.0,החזקה באפיק השקעה מובטח תשואה,,,1324.1157,0.003099,
,168,14277.0,החזקה באפיק השקעה מובטח תשואה,,,2246.33734,0.005258,
,168,14277.0,החזקה באפיק השקעה מובטח תשואה,,,1732.49225,0.004055,
,168,14277.0,החזקה באפיק השקעה מובטח תשואה,,,102.9348,0.00024,
,168,14277.0,החזקה באפיק השקעה מובטח תשואה,,,318.04073,0.000744,
,168,14277.0,החזקה באפיק השקעה מובטח תשואה,,,1444.17502,0.00338,
,168,14277.0,החזקה באפיק השקעה מובטח תשואה,,,2028.75473,0.004749,
,168,14277.0,החזקה באפיק השקעה מובטח תשואה,,,1465.28902,0.00343,
,168,14277.0,החזקה באפיק השקעה מובטח תשואה,,,2386.26162,0.005586,
,168,14277.0,החזקה באפיק השקעה מובטח תשואה,,,1883.48197,0.004409,
,168,14277.0,החזקה באפיק השקעה מובטח תשואה,,,980.03511,0.002294,
,168,14277.0,החזקה באפיק השקעה מובטח תשואה,,,969.65515,0.00227,
,168,14277.0,החזקה באפיק השקעה מובטח תשואה,,,687.27903,0.001608,
,168,14277.0,החזקה באפיק השקעה מובטח תשואה,,,2812.3529,0.006584,
,168,14277.0,החזקה באפיק השקעה מובטח תשואה,,,2334.7267,0.005465,
,168,14277.0,החזקה באפיק השקעה מובטח תשואה,,,1248.19541,0.002922,
,168,14277.0,החזקה באפיק השקעה מובטח תשואה,,,1078.55981,0.002525,
,168,14278.0,החזקה באפיק השקעה מובטח תשואה,,,3390.23798,0.005695,
,168,14278.0,החזקה באפיק השקעה מובטח תשואה,,,2050.12156,0.003444,
,168,14278.0,החזקה באפיק השקעה מובטח תשואה,,,1881.21339,0.00316,
,168,14278.0,החזקה באפיק השקעה מובטח תשואה,,,1377.61999,0.002314,
,168,14278.0,החזקה באפיק השקעה מובטח תשואה,,,146.24275,0.000245,
,168,14278.0,החזקה באפיק השקעה מובטח תשואה,,,3317.02067,0.005572,
,168,14278.0,החזקה באפיק השקעה מובטח תשואה,,,1580.13752,0.002654,
,168,14278.0,החזקה באפיק השקעה מובטח תשואה,,,451.85061,0.000759,
,168,14278.0,החזקה באפיק השקעה מובטח תשואה,,,3995.59945,0.006712,
,168,14278.0,החזקה באפיק השקעה מובטח תשואה,,,1532.34432,0.002574,
,168,14278.0,החזקה באפיק השקעה מובטח תשואה,,,1392.36713,0.002339,
,168,14278.0,החזקה באפיק השקעה מובטח תשואה,,,976.43923,0.00164,
,168,14278.0,החזקה באפיק השקעה מובטח תשואה,,,1773.35102,0.002979,
,168,14278.0,החזקה באפיק השקעה מובטח תשואה,,,2299.58687,0.003863,
,168,14278.0,החזקה באפיק השקעה מובטח תשואה,,,1301.69245,0.002186,
,168,14278.0,החזקה באפיק השקעה מובטח תשואה,,,2882.31653,0.004842,
,168,14278.0,החזקה באפיק השקעה מובטח תשואה,,,2675.92289,0.004495,
,168,14278.0,החזקה באפיק השקעה מובטח תשואה,,,2081.78283,0.003497,
,168,14278.0,החזקה באפיק השקעה מובטח תשואה,,,1790.81543,0.003008,
,168,14278.0,החזקה באפיק השקעה מובטח תשואה,,,3191.4431,0.005361,
,168,14278.0,החזקה באפיק השקעה מובטח תשואה,,,2461.40698,0.004135,
,168,14278.0,החזקה באפיק השקעה מובטח תשואה,,,2051.78551,0.003447,
,168,14348.0,החזקה באפיק השקעה מובטח תשואה,,,43.1549,0.003616,
,168,14348.0,החזקה באפיק השקעה מובטח תשואה,,,50.53455,0.004235,
,168,14348.0,החזקה באפיק השקעה מובטח תשואה,,,70.05331,0.005871,
,168,14348.0,החזקה באפיק השקעה מובטח תשואה,,,31.09148,0.002605,
,168,14348.0,החזקה באפיק השקעה מובטח תשואה,,,55.95435,0.004689,
,168,14348.0,החזקה באפיק השקעה מובטח תשואה,,,58.15605,0.004873,
,168,14348.0,החזקה באפיק השקעה מובטח תשואה,,,35.94399,0.003012,
,168,14348.0,החזקה באפיק השקעה מובטח תשואה,,,40.31777,0.003378,
,168,14348.0,החזקה באפיק השקעה מובטח תשואה,,,31.39768,0.002631,
,168,14348.0,החזקה באפיק השקעה מובטח תשואה,,,17.11953,0.001434,
,168,14348.0,החזקה באפיק השקעה מובטח תשואה,,,35.97317,0.003014,
,168,14348.0,החזקה באפיק השקעה מובטח תשואה,,,2.56402,0.000214,
,168,14348.0,החזקה באפיק השקעה מובטח תשואה,,,24.15328,0.002024,
,168,14348.0,החזקה באפיק השקעה מובטח תשואה,,,26.866,0.002251,
,168,14348.0,החזקה באפיק השקעה מובטח תשואה,,,36.4991,0.003058,
,168,14348.0,החזקה באפיק השקעה מובטח תשואה,,,27.70394,0.002321,
,168,14348.0,החזקה באפיק השקעה מובטח תשואה,,,22.82207,0.001912,
,168,14348.0,החזקה באפיק השקעה מובטח תשואה,,,24.41184,0.002045,
,168,14348.0,החזקה באפיק השקעה מובטח תשואה,,,32.98259,0.002764,
