Unnamed: 0,מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,סטאטוס סחירות,זירת מסחר,נכס בסיס (כתב אופציה),ענף מסחר,תאריך פקיעה,בעל עניין/צד קשור,מטבע פעילות,שער מימוש,יחס המרה,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,"שווי הוגן (באלפי ש""ח)",שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה,Unnamed: 26
,168,13350.0,,,,,,,,,,,,,,,,,,,,,,,,
,168,13887.0,,,,,,,,,,,,,,,,,,,,,,,,
,168,14277.0,,,,,,,,,,,,,,,,,,,,,,,,
,168,14278.0,,,,,,,,,,,,,,,,,,,,,,,,
,168,14348.0,,,,,,,,,,,,,,,,,,,,,,,,
,168,15342.0,,,,,,,,,,,,,,,,,,,,,,,,
,168,15661.0,,,,,,,,,,,,,,,,,,,,,,,,
,168,2182.0,,,,,,,,,,,,,,,,,,,,,,,,
,168,2212.0,,,,,,,,,,,,,,,,,,,,,,,,
,168,8561.0,,,,,,,,,,,,,,,,,,,,,,,,
,665,13352.0,,,,,,,,,,,,,,,,,,,,,,,,
,665,13875.0,,,,,,,,,,,,,,,,,,,,,,,,
,665,14308.0,,,,,,,,,,,,,,,,,,,,,,,,
,665,14309.0,,,,,,,,,,,,,,,,,,,,,,,,
,665,15673.0,,,,,,,,,,,,,,,,,,,,,,,,
,665,2213.0,,,,,,,,,,,,,,,,,,,,,,,,
,סוף מידע טבלה,,,,,,,,,,,,,,,,,,,,,,,,,
