Unnamed: 0,מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,סטאטוס סחירות,זירת מסחר,ענף מסחר,בעל עניין/צד קשור,דירוג,שם מדרג,דירוג נייר הערך/המנפיק,מטבע פעילות,"מח""מ",מועד פדיון,שיעור ריבית,תשואה לפדיון,נחיתות חוזית,האם סווג כחוב בעייתי,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,סכום לקבל (במטבע הפעילות),"שווי הוגן (באלפי ש""ח)","עלות מופחתת (באלפי ש""ח)",עלות מופחתת (במטבע הפעילות),השיטה שיושמה בדוח הכספי,שיעור מערך נקוב מונפק,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה,Unnamed: 37
,168,8812.0,"ביג מרכזי קניות בע""מ",513623314,ח.פ.,"ביג אג""ח כא",IL0012022179,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,"נדל""ן מניב בישראל",כן,ilAA,S&P מעלות,מנפיק,ILS,4.48,2030-07-03,0.026,0.0276,החוב לא נחות,,164.44,1.0,106.48,,0.17509,,,,0.0,2e-06,0.0,
,168,8812.0,"בית זיקוק אשדוד בע""מ",513775163,ח.פ.,"בית זיקוק אשדוד אג""ח 2",IL0011994881,ISIN,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,אנרגיה,כן,A3.il,מידרוג Moodys,מנפיק,ILS,2.53,2029-04-30,0.0725,0.0543,החוב לא נחות,,112.17,1.0,107.9,,0.12103,,,,0.0,1e-06,0.0,
,168,8812.0,"אמפא בע""מ",510000813,ח.פ.,אמפא אגח א,IL0012292855,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,"נדל""ן מניב בישראל",כן,ilAA,S&P מעלות,מנפיק,ILS,5.32,2033-12-31,0.0332,0.0315,החוב לא נחות,,364.18,1.0,101.16,,0.36841,,,,0.0,4e-06,0.0,
,168,8812.0,"אדמה פתרונות לחקלאות בע""מ",520043605,ח.פ.,"אדמה אג""ח ב",IL0011109159,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,"כימיה, גומי ופלסטיק",לא,ilAA-,S&P מעלות,מנפיק,ILS,4.8,2036-11-30,0.0515,0.0409,החוב לא נחות,,181.39,1.0,153.07,,0.27765,,,,0.0,3e-06,0.0,
,168,8812.0,"מבנה נדל""ן (כ.ד) בע""מ",520024126,ח.פ.,"מבני תעשיה אג""ח 17",IL0022604461,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,"נדל""ן מניב בישראל",כן,ilAA,S&P מעלות,מנפיק,ILS,1.69,2028-06-30,0.037,0.0289,החוב לא נחות,,9.12,1.0,121.5,,0.01109,,,,0.0,0.0,0.0,
,168,8812.0,"קבוצת דוראל משאבי אנרגיה מתחדשת בע""מ",515364891,ח.פ.,"דוראל אג""ח א",IL0011791345,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,אנרגיה מתחדשת,לא,NR,NR,NR,ILS,2.19,2028-06-30,0.0158,0.0385,החוב לא נחות,,41.12,1.0,111.79,,0.04597,,,,0.0,0.0,0.0,
,168,8812.0,"בנק לאומי לישראל בע""מ",520018078,ח.פ.,"לאומי אג""ח 182",IL0060405391,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,בנקים,כן,ilAAA,S&P מעלות,מנפיק,ILS,2.15,2027-11-25,0.001,0.0252,החוב לא נחות,,620.69,1.0,110.05,,0.68307,,,,0.0,7e-06,0.0,
,168,8812.0,"מזרחי טפחות חברה להנפקות בע""מ",520032046,ח.פ.,"מזרחי הנפקות אג""ח 63",IL0023105484,ISIN,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,בנקים,לא,Aaa.il,מידרוג Moodys,מנפיק,ILS,2.83,2031-04-12,0.0274,0.0447,החוב לא נחות,,946.48,1.0,96.57,,0.91402,,,,0.0,1e-05,0.0,
,168,8812.0,סילברסטין נכסים לימיטד,1737,מספר מנפיק,"סילברסטין אג""ח ב",IL0011605974,ISIN,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,"נדל""ן מניב בחו""ל",לא,ilAA,S&P מעלות,מנפיק,ILS,1.2,2027-12-31,0.0349,0.0541,החוב לא נחות,,316.21,1.0,98.69,,0.31207,,,,0.0,3e-06,0.0,
,168,8812.0,בנק הפועלים בע''מ,520000118,ח.פ.,"פועלים אג""ח 204",IL0012274531,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,בנקים,כן,Aaa.il,מידרוג Moodys,מנפיק,ILS,4.99,2035-08-21,0.0261,0.0258,החוב לא נחות,,784.32,1.0,101.11,,0.79303,,,,0.0,9e-06,0.0,
