Unnamed: 0,מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,זירת מסחר,סיווג הקרן,בעל עניין/צד קשור,מטבע פעילות,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,סכום לקבל (במטבע הפעילות),"שווי הוגן (באלפי ש""ח)",שיעור מערך נקוב מונפק,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה,Unnamed: 24
,665,13307.0,Industrial Select Sector SPDR,549300HQI51T8KP6U325,LEI,XLI-SPDR Industrial,US81369Y7040,ISIN,"עוקב אחר מדדי מניות בחו""ל","חו""ל","ארה""ב",NYSE,"מניות בחו""ל - מניות לפי ענפים בחו""ל - חשופת מט""ח-ענפים אחרים",לא,USD,570.98,3.306,15423.0,,291.13206,3e-06,0.043949,0.006237,
,665,13307.0,Health Care Select Sector SPDR,549300EJNY3KKJHPOY44,LEI,XLV-SPDR Health Care,US81369Y2090,ISIN,"עוקב אחר מדדי מניות בחו""ל","חו""ל","ארה""ב",NYSE,Index Funds,לא,USD,159.19,3.306,13917.0,,73.24428,0.0,0.011056,0.001567,
,665,13307.0,iShares USD Corp Bond UCITS ET,549300QQR5SNTQVNFC45,LEI,LQDE LN iShares $ corp Bond,IE0032895942,ISIN,"עוקב אחר מדדים אחרים בחו""ל","חו""ל","ארה""ב",LSE,Index Funds,לא,USD,185.72,3.306,10390.0,,63.79304,2e-06,0.009629,0.001365,
,665,13307.0,SPDR S&P Regional Banking ETF,549300EFWJBKUN6WJX52,LEI,KRE US SPDR KBW Regional Banki,US78464A6982,ISIN,"עוקב אחר מדדי מניות בחו""ל","חו""ל","ארה""ב",NYSE,"Regional Banks מניות בחו""ל - מניות לפי ענפים בחו""ל - חשופת מט""ח-ארה""ב- מניות",לא,USD,81.83,3.306,6330.0,,17.12352,1e-06,0.002584,0.000366,
,665,13307.0,Utilities Select Sector SPDR F,549300ERQDM80PRYUH21,LEI,XLU-SPDR Utilities,US81369Y8865,ISIN,"עוקב אחר מדדי מניות בחו""ל","חו""ל","ארה""ב",NYSE,"מניות בחו""ל - מניות לפי ענפים בחו""ל - חשופת מט""ח-ענפים אחרים",לא,USD,513.07,3.306,8721.0,,147.92536,2e-06,0.022329,0.003167,
,665,13307.0,Franklin FTSE China ETF,5493007BO6696OMBQG08,LEI,FLXC LN Franklin FTSE China UCITS ETF,IE00BHZRR147,ISIN,"עוקב אחר מדדי מניות בחו""ל","חו""ל",סין,LSE,Index Funds,לא,USD,2926.08,3.306,3486.5,,337.27065,4.8e-05,0.050913,0.007225,
,665,13307.0,VANECK VECTORS GOLD MINERS ETF,54930031TORTKAM9TJ98,LEI,GDX US VanEck Vectors Gold Miners ETF,US92189F1066,ISIN,"עוקב אחר מדדי מניות בחו""ל","חו""ל",קנדה,NYSE,"מניות בחו""ל - מניות לפי ענפים בחו""ל - חשופת מט""ח-ענפים אחרים",לא,USD,149.66,3.306,7640.0,,37.80109,0.0,0.005706,0.000809,
,665,13307.0,Amundi STOXX Europe  600 Energy,549300DB2EV341R0HQ23,LEI,BNKE FP AMUNDI EURO STOXX BANKS UCITC,LU1829219390,ISIN,"עוקב אחר מדדי מניות בחו""ל","חו""ל",אירופה,EURONEXT,"MSCI AC WORLD INDEX - מניות בחו""ל - מניות כללי בחו""ל - חשופת מט""ח-מניות כללי בחו""ל",לא,EUR,89.11,3.8807,28301.5,,97.86831,8e-06,0.014774,0.002096,
,665,13307.0,Source STOXX Europe 600 Optimi,635400P6NV26FABBYW18,LEI,X7PS GY- Banks DJ600 Source,IE00B5MTWD60,ISIN,"עוקב אחר מדדי מניות בחו""ל","חו""ל",אירופה,אחר,"מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-אירופה - מדד אחר",לא,EUR,218.72,3.8807,17810.0,,151.16727,8e-05,0.022819,0.003238,
,665,13307.0,VANECK VECTORS SEMICONDUCTOR E,549300MJTG2N9QRH7I02,LEI,SMH US VanEck Vec. Semi. E,US92189F6768,ISIN,"עוקב אחר מדדי מניות בחו""ל","חו""ל","ארה""ב",NASDAQ,"מניות בחו""ל - מניות לפי ענפים בחו""ל - חשופת מט""ח-ענפים אחרים",לא,USD,91.78,3.306,32636.0,,99.02368,0.0,0.014948,0.00212,
