Unnamed: 0,מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,מאפיין עיקרי,שם נייר ערך,מספר נייר ערך,תאריך רכישה,"מח""מ",סוג הצמדה,מועד פדיון,שיעור ריבית,תשואה לפדיון,ערך נקוב (יחידות),שער נייר הערך,"שווי הוגן (באלפי ש""ח)","עלות מופחתת (באלפי ש""ח)",השיטה שיושמה בדוח הכספי,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה,Unnamed: 19
,168,12155.0,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8889 4.8% 2035,8288890.0,2020-09-01,7.9818,צמוד למדד המחירים לצרכן,2035-09-01,0.048,0.0486,201670482.52,119.090536,302186.10836,240170.45916,עלות מופחתת,0.021009,0.008544,
,168,12155.0,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8796 4.8% 2027,8287963.0,2012-11-01,1.973,צמוד למדד המחירים לצרכן,2027-11-01,0.048,0.0486,65963055.72,122.370864,85182.4041,80719.56131,עלות מופחתת,0.007061,0.002871,
,168,12155.0,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8823 4.80% 2029,8288235.0,2015-02-01,3.9422,צמוד למדד המחירים לצרכן,2030-02-01,0.048,0.0486,69037029.01,119.569799,92263.49389,82547.43672,עלות מופחתת,0.007221,0.002936,
,168,12155.0,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8848 4.80% 2032,8288482.0,2017-03-01,5.5816,צמוד למדד המחירים לצרכן,2032-03-01,0.048,0.0486,84825519.06,120.779571,120160.5671,102451.89812,עלות מופחתת,0.008962,0.003644,
,168,12155.0,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8803 4.80% 2028,8288037.0,2013-06-02,2.5033,צמוד למדד המחירים לצרכן,2028-06-02,0.048,0.0486,88931784.26,121.936104,116252.0197,108439.95283,עלות מופחתת,0.009486,0.003857,
,168,12155.0,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8863 4.80% 2033,8288630.0,2018-06-01,6.4097,צמוד למדד המחירים לצרכן,2033-06-01,0.048,0.0486,81421152.31,121.13077,118521.24027,98626.06842,עלות מופחתת,0.008627,0.003508,
,168,12155.0,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8841 4.80% 2031,8288417.0,2016-08-01,5.1226,צמוד למדד המחירים לצרכן,2031-08-01,0.048,0.0486,153032622.33,120.77398,213872.38016,184823.58897,עלות מופחתת,0.016167,0.006575,
,168,12155.0,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8844 4.80% 2031,8288441.0,2016-11-01,5.2497,צמוד למדד המחירים לצרכן,2031-11-01,0.048,0.0486,79174259.33,122.211766,112401.84366,96760.26028,עלות מופחתת,0.008464,0.003442,
,168,12155.0,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8853 4.80% 2032,8288532.0,2017-08-02,5.8709,צמוד למדד המחירים לצרכן,2032-08-02,0.048,0.0486,149453485.13,121.002219,213876.16903,180842.03293,עלות מופחתת,0.015819,0.006433,
,168,12155.0,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8873 4.8% 2034,8288730.0,2019-04-01,6.9188,צמוד למדד המחירים לצרכן,2034-04-01,0.048,0.0486,50704696.71,121.47899,75154.6054,61595.55364,עלות מופחתת,0.005388,0.002191,
