Unnamed: 0,מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,סטאטוס סחירות,ענף מסחר,בעל עניין/צד קשור,תאריך רכישה,דירוג,שם מדרג,דירוג נייר הערך/המנפיק,מטבע פעילות,"מח""מ",מועד פדיון,תשואה לפדיון,שיעור ריבית,נחיתות חוזית,האם סווג כחוב בעייתי,סוג גורם משערך,תלות/אי-תלות המשערך,תאריך שערוך אחרון,תאריך אחרון בו נבחנה בפועל ירידת ערך,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,"שווי הוגן (באלפי ש""ח)","עלות מופחתת (באלפי ש""ח)",עלות מופחתת (במטבע הפעילות),השיטה שיושמה בדוח הכספי,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה,Unnamed: 39
,168,13303.0,"מימון ישיר נדל""ן ומשכנתאות בע""מ",516100153.0,ח.פ.,מימון משכנתאות א,IL0012088188,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,לא סחיר,"אג""ח מובנות",לא,2024-07-15,A3.il,מידרוג Moodys,מנפיק,ILS,3.21,2031-12-31,0.0446,0.0445,החוב לא נחות,,חברת ציטוט,אי-תלות,2025-09-30,2025-09-30,29786.33,1.0,105.78,31.50798,,,,0.012617,1.3e-05,
,168,13303.0,"מימון ישיר נדל""ן ומשכנתאות בע""מ",516100153.0,ח.פ.,מימון משכנתאות הנפקות 1,IL0012152687,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,לא סחיר,"אג""ח מובנות",לא,2024-12-26,Aa1.il,מידרוג Moodys,מנפיק,ILS,10.41,2054-02-20,0.048,0.05,החוב לא נחות,,חברת ציטוט,אי-תלות,2025-09-30,2025-09-30,73596.15,1.0,106.71,78.53445,,,,0.031449,3.2e-05,
,168,13303.0,"כלל תעשיות בע""מ",520021874.0,ח.פ.,כלל תעשאג טז-רמ,IL0060802381,ISIN,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,לא סחיר,השקעה ואחזקות,לא,2019-12-29,A2.il,מידרוג Moodys,מנפיק,ILS,1.47,2027-06-30,0.0537,0.0447,החוב לא נחות,,חברת ציטוט,אי-תלות,2025-09-30,2025-09-30,86479.66,1.0,100.02,86.49695,,,,0.034638,3.5e-05,
,168,13303.0,"מת""ם - מרכז תעשיות מדע חיפה בע""מ",510687403.0,ח.פ.,"מת""ם ב רצף",IL0012235367,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,לא סחיר,בנייה,לא,2025-06-24,ilAA,S&P מעלות,מנפיק,ILS,5.24,2035-06-30,0.0351,0.034,החוב לא נחות,,חברת ציטוט,אי-תלות,2025-09-30,2025-09-30,99934.23,1.0,102.03,101.9629,,,,0.040831,4.2e-05,
,168,13303.0,"מימון ישיר נדל""ן ומשכנתאות בע""מ",516100153.0,ח.פ.,מימון משכנתאות הנפקות 2א,IL0012257882,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,לא סחיר,שירותים פיננסיים,לא,2025-07-29,Aa1.il,מידרוג Moodys,מנפיק,ILS,10.2,2054-06-20,0.0513,0.0525,החוב לא נחות,,חברת ציטוט,אי-תלות,2025-09-30,2025-09-30,35011.56,1.0,103.96,36.39802,,,,0.014575,1.5e-05,
,168,13303.0,"מימון ישיר נדל""ן ומשכנתאות בע""מ",516100153.0,ח.פ.,מימון משכנתאות הנפקות 2ב,IL0012257965,ISIN,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,לא סחיר,שירותים פיננסיים,לא,2025-07-29,Aa1.il,מידרוג Moodys,מנפיק,ILS,7.35,2054-06-20,0.0786,0.078,החוב לא נחות,,חברת ציטוט,אי-תלות,2025-09-30,2025-09-30,19019.14,1.0,100.1,19.03816,,,,0.007623,7e-06,
,168,13303.0,"חברת החשמל לישראל בע""מ",520000472.0,ח.פ.,חברת החשמל 2029 צמוד רצף,IL0060001869,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,לא סחיר,חשמל,לא,2014-05-07,Aaa.il,מידרוג Moodys,מנפיק,ILS,1.97,2029-05-07,0.0293,0.06,החוב לא נחות,,חברת ציטוט,אי-תלות,2025-09-30,2025-09-30,143511.51,1.0,129.32,185.58908,,,,0.07432,7.6e-05,
,168,13303.0,מימון ישיר הנפקות,516100120.0,ח.פ.,"ישיר הנפקות אג""ח 16",IL0011983405,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,לא סחיר,אשראי חוץ בנקאי,לא,2023-07-31,NR,NR,NR,ILS,1.35,2028-06-12,0.0357,0.0425,החוב לא נחות,,חברת ציטוט,אי-תלות,2025-09-30,2025-09-30,2796.02,1.0,108.68,3.03872,,,,0.001216,1e-06,
,168,13303.0,קרן שמש נכסים שותפות מוגבלת,540333101.0,ח.פ.,קרן שמש אגח א-רמ,IL0012153008,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,לא סחיר,אנרגיה מתחדשת,לא,2025-01-01,A2.il,מידרוג Moodys,מנפיק,ILS,7.88,2043-12-31,0.0405,0.039,החוב לא נחות,,חברת ציטוט,אי-תלות,2025-09-30,2025-09-30,44460.53,1.0,103.28,45.91883,,,,0.018388,1.9e-05,
,168,13303.0,י.ח.ק להשקעות,550016091.0,מספר שותפות,"י.ח.ק להשקעות אג""ח ב",IL0011817835,ISIN,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,לא סחיר,השקעה ואחזקות,לא,2021-11-14,ilA+,S&P מעלות,מנפיק,ILS,1.66,2028-12-31,0.0518,0.0286,החוב לא נחות,,חברת ציטוט,אי-תלות,2025-09-30,2025-09-30,639.23,1.0,98.48,0.62951,,,,0.000252,0.0,
