מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,מאפיין עיקרי,מספר עסקה (רגל 1),מטבע פעילות (רגל 1),שער חליפין,ערך נקוב (רגל 1),שווי הוגן במטבע הנסחר (רגל 1),שיעור מנכסי אפיק ההשקעה (רגל 1),שיעור מסך נכסי ההשקעה (רגל 1),מספר עסקה (רגל 2),מטבע פעילות (רגל 2),שער חליפין ,ערך נקוב (רגל 2),שווי הוגן במטבע הנסחר (רגל 2),שיעור מנכסי ההשקעה (רגל 2),שיעור מסך אפיק ההשקעה (רגל 2),"שווי הוגן (נטו  באלפי ש""ח)","ישראל/חו""ל",מדינה לפי חשיפה כלכלית,סוג הנכס,פקטור מוביל,פקטור נוסף,טיקר,בעל עניין/צד קשור,מועד ההתקשרות בעסקה,מועד סיום חוזי,תדירות Reset,סוג הסליקה,נספח התחשבנות בטחונות - CSA,גורם מצטט,ריבית עוגן,תקופת ריבית עוגן,שיעור ריבית עוגן,שער נכס הבסיס במועד ההתקשרות בעסקה,שער הנגזר במועד ההתקשרות בעסקה,האם קיים קנס בגין יציאה מוקדמת,שיעור הקנס בגין יציאה מוקדמת,צד נגדי - Counterparty,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
163,1589,Unfunded Forward,777113648.0,USD,3.306,-8958717.221,-8958.717,-0.35921,-0.00865,777113648.0,ILS,1,29984826.537,29984.827,0.00876,0.36366,364.808,ישראל,ישראל,"מט""ח",אחר,"מט""ח/₪",ריק במקור,לא,21/09/2025,22/10/2025,ללא,Delivery,קיים חוזה,הצד הנגדי,0.0,ללא,ריק במקור,3.347,ריק במקור,ריק במקור,ריק במקור,LUMIILITXXX,0.00442,0.00011
163,1589,Unfunded Forward,484868518.0,USD,3.306,7465597.684,7465.598,0.29934,0.00721,484868518.0,ILS,1,-25032149.034,-25032.149,-0.00731,-0.30359,-348.5,ישראל,ישראל,"מט""ח",אחר,"מט""ח/₪",ריק במקור,לא,14/07/2025,22/10/2025,ללא,Delivery,קיים חוזה,הצד הנגדי,0.0,ללא,ריק במקור,3.353,ריק במקור,ריק במקור,ריק במקור,MIZBILIT,-0.00423,-0.0001
163,1589,Unfunded Forward,485514541.0,USD,3.306,-10451836.757,-10451.837,-0.41907,-0.0101,485514541.0,ILS,1,35011562.769,35011.563,0.01023,0.42463,454.542,ישראל,ישראל,"מט""ח",אחר,"מט""ח/₪",ריק במקור,לא,25/09/2025,22/10/2025,ללא,Delivery,קיים חוזה,הצד הנגדי,0.0,ללא,ריק במקור,3.35,ריק במקור,ריק במקור,ריק במקור,MIZBILIT,0.00551,0.00013
163,1589,Unfunded Forward,485317861.0,USD,3.306,-11944956.294,-11944.956,-0.47894,-0.01154,485317861.0,ILS,1,40501763.306,40501.763,0.01183,0.49121,1006.753,ישראל,ישראל,"מט""ח",אחר,"מט""ח/₪",ריק במקור,לא,2/09/2025,22/10/2025,ללא,Delivery,קיים חוזה,הצד הנגדי,0.0,ללא,ריק במקור,3.391,ריק במקור,ריק במקור,ריק במקור,MIZBILIT,0.01221,0.00029
163,1589,Unfunded Forward,484074547.0,USD,3.306,-17246277.209,-17246.277,-0.6915,-0.01666,484074547.0,ILS,1,63319706.774,63319.707,0.0185,0.76795,6283.708,ישראל,ישראל,"מט""ח",אחר,"מט""ח/₪",ריק במקור,לא,21/04/2025,22/10/2025,ללא,Delivery,קיים חוזה,הצד הנגדי,0.0,ללא,ריק במקור,3.672,ריק במקור,ריק במקור,ריק במקור,MIZBILIT,0.07621,0.00184
163,1589,Unfunded Swap,777113663.0,ILS,1,46585.33,46.585,0.00056,1e-05,777113663.0,USD,3.306,-14091.146,-14.091,-1e-05,-0.00056,766.633,"חו""ל","ארה""ב",מניות לרבות מדדי מניות,מדדי מניות,"ארה""ב",IXCTR,לא,19/09/2025,9/09/2026,רבעוני,No-delivery,קיים חוזה,הצד הנגדי,0.0,ללא,ריק במקור,0,ריק במקור,ריק במקור,ריק במקור,CHASUS33,0.0093,0.00022
163,1589,Unfunded Swap,777113127.0,ILS,1,133977.616,133.978,0.00162,4e-05,777113127.0,USD,3.306,-40525.595,-40.526,-4e-05,-0.00162,-332.288,"חו""ל","ארה""ב",מניות לרבות מדדי מניות,מדדי מניות,"ארה""ב",IXCTR,לא,25/06/2025,23/12/2025,רבעוני,No-delivery,קיים חוזה,הצד הנגדי,0.0,ללא,ריק במקור,0,ריק במקור,ריק במקור,ריק במקור,LUMIILITXXX,-0.00403,-0.0001
163,1589,Unfunded Swap,777113135.0,ILS,1,5972.478,5.972,7e-05,0,777113135.0,USD,3.306,-1806.557,-1.807,0,-7e-05,6131.32,"חו""ל","ארה""ב",מניות לרבות מדדי מניות,מדדי מניות,"ארה""ב",IXYTR,לא,25/06/2025,3/12/2025,רבעוני,No-delivery,קיים חוזה,הצד הנגדי,0.0,ללא,ריק במקור,0,ריק במקור,ריק במקור,ריק במקור,LUMIILITXXX,0.07436,0.00179
163,1589,Unfunded Swap,777113168.0,ILS,1,6372.634,6.373,8e-05,0,777113168.0,USD,3.306,-1927.597,-1.928,0,-8e-05,5772.447,"חו""ל","ארה""ב",מניות לרבות מדדי מניות,מדדי מניות,"ארה""ב",IXYTR,לא,25/06/2025,4/12/2025,רבעוני,No-delivery,קיים חוזה,הצד הנגדי,0.0,ללא,ריק במקור,0,ריק במקור,ריק במקור,ריק במקור,CHASUS33,0.07001,0.00169
163,1589,Unfunded Swap,777113150.0,ILS,1,4554.015,4.554,6e-05,0,777113150.0,USD,3.306,-1377.5,-1.377,0,-6e-05,1622.781,"חו""ל","ארה""ב",מניות לרבות מדדי מניות,מדדי מניות,"ארה""ב",IXYTR,לא,23/06/2025,25/06/2026,רבעוני,No-delivery,קיים חוזה,הצד הנגדי,0.0,ללא,ריק במקור,0,ריק במקור,ריק במקור,ריק במקור,IDBLILITXXX,0.01968,0.00047
