מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,סטאטוס סחירות,נכס בסיס (כתב אופציה),ענף מסחר,תאריך פקיעה,בעל עניין/צד קשור,תאריך רכישה,מטבע פעילות,סוג גורם משערך,תלות/אי-תלות המשערך,תאריך שערוך אחרון,שער מימוש,יחס המרה,ערך נקוב (יחידות),שער נייר הערך,שער חליפין,"שווי הוגן (באלפי ש""ח)",שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
660,2108,CHEQ AI,514957703,ח.פ.,CHEQ AI כאו,888224474,פנימי,ישראל,ישראל,לא סחיר,מניות לרבות מדדי מניות,השקעות בהיי-טק,2033-08-26 00:00:00,לא,ריק במקור,ILS,אחר,אי-תלות,2025-09-30 00:00:00,0.0005,1,31.33,1,0,0,0,0
660,2108,איתן מדיקל,514237122,ח.פ,איתן מדיקל כתב אופציה MAY/2030,888224482,פנימי,ישראל,ישראל,לא סחיר,מניות לרבות מדדי מניות,השקעות בהיי-טק,2030-05-30 00:00:00,לא,ריק במקור,USD,אחר,אי-תלות,2025-09-30 00:00:00,0.203,1,20.423,3.306,0,0,0,0
660,2108,זוז פאוור בעמ,514881564,ח.פ.,זוז אופציה 1,1205160,פנימי,ישראל,ישראל,לא סחיר,מניות לרבות מדדי מניות,השקעה ואחזקות,28/03/2029,לא,9/04/2024,ILS,אחר,אי-תלות,30/09/2025,0,1,0.563,1,1,0,1,0
660,2109,זוז פאוור בעמ,514881564,ח.פ.,זוז אופציה 1,1205160,פנימי,ישראל,ישראל,לא סחיר,מניות לרבות מדדי מניות,השקעה ואחזקות,28/03/2029,לא,9/04/2024,ILS,אחר,אי-תלות,30/09/2025,0,1,457.907,1,1,0.005,1,0
660,2158,CHEQ AI,514957703,ח.פ.,CHEQ AI כאו,888224474,פנימי,ישראל,ישראל,לא סחיר,מניות לרבות מדדי מניות,השקעות בהיי-טק,2033-08-26 00:00:00,לא,ריק במקור,ILS,אחר,אי-תלות,2025-09-30 00:00:00,0.0005,1,2150.155,1,0,0,0,0
660,2158,איתן מדיקל,514237122,ח.פ,איתן מדיקל כתב אופציה MAY/2030,888224482,פנימי,ישראל,ישראל,לא סחיר,מניות לרבות מדדי מניות,השקעות בהיי-טק,2030-05-30 00:00:00,לא,ריק במקור,USD,אחר,אי-תלות,2025-09-30 00:00:00,0.203,1,1401.592,3.306,0,0,0,0
660,2158,זוז פאוור בעמ,514881564,ח.פ.,זוז אופציה 1,1205160,פנימי,ישראל,ישראל,לא סחיר,מניות לרבות מדדי מניות,השקעה ואחזקות,28/03/2029,לא,9/04/2024,ILS,אחר,אי-תלות,30/09/2025,0,1,916.136,1,1,0.009,1,0
660,9972,CHEQ AI,514957703,ח.פ.,CHEQ AI כאו,888224474,פנימי,ישראל,ישראל,לא סחיר,מניות לרבות מדדי מניות,השקעות בהיי-טק,2033-08-26 00:00:00,לא,ריק במקור,ILS,אחר,אי-תלות,2025-09-30 00:00:00,0.0005,1,1073.646,1,0,0,0,0
660,9972,איתן מדיקל,514237122,ח.פ,איתן מדיקל כתב אופציה MAY/2030,888224482,פנימי,ישראל,ישראל,לא סחיר,מניות לרבות מדדי מניות,השקעות בהיי-טק,2030-05-30 00:00:00,לא,ריק במקור,USD,אחר,אי-תלות,2025-09-30 00:00:00,0.203,1,699.863,3.306,0,0,0,0
660,9972,זוז פאוור בעמ,514881564,ח.פ.,זוז אופציה 1,1205160,פנימי,ישראל,ישראל,לא סחיר,מניות לרבות מדדי מניות,השקעה ואחזקות,28/03/2029,לא,9/04/2024,ILS,אחר,אי-תלות,30/09/2025,0,1,387.658,1,1,0.004,1,0
660,9973,CHEQ AI,514957703,ח.פ.,CHEQ AI כאו,888224474,פנימי,ישראל,ישראל,לא סחיר,מניות לרבות מדדי מניות,השקעות בהיי-טק,2033-08-26 00:00:00,לא,ריק במקור,ILS,אחר,אי-תלות,2025-09-30 00:00:00,0.0005,1,567.178,1,0,0,0,0
660,9973,איתן מדיקל,514237122,ח.פ,איתן מדיקל כתב אופציה MAY/2030,888224482,פנימי,ישראל,ישראל,לא סחיר,מניות לרבות מדדי מניות,השקעות בהיי-טק,2030-05-30 00:00:00,לא,ריק במקור,USD,אחר,אי-תלות,2025-09-30 00:00:00,0.203,1,369.718,3.306,0,0,0,0
660,9973,זוז פאוור בעמ,514881564,ח.פ.,זוז אופציה 1,1205160,פנימי,ישראל,ישראל,לא סחיר,מניות לרבות מדדי מניות,השקעה ואחזקות,28/03/2029,לא,9/04/2024,ILS,אחר,אי-תלות,30/09/2025,0,1,100.763,1,1,0.001,1,0
