מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם שותף כללי קרן השקעות,מספר מזהה שותף כללי קרן השקעות,סוג מספר מזהה שותף כללי קרן השקעות,שם קרן השקעה,מספר מזהה קרן השקעה,סוג מספר מזהה קרן השקעות,מאפיין עיקרי,אסטרטגיית קרן ההשקעה,"ישראל/חו""ל",מדינת התאגדות קרן השקעה,מיקום משרד השותף הכללי,מדינה לפי חשיפה כלכלית,בעל עניין/צד קשור,תאריך רכישה,מטבע פעילות,סוג גורם משערך,תלות/אי-תלות המשערך,תאריך שערוך אחרון,שער חליפין,NAV (במטבע הדיווח של קרן ההשקעה),"שווי הוגן (באלפי ש""ח)",שיעור החזקה בקרן השקעה,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
163,2155,Primavera Capital GP IV Ltd.,ריק במקור,ריק במקור,Primavera Capital Fund IV L.P קרן,666108774,פנימי,פרייבט אקוויטי,ריק במקור,"חו""ל",ריק במקור,ריק במקור,סין,לא,18/03/2020,USD,דיווח מנהל קרן,אי-תלות,30/09/2025,3.306,שווי הוגן במטבע הקרן,9211.224,0.0010052051394393673,0.00313,0.00033
163,2155,"Providence Equity GP IX(Lux) S.?r.l.,",ריק במקור,ריק במקור,Providence IX,666112305,פנימי,פרייבט אקוויטי,ריק במקור,"חו""ל",ריק במקור,ריק במקור,אסיה,לא,9/05/2024,USD,דיווח מנהל קרן,אי-תלות,30/09/2025,3.306,שווי הוגן במטבע הקרן,12565.476,0.0019962568385093523,0.00428,0.00045
163,2155,Providence Equity GP VIII LP,ריק במקור,ריק במקור,Providence VIII,666106950,פנימי,פרייבט אקוויטי,ריק במקור,"חו""ל",ריק במקור,ריק במקור,"ארה""ב",לא,15/07/2019,USD,דיווח מנהל קרן,אי-תלות,30/09/2025,3.306,שווי הוגן במטבע הקרן,16146.915,0.0006531277212133751,0.0055,0.00057
163,2155,PGIF V GP (Lux) S.a.r.l,ריק במקור,ריק במקור,RXR HIGH-YIELD REAL ESTATE CREDIT FUND P,39-4018031,ISIN,קרן חוב,ריק במקור,"חו""ל",ריק במקור,ריק במקור,"ארה""ב",לא,11/09/2025,USD,דיווח מנהל קרן,אי-תלות,30/09/2025,3.306,שווי הוגן במטבע הקרן,6349.978,0.016490181724769397,0.00216,0.00023
163,2155,RedTree French Real Estate Fund SCS SICA,ריק במקור,ריק במקור,RedTree French Real Estate קרן השקעה,666110218,פנימי,"קרן נדל""ן",ריק במקור,"חו""ל",ריק במקור,ריק במקור,צרפת,לא,20/04/2022,EUR,דיווח מנהל קרן,אי-תלות,18/08/2025,3.881,שווי הוגן במטבע הקרן,26385.471,0.0569169870917123,0.00898,0.00094
163,2155,Rialto Partners GP V-Debt LP,ריק במקור,ריק במקור,Rialto Real Estate Fund V Debt,666111497,פנימי,"קרן נדל""ן",ריק במקור,"חו""ל",ריק במקור,ריק במקור,"ארה""ב",לא,18/03/2020,USD,דיווח מנהל קרן,אי-תלות,25/09/2025,3.306,שווי הוגן במטבע הקרן,5763.414,0.002896000118082794,0.00196,0.0002
163,2155,S.H. Sky 4 Limited Partnership,ריק במקור,ריק במקור,S.H. SKY Investments,666113311,פנימי,פרייבט אקוויטי,ריק במקור,"חו""ל",ריק במקור,ריק במקור,"ארה""ב",לא,29/05/2025,ILS,דיווח מנהל קרן,אי-תלות,30/09/2025,1,שווי הוגן במטבע הקרן,12646.864,0.036870863253896345,0.0043,0.00045
163,2155,0,ריק במקור,ריק במקור,SIGNET MULTI MANAGER,666102132,פנימי,פרייבט אקוויטי,ריק במקור,"חו""ל",ריק במקור,ריק במקור,"ארה""ב",לא,8/12/2000,USD,דיווח מנהל קרן,אי-תלות,30/09/2025,3.306,שווי הוגן במטבע הקרן,0.134,0,0,0
163,2155,SPHERA TECH FUND LP,ריק במקור,ריק במקור,SPHERA TECH FUND LP,MC-118440,ISIN,קרן גידור (Hedge Fund),ריק במקור,"חו""ל",ריק במקור,ריק במקור,"ארה""ב",לא,1/04/2024,USD,דיווח מנהל קרן,אי-תלות,9/09/2025,3.306,שווי הוגן במטבע הקרן,11916.219,0.0029999999244726895,0.00406,0.00042
163,2155,Saw Mill Capital Associates II LP,ריק במקור,ריק במקור,Saw Mill Capital Partners II,666103437,פנימי,פרייבט אקוויטי,ריק במקור,"חו""ל",ריק במקור,ריק במקור,"ארה""ב",לא,12/04/2016,USD,דיווח מנהל קרן,אי-תלות,30/09/2025,3.306,שווי הוגן במטבע הקרן,3776.954,0.006190933813315506,0.00129,0.00013
163,2155,Schroders Capital Private Equity Seconda,ריק במקור,ריק במקור,Schroders Capital  Secondaries IV,666109988,פנימי,פרייבט אקוויטי,ריק במקור,"חו""ל",ריק במקור,ריק במקור,גלובלי,לא,27/12/2021,EUR,דיווח מנהל קרן,אי-תלות,30/09/2025,3.881,שווי הוגן במטבע הקרן,32004.232,0.02335620560748013,0.01089,0.00114
