מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,זירת מסחר,סיווג הקרן,בעל עניין/צד קשור,מטבע פעילות,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,סכום לקבל (במטבע הפעילות),"שווי הוגן (באלפי ש""ח)",שיעור מערך נקוב מונפק,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
14044,14335,"אי.בי.אי קרנות נאמנות בע""מ",510791031,ח.פ.,איביאי סל מידקפ & בנקים,IL0012178435,ISIN,עוקב אחר מדדי מניות בישראל,ישראל,ישראל,TASE,מניות בארץ - מניות לפי ענפים,לא,ILS,1260.0,1.0,6204.0,0.0,78.17,0.00131,0.14608,0.06242
14044,14335,הראל קרנות נאמנות בעמ,511776783,ח.פ.,הראל סל (4A) תא 90,IL0011489312,ISIN,עוקב אחר מדדי מניות בישראל,ישראל,ישראל,TASE,Large & Mid Cap מניות בארץ - מניות לפי שווי שוק-מניות,לא,ILS,1420.0,1.0,3165.0,0.0,44.943,2e-05,0.08399,0.03589
14044,14335,הראל קרנות נאמנות בעמ,511776783,ח.פ.,הראל סל (4A) תא נדלן,IL0011489643,ISIN,עוקב אחר מדדי מניות בישראל,ישראל,ישראל,TASE,"מניות בארץ - מניות לפי ענפים-ת""א נדל""ן",לא,ILS,3660.0,1.0,1267.0,0.0,46.372,0.0002,0.08666,0.03703
14044,14335,ילין לפידות,513846808,ח.פ.,ילין לפידות סל (4A),IL0012065491,ISIN,עוקב אחר מדדי מניות בישראל,ישראל,ישראל,TASE,מניות בארץ - מניות לפי ענפים,לא,ILS,705.0,1.0,9617.0,0.0,67.8,4e-05,0.1267,0.05414
14044,14335,"מגדל קרנות נאמנות בע""מ",511303661,ח.פ.,מגדל ETF (A4) תא 125,IL0011502833,ISIN,עוקב אחר מדדי מניות בישראל,ישראל,ישראל,TASE,Large & Mid Cap מניות בארץ - מניות לפי שווי שוק-מניות,לא,ILS,1395.0,1.0,5003.0,0.0,69.792,2e-05,0.13042,0.05573
14044,14335,"מגדל קרנות נאמנות בע""מ",511303661,ח.פ.,מגדל MTF (A4) תא בני,IL0011656530,ISIN,עוקב אחר מדדי מניות בישראל,ישראל,ישראל,TASE,מניות בארץ - מניות לפי ענפים,לא,ILS,2310.0,1.0,1940.0,0.0,44.814,0.00025,0.08374,0.03579
14044,14335,קסם קרנות נאמנות,510938608,ח.פ.,קסם A4)ETF) תא 35,IL0011465700,ISIN,עוקב אחר מדדי מניות בישראל,ישראל,ישראל,TASE,Large & Mid Cap מניות בארץ - מניות לפי שווי שוק-מניות,לא,ILS,140.0,1.0,31380.0,0.0,43.932,2e-05,0.0821,0.03508
14044,14335,קסם קרנות נאמנות,510938608,ח.פ.,קסם A4)ETF) תא 60 SM,IL0011465395,ISIN,עוקב אחר מדדי מניות בישראל,ישראל,ישראל,TASE,Small Cap מניות בארץ - מניות לפי שווי שוק-מניות,לא,ILS,550.0,1.0,9522.0,0.0,52.371,0.00028,0.09787,0.04182
14044,14335,קסם קרנות נאמנות,510938608,ח.פ.,"קסם ETF (A4) ת""א-ביט",IL0011461253,ISIN,עוקב אחר מדדי מניות בישראל,ישראל,ישראל,TASE,מניות בארץ - מניות לפי ענפים,לא,ILS,36.0,1.0,86850.0,0.0,31.266,5e-05,0.05843,0.02497
14044,14335,מיטב קרנות נאמנות בעמ,513534974,ח.פ.,תכלית סל (4A) תא נפט,IL0011448078,ISIN,עוקב אחר מדדי מניות בישראל,ישראל,ישראל,TASE,מניות בארץ - מניות לפי ענפים,לא,ILS,1010.0,1.0,3039.0,0.0,30.694,0.0001,0.05736,0.02451
14044,14336,"מגדל קרנות נאמנות בע""מ",511303661,ח.פ.,MTF סל (00) תל בונד,IL0011501686,ISIN,עוקב אחר מדדים אחרים בישראל,ישראל,ישראל,TASE,"20 אג""ח בארץ - חברות והמרה-תל בונד צמוד מדד-תל בונד",לא,ILS,240.0,1.0,339.54,0.0,0.815,1.24e-06,0.0744,0.03514
14044,14336,"מגדל קרנות נאמנות בע""מ",511303661,ח.פ.,MTF סל (A4) Nasdaq10,IL0011814451,ISIN,"עוקב אחר מדדי מניות בחו""ל",ישראל,"ארה""ב",TASE,"NASDAQ 100 - מניות בחו""ל - מניות גיאוגרפי - מנוטרלת מט""ח-ארה""ב",לא,ILS,14.0,1.0,9582.0,0.0,1.341,1.86e-06,0.12248,0.05784
14044,14336,"אי.בי.אי קרנות נאמנות בע""מ",510791031,ח.פ.,אי.בי.אי סל (00) תלב,IL0011480485,ISIN,עוקב אחר מדדים אחרים בישראל,ישראל,ישראל,TASE,"אג""ח בארץ - חברות והמרה-חברות והמרה אחר",לא,ILS,33.0,1.0,4059.17,0.0,1.34,2e-05,0.1223,0.05776
14044,14336,"אי.בי.אי קרנות נאמנות בע""מ",510791031,ח.פ.,איביאי סל (4D) Nasda,IL0012004508,ISIN,"עוקב אחר מדדי מניות בחו""ל",ישראל,"ארה""ב",TASE,"NASDAQ 100 - מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-ארה""ב",לא,ILS,2.0,1.0,6445.0,0.0,0.129,7.2e-07,0.01177,0.00556
14044,14336,הראל קרנות נאמנות בעמ,511776783,ח.פ.,הראל סל (00) תל בונד,IL0011504730,ISIN,עוקב אחר מדדים אחרים בישראל,ישראל,ישראל,TASE,"אג""ח בארץ - חברות והמרה-תל בונד צמוד מדד-תל בונד צמודות",לא,ILS,20.0,1.0,390.79,0.0,0.078,1e-07,0.00714,0.00337
14044,14336,הראל קרנות נאמנות בעמ,511776783,ח.פ.,הראל סל (00) תל בונד,IL0011505232,ISIN,עוקב אחר מדדים אחרים בישראל,ישראל,ישראל,TASE,"אג""ח בארץ - חברות והמרה-תל בונד שקלי-תל בונד- שקלי",לא,ILS,128.0,1.0,419.81,0.0,0.537,6.1e-07,0.04906,0.02317
14044,14336,ילין לפידות,513846808,ח.פ.,י.ל סל (4D) S&P 500,IL0012016569,ISIN,"עוקב אחר מדדי מניות בחו""ל",ישראל,ישראל,TASE,"S&P 500 - מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-ארה""ב",לא,ILS,22.0,1.0,6185.0,0.0,1.361,2.68e-06,0.12423,0.05867
14044,14336,ילין לפידות,513846808,ח.פ.,ילין לפידות סל (4A),IL0012065491,ISIN,עוקב אחר מדדי מניות בישראל,ישראל,ישראל,TASE,מניות בארץ - מניות לפי ענפים,לא,ILS,5.0,1.0,9617.0,0.0,0.481,3e-07,0.0439,0.02073
14044,14336,"מגדל קרנות נאמנות בע""מ",511303661,ח.פ.,מגדל MTF (00) תלגוב-,IL0011500100,ISIN,עוקב אחר מדדים אחרים בישראל,ישראל,ישראל,TASE,"אג""ח בארץ - מדינה-אג""ח מדינה צמוד מדד-צמודות מדד - ממשלתיות 2-5 שנים",לא,ILS,5.0,1.0,379.37,0.0,0.019,2.4e-07,0.00173,0.00082
14044,14336,"מור ניהול קרנות נאמנות (2013) בע""מ",514884485,ח.פ.,מור סל (4A) תא-90,IL0011961468,ISIN,עוקב אחר מדדי מניות בישראל,ישראל,ישראל,TASE,Large & Mid Cap מניות בארץ - מניות לפי שווי שוק-מניות,לא,ILS,5.0,1.0,8845.0,0.0,0.442,4.7e-07,0.04038,0.01907
14044,14336,קסם קרנות נאמנות,510938608,ח.פ.,קסם A4)ETF) תא 60 SM,IL0011465395,ISIN,עוקב אחר מדדי מניות בישראל,ישראל,ישראל,TASE,Small Cap מניות בארץ - מניות לפי שווי שוק-מניות,לא,ILS,5.0,1.0,9522.0,0.0,0.476,2.56e-06,0.04347,0.02053
14044,14336,קסם קרנות נאמנות,510938608,ח.פ.,קסם EFT‏(00) תל בונד,IL0011507626,ISIN,עוקב אחר מדדים אחרים בישראל,ישראל,ישראל,TASE,"אג""ח בארץ - חברות והמרה-תל בונד שקלי-תל בונד- שקלי",לא,ILS,4.0,1.0,4241.12,0.0,0.17,1.7e-07,0.01549,0.00731
14044,14336,קסם קרנות נאמנות,510938608,ח.פ.,קסם ETF (00) תלגוב צ,IL0011461337,ISIN,עוקב אחר מדדים אחרים בישראל,ישראל,ישראל,TASE,"אג""ח בארץ - חברות והמרה-תל בונד צמוד מדד-תל בונד צמודות",לא,ILS,3.0,1.0,2662.0,0.0,0.08,4.54e-06,0.00729,0.00344
14044,14336,קסם קרנות נאמנות,510938608,ח.פ.,קסם ETF(00) תלבונד ת,IL0011469504,ISIN,עוקב אחר מדדים אחרים בישראל,ישראל,ישראל,TASE,"אג""ח בארץ - חברות והמרה-תל בונד צמוד מדד-תל בונד צמודות",לא,ILS,23.0,1.0,4397.21,0.0,1.011,2.45e-06,0.09234,0.04361
14044,14336,קסם קרנות נאמנות,510938608,ח.פ.,קסם MSCI AC WORLD (D,IL0011466799,ISIN,"עוקב אחר מדדי מניות בחו""ל",ישראל,גלובלי,TASE,"MSCI AC WORLD INDEX - מניות בחו""ל - מניות כללי בחו""ל - חשופת מט""ח-מניות כללי בחו""ל",לא,ILS,28.0,1.0,1549.0,0.0,0.434,2.26e-06,0.0396,0.0187
14044,14336,מיטב קרנות נאמנות בעמ,513534974,ח.פ.,תכלית סל (00) תל בונ,IL0011450934,ISIN,עוקב אחר מדדים אחרים בישראל,ישראל,ישראל,TASE,"אג""ח בארץ - חברות והמרה-תל בונד צמוד מדד-תל בונד צמודות",לא,ILS,8.0,1.0,380.93,0.0,0.03,2.2e-07,0.00278,0.00131
14044,14336,מיטב קרנות נאמנות בעמ,513534974,ח.פ.,תכלית סל (00) תלגוב,IL0011451684,ISIN,אחר,ישראל,ישראל,TASE,"אג""ח בארץ - מדינה-אג""ח מדינה שקליות -שקליות ממשלתיות",לא,ILS,63.0,1.0,622.65,0.0,0.392,1e-05,0.03581,0.01691
14044,14336,מיטב קרנות נאמנות בעמ,513534974,ח.פ.,תכלית סל (40) תא - ב,IL0011976987,ISIN,עוקב אחר מדדי מניות בישראל,ישראל,ישראל,TASE,מניות בארץ - מניות לפי ענפים,לא,ILS,6.0,1.0,9583.0,0.0,0.575,8.1e-07,0.0525,0.02479
14044,14336,מיטב קרנות נאמנות בעמ,513534974,ח.פ.,תכלית סל (4A) תא נפט,IL0011448078,ISIN,עוקב אחר מדדי מניות בישראל,ישראל,ישראל,TASE,מניות בארץ - מניות לפי ענפים,לא,ILS,24.0,1.0,3039.0,0.0,0.729,2.39e-06,0.06659,0.03145
14044,14336,מיטב קרנות נאמנות בעמ,513534974,ח.פ.,תכלית סל PHLX Semiconductor,IL0011707036,ISIN,"עוקב אחר מדדי מניות בחו""ל",ישראל,"ארה""ב",TASE,"מניות בחו""ל - מניות לפי ענפים בחו""ל",לא,ILS,7.0,1.0,7316.0,0.0,0.512,2.49e-06,0.04676,0.02208
