מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,מאפיין עיקרי,מספר עסקה (רגל 1),מטבע פעילות (רגל 1),שער חליפין,ערך נקוב (רגל 1),שווי הוגן במטבע הנסחר (רגל 1),שיעור מנכסי אפיק ההשקעה (רגל 1),שיעור מסך נכסי ההשקעה (רגל 1),מספר עסקה (רגל 2),מטבע פעילות (רגל 2),שער חליפין.1,ערך נקוב (רגל 2),שווי הוגן במטבע הנסחר (רגל 2),שיעור מנכסי ההשקעה (רגל 2),שיעור מסך אפיק ההשקעה (רגל 2),"שווי הוגן (נטו  באלפי ש""ח)","ישראל/חו""ל",מדינה לפי חשיפה כלכלית,סוג הנכס,פקטור מוביל,פקטור נוסף,טיקר,בעל עניין/צד קשור,מועד ההתקשרות בעסקה,מועד סיום חוזי,תדירות Reset,סוג הסליקה,נספח התחשבנות בטחונות - CSA,גורם מצטט,ריבית עוגן,תקופת ריבית עוגן,שיעור ריבית עוגן,שער נכס הבסיס במועד ההתקשרות בעסקה,שער הנגזר במועד ההתקשרות בעסקה,האם קיים קנס בגין יציאה מוקדמת,שיעור הקנס בגין יציאה מוקדמת,צד נגדי - Counterparty,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
214,12027,Unfunded Total Return/Equity Swap,12535237.0,ILS,1.0,11714.48,383.53216,0.020679,3.1e-05,12535236.0,ILS,1.0,-335854.22,-343.84285,-2.8e-05,-0.018539,39.68931,ישראל,ישראל,מניות לרבות מדדי מניות,מניות,בנקים,DSCT IT,כן,2025-05-08,2026-05-07,שנתי,No-delivery,קיים חוזה,גורם אחר,ריבית בנק ישראל,יומי,"תא ללא תוכן, המשך בתא הבא",2867.0,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",LUMIILIT,0.002139,3e-06
214,12027,Unfunded Forward,180016268.0,USD,3.306,401760.11,400.54077,0.071398,0.000108,180016269.0,ILS,1.0,-1361444.5,-1357.32613,-0.00011,-0.073185,-33.13834,ישראל,ישראל,"מט""ח",אחר,"מט""ח/₪",USDILS,כן,2025-08-18,2025-10-24,ללא,Delivery,קיים חוזה,גורם אחר,ללא,ללא,"תא ללא תוכן, המשך בתא הבא",3.39,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",LUMIILIT,-0.001786,-2e-06
214,12027,Unfunded Interest Rate Swap,12536963.0,ILS,1.0,1376270.98,1378.70973,0.074338,0.000112,12537963.0,ILS,1.0,-1376270.98,-1441.82964,-0.000117,-0.077741,-63.11991,ישראל,ישראל,"ריבית ואג""ח",אחר,ריביות,SHIR,כן,2023-10-23,2037-05-31,רבעוני,Delivery,קיים חוזה,גורם אחר,Shekel Overnight Risk Free Rate,יומי,"תא ללא תוכן, המשך בתא הבא",0.00095,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",LUMIILIT,-0.003403,-5e-06
214,12027,Unfunded Forward,180016988.0,EUR,3.8807,-1403036.99,-1391.7706,-0.291216,-0.000441,180016989.0,ILS,1.0,5565847.74,5489.20045,0.000448,0.295969,88.15627,ישראל,ישראל,"מט""ח",אחר,"מט""ח/₪",EURILS,כן,2025-09-17,2026-01-20,ללא,Delivery,קיים חוזה,גורם אחר,ללא,ללא,"תא ללא תוכן, המשך בתא הבא",3.9536,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",LUMIILIT,0.004753,7e-06
214,12027,Unfunded Forward,180015202.0,USD,3.306,-200880.06,-199.91001,-0.035634,-5.4e-05,180015203.0,ILS,1.0,695446.76,692.12461,5.6e-05,0.037318,31.22213,ישראל,ישראל,"מט""ח",אחר,"מט""ח/₪",USDILS,כן,2025-06-23,2025-11-07,ללא,Delivery,קיים חוזה,גורם אחר,ללא,ללא,"תא ללא תוכן, המשך בתא הבא",3.479,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",MIZBILIT,0.001683,2e-06
214,12027,Unfunded Forward,180016188.0,USD,3.306,602640.17,600.81116,0.107097,0.000162,180016189.0,ILS,1.0,-2042347.53,-2036.16943,-0.000166,-0.109787,-49.88775,ישראל,ישראל,"מט""ח",אחר,"מט""ח/₪",USDILS,כן,2025-08-14,2025-10-24,ללא,Delivery,קיים חוזה,גורם אחר,ללא,ללא,"תא ללא תוכן, המשך בתא הבא",3.385,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",LUMIILIT,-0.002689,-4e-06
214,12027,Unfunded Forward,125416308.0,ILS,1.0,-1396126.71,-1464.04687,-0.078939,-0.000119,12540131.0,ILS,1.0,1396126.71,1612.363,0.000131,0.086936,148.31613,ישראל,ישראל,מדד המחירים לצרכן,אחר,מדדים,ILSILS,כן,2021-05-03,2026-05-03,ללא,Delivery,קיים חוזה,גורם אחר,ללא,ללא,"תא ללא תוכן, המשך בתא הבא",1.0,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",LUMIILIT,0.007996,1.2e-05
214,12027,Unfunded Forward,180016068.0,USD,3.306,-1150163.92,-1125.8299,-0.200683,-0.000303,180016069.0,ILS,1.0,3931260.28,3853.43311,0.000313,0.207771,131.43946,ישראל,ישראל,"מט""ח",אחר,"מט""ח/₪",USDILS,כן,2025-08-07,2026-03-13,ללא,Delivery,קיים חוזה,גורם אחר,ללא,ללא,"תא ללא תוכן, המשך בתא הבא",3.417,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",LUMIILIT,0.007087,1e-05
214,12027,Unfunded Forward,180015280.0,USD,3.306,-1828008.51,-1817.54682,-0.323986,-0.000491,180015281.0,ILS,1.0,6213400.94,6178.32008,0.000505,0.333126,169.51029,ישראל,ישראל,"מט""ח",אחר,"מט""ח/₪",USDILS,כן,2025-06-25,2025-11-14,ללא,Delivery,קיים חוזה,גורם אחר,ללא,ללא,"תא ללא תוכן, המשך בתא הבא",3.409,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",LUMIILIT,0.009139,1.3e-05
214,12027,Unfunded Forward,180017032.0,USD,3.306,-1546776.44,-1494.16748,-0.266342,-0.000403,180017033.0,ILS,1.0,5161592.96,5001.61455,0.000408,0.269679,61.89688,ישראל,ישראל,"מט""ח",אחר,"מט""ח/₪",USDILS,כן,2025-09-18,2026-06-22,ללא,Delivery,קיים חוזה,גורם אחר,ללא,ללא,"תא ללא תוכן, המשך בתא הבא",3.343,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",IDBLILIT,0.003337,5e-06
214,12027,Unfunded Forward,180015188.0,EUR,3.8807,-578620.79,-575.50607,-0.120419,-0.000182,180015189.0,ILS,1.0,2334734.87,2312.09494,0.000188,0.124663,78.72854,ישראל,ישראל,"מט""ח",אחר,"מט""ח/₪",EURILS,כן,2025-06-19,2025-12-17,ללא,Delivery,קיים חוזה,גורם אחר,ללא,ללא,"תא ללא תוכן, המשך בתא הבא",3.9984,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",LUMIILIT,0.004244,6e-06
214,12027,Unfunded Forward,180016086.0,USD,3.306,903960.25,901.21674,0.160646,0.000243,180016087.0,ILS,1.0,-3087024.27,-3077.68602,-0.000251,-0.165944,-98.26349,ישראל,ישראל,"מט""ח",אחר,"מט""ח/₪",USDILS,כן,2025-08-11,2025-10-24,ללא,Delivery,קיים חוזה,גורם אחר,ללא,ללא,"תא ללא תוכן, המשך בתא הבא",3.418,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",LUMIILIT,-0.005298,-8e-06
214,12027,Unfunded Forward,180015314.0,EUR,3.8807,-140616.04,-140.0689,-0.029308,-4.4e-05,180015315.0,ILS,1.0,562745.39,558.73414,4.5e-05,0.030126,15.16875,ישראל,ישראל,"מט""ח",אחר,"מט""ח/₪",EURILS,כן,2025-06-26,2025-11-26,ללא,Delivery,קיים חוזה,גורם אחר,ללא,ללא,"תא ללא תוכן, המשך בתא הבא",3.981,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",MIZBILIT,0.000817,1e-06
214,12027,Unfunded Forward,180016106.0,USD,3.306,-9500000.0,-9335.4885,-1.664095,-0.002523,180016107.0,ILS,1.0,32420650.0,31890.63721,0.002607,1.719497,1027.51223,ישראל,ישראל,"מט""ח",אחר,"מט""ח/₪",USDILS,כן,2025-08-12,2026-02-11,ללא,Delivery,קיים חוזה,גורם אחר,ללא,ללא,"תא ללא תוכן, המשך בתא הבא",3.429,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",LUMIILIT,0.055401,8.4e-05
214,12027,Unfunded Forward,180015324.0,EUR,3.8807,-35975.31,-35.8172,-0.007494,-1.1e-05,180015325.0,ILS,1.0,144189.03,143.03725,1.1e-05,0.007712,4.04146,ישראל,ישראל,"מט""ח",אחר,"מט""ח/₪",EURILS,כן,2025-06-26,2025-12-03,ללא,Delivery,קיים חוזה,גורם אחר,ללא,ללא,"תא ללא תוכן, המשך בתא הבא",3.981,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",LUMIILIT,0.000217,0.0
214,12027,Unfunded Forward,180016116.0,USD,3.306,200880.06,200.27039,0.035699,5.4e-05,180016117.0,ILS,1.0,-688536.48,-686.45366,-5.6e-05,-0.037012,-24.35977,ישראל,ישראל,"מט""ח",אחר,"מט""ח/₪",USDILS,כן,2025-08-12,2025-10-24,ללא,Delivery,קיים חוזה,גורם אחר,ללא,ללא,"תא ללא תוכן, המשך בתא הבא",3.429,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",LUMIILIT,-0.001313,-1e-06
214,12027,Unfunded Forward,180015620.0,USD,3.306,503654.3,503.01869,0.089665,0.000135,180015621.0,ILS,1.0,-1665081.13,-1662.9798,-0.000135,-0.089665,0.0,ישראל,ישראל,"מט""ח",אחר,"מט""ח/₪",USDILS,כן,2025-07-10,2025-10-10,ללא,Delivery,קיים חוזה,גורם אחר,ללא,ללא,"תא ללא תוכן, המשך בתא הבא",3.306,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",LUMIILIT,0.0,0.0
214,12027,Unfunded Forward,180017024.0,USD,3.306,-1004400.28,-918.76411,-0.163774,-0.000248,180017025.0,ILS,1.0,3324564.94,3076.1335,0.000251,0.16586,38.69935,ישראל,ישראל,"מט""ח",אחר,"מט""ח/₪",USDILS,כן,2025-09-18,2027-09-20,ללא,Delivery,קיים חוזה,גורם אחר,ללא,ללא,"תא ללא תוכן, המשך בתא הבא",3.343,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",IDBLILIT,0.002086,3e-06
214,12027,Unfunded Total Return/Equity Swap,12535346.0,ILS,1.0,23317.73,351.86458,0.018972,2.8e-05,12535345.0,ILS,1.0,-294736.13,-298.56299,-2.4e-05,-0.016098,53.30159,ישראל,ישראל,מניות לרבות מדדי מניות,מדדי מניות,תעופה,ELAL IT,כן,2025-07-23,2026-07-23,שנתי,No-delivery,קיים חוזה,גורם אחר,ריבית בנק ישראל,יומי,"תא ללא תוכן, המשך בתא הבא",1264.0,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",LUMIILIT,0.002873,4e-06
214,12027,Unfunded Forward,180016156.0,USD,3.306,1833286.52,1827.72249,0.325799,0.000493,180016157.0,ILS,1.0,-6213008.01,-6194.21365,-0.000505,-0.333982,-151.76309,ישראל,ישראל,"מט""ח",אחר,"מט""ח/₪",USDILS,כן,2025-08-13,2025-10-24,ללא,Delivery,קיים חוזה,גורם אחר,ללא,ללא,"תא ללא תוכן, המשך בתא הבא",3.389,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",LUMIILIT,-0.008182,-1.2e-05
214,12027,Unfunded Forward,180015628.0,USD,3.306,-8000000.0,-7975.72,-1.421709,-0.002155,180015629.0,ILS,1.0,26454400.0,26374.37544,0.002156,1.422068,6.64512,ישראל,ישראל,"מט""ח",אחר,"מט""ח/₪",USDILS,כן,2025-07-10,2025-10-24,ללא,Delivery,קיים חוזה,גורם אחר,ללא,ללא,"תא ללא תוכן, המשך בתא הבא",3.306,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",LUMIILIT,0.000358,0.0
