מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,זירת מסחר,ענף מסחר,נכס בסיס,תאריך פקיעה,בעל עניין/צד קשור,מטבע פעילות,שער מימוש,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,"שווי הוגן (באלפי ש""ח)",שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
214,2173,"מסלקת מעו""ף בע""מ",35-2582225,ח.פ.,P003000M510-ת35,IL0858510048,ISIN,מניה,ישראל,ישראל,TASE,Capital Markets,מניות לרבות מדדי מניות,2025-10-30,לא,ILS,3000.0,-5609.0,1.0,50000.0,-2804.5,-0.049637,-0.000636
214,2173,"מסלקת מעו""ף בע""מ",35-2582225,ח.פ.,C003000M510-ת35,IL0858497501,ISIN,מניה,ישראל,ישראל,TASE,Capital Markets,מניות לרבות מדדי מניות,2025-10-30,לא,ILS,3000.0,5609.0,1.0,1057300.0,59303.957,1.049637,0.013455
214,2174,"מסלקת מעו""ף בע""מ",35-2582225,ח.פ.,P017000M511-כלל,IL0859485117,ISIN,מניה,ישראל,ישראל,TASE,Capital Markets,מניות לרבות מדדי מניות,2025-11-27,לא,ILS,17000.0,-0.27,1.0,119600.0,-0.3231,0.424294,-1e-06
214,2174,"מסלקת מעו""ף בע""מ",35-2582225,ח.פ.,P003000M510-ת35,IL0858510048,ISIN,מניה,ישראל,ישראל,TASE,Capital Markets,מניות לרבות מדדי מניות,2025-10-30,לא,ILS,3000.0,-0.01,1.0,50000.0,-0.00459,0.006027,0.0
214,2174,"מסלקת מעו""ף בע""מ",35-2582225,ח.פ.,P7700.0M511-ברס,IL0860002133,ISIN,מניה,ישראל,ישראל,TASE,Capital Markets,מניות לרבות מדדי מניות,2025-11-27,לא,ILS,7700.0,-0.05,1.0,514900.0,-0.24561,0.322534,0.0
214,2174,"מסלקת מעו""ף בע""מ",35-2582225,ח.פ.,C017000M511-כלל,IL0859482718,ISIN,מניה,ישראל,ישראל,TASE,Capital Markets,מניות לרבות מדדי מניות,2025-11-27,לא,ILS,17000.0,0.27,1.0,127900.0,0.34553,-0.453749,1e-06
214,2174,"מסלקת מעו""ף בע""מ",35-2582225,ח.פ.,C017500M510-כלל,IL0858770741,ISIN,מניה,ישראל,ישראל,TASE,Capital Markets,מניות לרבות מדדי מניות,2025-10-30,לא,ILS,17500.0,0.21,1.0,68900.0,0.14588,-0.191569,0.0
214,2174,"מסלקת מעו""ף בע""מ",35-2582225,ח.פ.,C7700.0M511-ברס,IL0859999448,ISIN,מניה,ישראל,ישראל,TASE,Capital Markets,מניות לרבות מדדי מניות,2025-11-27,לא,ILS,7700.0,0.05,1.0,505100.0,0.24094,-0.316401,0.0
214,2174,"מסלקת מעו""ף בע""מ",35-2582225,ח.פ.,P017500M510-כלל,IL0858773224,ISIN,מניה,ישראל,ישראל,TASE,Capital Markets,מניות לרבות מדדי מניות,2025-10-30,לא,ILS,17500.0,-0.21,1.0,115900.0,-0.24538,0.322232,0.0
214,2174,"מסלקת מעו""ף בע""מ",35-2582225,ח.פ.,C003000M510-ת35,IL0858497501,ISIN,מניה,ישראל,ישראל,TASE,Capital Markets,מניות לרבות מדדי מניות,2025-10-30,לא,ILS,3000.0,0.01,1.0,1057300.0,0.09699,-0.127367,0.0
214,2174,SolarEdge Technologies Inc,5493000K6Y58XXPDF853,LEI,SEDG US 03/20/26 C35,70142233,פנימי,מניה,"חו""ל","ארה""ב",CBOE,Semiconductors & Semiconductor Equipment,מניות לרבות מדדי מניות,2026-03-20,לא,USD,35.0,-0.32,3.306,102300.0,-1.08462,1.42432,-3e-06
214,2174,SPDR S&P 500 ETF Trust,549300NZAMSJ8FXPQQ63,LEI,SPY US 10/31/25 P610,70142243,פנימי,מניה,"חו""ל","ארה""ב",NYSE,Other,מניות לרבות מדדי מניות,2025-10-31,לא,USD,610.0,-0.33,3.306,14400.0,-0.15828,0.207852,0.0
214,2174,"נייס בע""מ",520036872,ח.פ.,NICE US 10/17/25 C200,70220307,פנימי,מניה,"חו""ל","ארה""ב",CME,תוכנה ואינטרנט,מניות לרבות מדדי מניות,2025-10-17,לא,USD,200.0,-0.18,3.306,500.0,-0.00299,0.003926,0.0
214,2174,SPDR S&P 500 ETF Trust,549300NZAMSJ8FXPQQ63,LEI,SPY US 10/31/25 P650,70142237,פנימי,מניה,"חו""ל","ארה""ב",NYSE,Other,מניות לרבות מדדי מניות,2025-10-31,לא,USD,650.0,0.33,3.306,53000.0,0.58255,-0.765003,2e-06
214,2174,SPDR S&P 500 ETF Trust,549300NZAMSJ8FXPQQ63,LEI,SPY US 10/31/25 P595,70142244,פנימי,מניה,"חו""ל","ארה""ב",NYSE,Other,מניות לרבות מדדי מניות,2025-10-31,לא,USD,595.0,-0.33,3.306,9900.0,-0.10882,0.142902,0.0
214,2175,"מסלקת מעו""ף בע""מ",35-2582225,ח.פ.,P003000M510-ת35,IL0858510048,ISIN,מניה,ישראל,ישראל,TASE,Capital Markets,מניות לרבות מדדי מניות,2025-10-30,לא,ILS,3000.0,-5.35,1.0,50000.0,-2.67323,0.005939,0.0
214,2175,"מסלקת מעו""ף בע""מ",35-2582225,ח.פ.,P7700.0M511-ברס,IL0860002133,ISIN,מניה,ישראל,ישראל,TASE,Capital Markets,מניות לרבות מדדי מניות,2025-11-27,לא,ILS,7700.0,-27.8,1.0,514900.0,-143.15045,0.318056,-1.2e-05
214,2175,"מסלקת מעו""ף בע""מ",35-2582225,ח.פ.,C017000M511-כלל,IL0859482718,ISIN,מניה,ישראל,ישראל,TASE,Capital Markets,מניות לרבות מדדי מניות,2025-11-27,לא,ILS,17000.0,157.45,1.0,127900.0,201.38278,-0.447439,1.7e-05
