מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,סטאטוס סחירות,זירת מסחר,ענף מסחר,בעל עניין/צד קשור,דירוג,שם מדרג,דירוג נייר הערך/המנפיק,מטבע פעילות,"מח""מ",מועד פדיון,שיעור ריבית,תשואה לפדיון,נחיתות חוזית,האם סווג כחוב בעייתי,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,סכום לקבל (במטבע הפעילות),"שווי הוגן (באלפי ש""ח)","עלות מופחתת (באלפי ש""ח)",עלות מופחתת (במטבע הפעילות),השיטה שיושמה בדוח הכספי,שיעור מערך נקוב מונפק,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
283,283,"קבוצת עזריאלי בע""מ",510960719,ח.פ.,עזריאלי אגח ו,IL0011566119,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,"נדל""ן מניב בישראל",לא,Aa1.il,מידרוג Moodys,נייר ערך,ILS,4.6,2032-12-31,0.0248,0.0282,החוב לא נחות,"תא ללא תוכן, המשך בתא הבא",70600343.98,1.0,117.64,"תא ללא תוכן, המשך בתא הבא",83054.24466,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",0.021429,0.042444,0.00474
283,283,"ג'י סיטי בע""מ",520033234,ח.פ.,ג' סיטי אגח כא,IL0012127523,ISIN,צמוד למדד המחירים לצרכן,ישראל,אירופה,לא חסום בהשאלה,TASE,"נדל""ן מניב בחו""ל",לא,ilA-,S&P מעלות,נייר ערך,ILS,3.82,2031-03-31,0.04,0.0438,החוב לא נחות,"תא ללא תוכן, המשך בתא הבא",181412.43,1.0,101.79,"תא ללא תוכן, המשך בתא הבא",184.65972,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",0.000245,9.4e-05,1e-05
283,283,"ריט 1 בע""מ",513821488,ח.פ.,ריט1 אגח ו,IL0011385445,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,"נדל""ן מניב בישראל",כן,ilAA,S&P מעלות,נייר ערך,ILS,3.04,2031-09-20,0.035,0.0286,החוב לא נחות,"תא ללא תוכן, המשך בתא הבא",1597173.56,1.0,123.08,"תא ללא תוכן, המשך בתא הבא",1965.80122,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",0.002163,0.001003,0.00011
283,283,"ע.י. נופר אנרג'י בע""מ",514599943,ח.פ.,נופר אנרג'י אגח ג,IL0011980435,ISIN,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,אנרגיה מתחדשת,כן,A3.il,מידרוג Moodys,נייר ערך,ILS,3.0,2030-06-30,0.0695,0.0533,החוב לא נחות,"תא ללא תוכן, המשך בתא הבא",2970200.53,1.0,106.87,"תא ללא תוכן, המשך בתא הבא",3174.25331,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",0.003698,0.001621,0.00018
283,283,"אמות השקעות בע""מ",520026683,ח.פ.,אמות אגח ט,IL0012049990,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,"נדל""ן מניב בישראל",כן,ilAA,S&P מעלות,נייר ערך,ILS,7.97,2037-01-05,0.032,0.0305,החוב לא נחות,"תא ללא תוכן, המשך בתא הבא",25778733.65,1.0,109.97,"תא ללא תוכן, המשך בתא הבא",28348.8734,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",0.031475,0.014486,0.001617
283,283,"מבנה נדל""ן (כ.ד) בע""מ",520024126,ח.פ.,מבני תעש אגח כד,IL0022605526,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,"נדל""ן מניב בישראל",כן,ilAA,S&P מעלות,נייר ערך,ILS,2.4,2028-06-30,0.026,0.0278,החוב לא נחות,"תא ללא תוכן, המשך בתא הבא",884442.26,1.0,119.56,"תא ללא תוכן, המשך בתא הבא",1057.43916,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",0.002061,0.00054,5.9e-05
283,283,"קבוצת עזריאלי בע""מ",510960719,ח.פ.,עזריאלי אגח ח,IL0011786808,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,"נדל""ן מניב בישראל",לא,ilAA+,S&P מעלות,נייר ערך,ILS,9.63,2041-01-02,0.0169,0.0294,החוב לא נחות,"תא ללא תוכן, המשך בתא הבא",110766791.53,1.0,104.3,"תא ללא תוכן, המשך בתא הבא",115529.76354,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",0.025387,0.059038,0.006591
283,283,"בנק הפועלים בע""מ",520000118,ח.פ.,פועלים התח נד ו,IL0066205530,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,בנקים,כן,ilAA-,S&P מעלות,נייר ערך,ILS,2.42,2028-03-13,0.0084,0.0297,החוב נחות,"תא ללא תוכן, המשך בתא הבא",2936820.44,1.0,110.11,"תא ללא תוכן, המשך בתא הבא",3233.73299,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",0.007385,0.001652,0.000183
283,283,"ביג מרכזי קניות בע""מ",513623314,ח.פ.,ביג אגח ט,IL0011410508,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,"נדל""ן מניב בישראל",כן,Aa3.il,מידרוג Moodys,נייר ערך,ILS,0.7,2026-12-20,0.0195,0.0419,החוב לא נחות,"תא ללא תוכן, המשך בתא הבא",1147755.32,1.0,118.54,"תא ללא תוכן, המשך בתא הבא",1360.54917,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",0.003408,0.000694,7.6e-05
283,283,"מקורות חברת מים בע""מ",520010869,ח.פ.,מקורות אגח 11,IL0011584765,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,שירותים,לא,ilAAA,S&P מעלות,נייר ערך,ILS,11.52,2053-12-31,0.0207,0.027,החוב לא נחות,"תא ללא תוכן, המשך בתא הבא",107569306.93,1.0,109.4,"תא ללא תוכן, המשך בתא הבא",117680.82177,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",0.019675,0.060139,0.006717
