מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם הבנק,מספר מזהה בנק,סוג מספר מזהה בנק,מאפיין עיקרי,תאריך פקיעת פיקדון,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,בעל עניין/צד קשור,דירוג הבנק,שם מדרג,מטבע פעילות,"מח""מ",שיעור ריבית,תשואה לפדיון,שווי מטבעי,שער חליפין,שער פיקדון,"שווי הוגן (באלפי ש""ח)",שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
662,2164,בנק לאומי,10-800,סימול בנק,צמוד למדד המחירים לצרכן,31/10/2034,ישראל,ישראל,לא,Aaa.il,מידרוג Moodys,ILS,4.06,"תא ללא תוכן, המשך בתא הבא",0.0219,11.634379999999998,1.0,173.01,11.634379999999998,0.1538511178702538,1.1684615038203614e-05
662,2164,בנק לאומי,10-800,סימול בנק,צמוד למדד המחירים לצרכן,2034-02-11 00:00:00,ישראל,ישראל,לא,Aaa.il,מידרוג Moodys,ILS,4.08,"תא ללא תוכן, המשך בתא הבא",0.0219,21.32478,1.0,172.97,21.32478,0.28199536557489363,2.1416856340809196e-05
662,2204,בנק לאומי,10-800,סימול בנק,צמוד למדד המחירים לצרכן,28/10/2034,ישראל,ישראל,לא,Aaa.il,מידרוג Moodys,ILS,4.06,"תא ללא תוכן, המשך בתא הבא",0.0219,2.61388,1.0,173.02,2.61388,0.5641544740539618,3.912334141183647e-05
662,2204,בנק לאומי,10-800,סימול בנק,צמוד למדד המחירים לצרכן,31/10/2034,ישראל,ישראל,לא,Aaa.il,מידרוג Moodys,ILS,4.06,"תא ללא תוכן, המשך בתא הבא",0.0219,0.7128300000000001,1.0,173.01,0.7128300000000001,0.1538503044286217,1.066930825385993e-05
662,2204,בנק לאומי,10-800,סימול בנק,צמוד למדד המחירים לצרכן,2034-02-11 00:00:00,ישראל,ישראל,לא,Aaa.il,מידרוג Moodys,ILS,4.08,"תא ללא תוכן, המשך בתא הבא",0.0219,1.30656,1.0,172.97,1.30656,0.2819952215174164,1.9555983042469074e-05
662,9856,בנק לאומי,10-800,סימול בנק,צמוד למדד המחירים לצרכן,28/10/2034,ישראל,ישראל,לא,Aaa.il,מידרוג Moodys,ILS,4.06,"תא ללא תוכן, המשך בתא הבא",0.0219,8.38796,1.0,173.02,8.38796,0.5641536108559061,3.310294965454185e-05
662,9856,בנק לאומי,10-800,סימול בנק,צמוד למדד המחירים לצרכן,31/10/2034,ישראל,ישראל,לא,Aaa.il,מידרוג Moodys,ILS,4.06,"תא ללא תוכן, המשך בתא הבא",0.0219,2.2874899999999996,1.0,173.01,2.2874899999999996,0.15385096534756681,9.02754260931954e-06
662,9856,בנק לאומי,10-800,סימול בנק,צמוד למדד המחירים לצרכן,2034-02-11 00:00:00,ישראל,ישראל,לא,Aaa.il,מידרוג Moodys,ILS,4.08,"תא ללא תוכן, המשך בתא הבא",0.0219,4.19277,1.0,172.97,4.19277,0.2819954237965271,1.6546699581671043e-05
662,9858,בנק לאומי,10-800,סימול בנק,צמוד למדד המחירים לצרכן,28/10/2034,ישראל,ישראל,לא,Aaa.il,מידרוג Moodys,ILS,4.06,"תא ללא תוכן, המשך בתא הבא",0.0219,14.27834,1.0,173.02,14.27834,0.5641534422892436,2.652475863542647e-05
662,9858,בנק לאומי,10-800,סימול בנק,צמוד למדד המחירים לצרכן,31/10/2034,ישראל,ישראל,לא,Aaa.il,מידרוג Moodys,ILS,4.06,"תא ללא תוכן, המשך בתא הבא",0.0219,3.8938699999999997,1.0,173.01,3.8938699999999997,0.153851229507549,7.233611323706262e-06
662,9858,בנק לאומי,10-800,סימול בנק,צמוד למדד המחירים לצרכן,2034-02-11 00:00:00,ישראל,ישראל,לא,Aaa.il,מידרוג Moodys,ILS,4.08,"תא ללא תוכן, המשך בתא הבא",0.0219,7.13711,1.0,172.97,7.13711,0.2819953282032074,1.3258552472100302e-05
662,9862,בנק לאומי,10-800,סימול בנק,צמוד למדד המחירים לצרכן,28/10/2034,ישראל,ישראל,לא,Aaa.il,מידרוג Moodys,ILS,4.06,"תא ללא תוכן, המשך בתא הבא",0.0219,21.369629999999997,1.0,173.02,21.369629999999997,0.564153583374473,1.232690274013462e-05
662,9862,בנק לאומי,10-800,סימול בנק,צמוד למדד המחירים לצרכן,31/10/2034,ישראל,ישראל,לא,Aaa.il,מידרוג Moodys,ILS,4.06,"תא ללא תוכן, המשך בתא הבא",0.0219,5.8277399999999995,1.0,173.01,5.8277399999999995,0.15385106826719747,3.3616859147674587e-06
662,9862,בנק לאומי,10-800,סימול בנק,צמוד למדד המחירים לצרכן,2034-02-11 00:00:00,ישראל,ישראל,לא,Aaa.il,מידרוג Moodys,ILS,4.08,"תא ללא תוכן, המשך בתא הבא",0.0219,10.68173,1.0,172.97,10.68173,0.28199534835832957,6.161671812117392e-06
