מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,מאפיין עיקרי,שם נייר ערך,מספר נייר ערך,תאריך רכישה,"מח""מ",סוג הצמדה,מועד פדיון,שיעור ריבית,תשואה לפדיון,ערך נקוב (יחידות),שער נייר הערך,"שווי הוגן (באלפי ש""ח)","עלות מופחתת (באלפי ש""ח)",השיטה שיושמה בדוח הכספי,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
214,14200,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8788,9878800.0,2012-03-01,1.3816,צמוד למדד המחירים לצרכן,2027-03-01,0.048,0.0487,13632.03,122.982985,17.40664,16.76508,עלות מופחתת,0.003372,0.000567
214,14200,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8867,9886700.0,2018-10-02,6.5882,צמוד למדד המחירים לצרכן,2033-10-02,0.048,0.0485,34367.04,121.210172,50.33914,41.65634,עלות מופחתת,0.00838,0.00141
214,14200,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8849,9884900.0,2017-04-02,5.5361,צמוד למדד המחירים לצרכן,2032-04-02,0.048,0.0485,27701.17,123.153436,39.97457,34.11494,עלות מופחתת,0.006863,0.001155
214,14200,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8824,9882400.0,2015-03-01,4.0197,צמוד למדד המחירים לצרכן,2030-03-01,0.048,0.0486,49519.93,120.157482,66.69047,59.5019,עלות מופחתת,0.01197,0.002015
214,14200,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8806,9880600.0,2013-09-01,2.7523,צמוד למדד המחירים לצרכן,2028-09-01,0.048,0.0485,4714.76,119.079468,6.0628,5.61432,עלות מופחתת,0.001129,0.00019
214,14200,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8893,9889300.0,2021-01-01,8.1271,צמוד למדד המחירים לצרכן,2036-01-01,0.048,0.0485,58558.09,120.039577,88.83771,70.29289,עלות מופחתת,0.014141,0.00238
214,14200,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8784,9878400.0,2011-10-01,1.0526,צמוד למדד המחירים לצרכן,2026-11-01,0.048,0.0485,18656.27,124.943133,23.99455,23.30973,עלות מופחתת,0.004689,0.000789
214,14200,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8799,9879900.0,2013-02-01,2.225,צמוד למדד המחירים לצרכן,2028-02-01,0.048,0.0485,23157.93,121.487199,29.9086,28.13392,עלות מופחתת,0.00566,0.000952
214,14200,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8898,9889800.0,2021-06-01,8.3475,צמוד למדד המחירים לצרכן,2036-06-01,0.048,0.0485,64786.12,119.320028,98.34391,77.30282,עלות מופחתת,0.015552,0.002618
214,14200,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8833,9883300.0,2015-12-01,4.5708,צמוד למדד המחירים לצרכן,2030-12-01,0.048,0.0485,21542.55,121.1055,29.71486,26.08921,עלות מופחתת,0.005248,0.000883
214,14200,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8793,9879300.0,2012-08-01,1.7665,צמוד למדד המחירים לצרכן,2027-08-01,0.048,0.0485,50560.81,122.297174,64.87434,61.83444,עלות מופחתת,0.01244,0.002094
214,14200,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8813,9881300.0,2014-04-01,3.1907,צמוד למדד המחירים לצרכן,2029-04-01,0.048,0.0486,27452.93,122.169821,36.69347,33.53919,עלות מופחתת,0.006747,0.001135
214,14200,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8777,9877700.0,2011-04-01,0.4896,צמוד למדד המחירים לצרכן,2026-04-01,0.048,0.0487,10771.85,127.517673,13.91342,13.73601,עלות מופחתת,0.002763,0.000465
214,14200,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8807,9880700.0,2013-10-01,2.7683,צמוד למדד המחירים לצרכן,2028-10-01,0.048,0.0485,37133.28,121.214475,48.6354,45.01091,עלות מופחתת,0.009055,0.001524
214,14200,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8859,9885900.0,2018-02-01,6.2297,צמוד למדד המחירים לצרכן,2033-02-01,0.048,0.0485,72240.46,120.520151,104.05468,87.06431,עלות מופחתת,0.017516,0.002948
