מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם הבנק,מספר מזהה בנק,סוג מספר מזהה בנק,מאפיין עיקרי,"ישראל/חו""ל",בעל עניין/צד קשור,דירוג הבנק,שם מדרג,מטבע פעילות,שווי מטבעי,שער חליפין,שיעור ריבית,"שווי הוגן (באלפי ש""ח)",שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
163,15359,מזרחי,20-061,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,ilAAA,מעלות S&P,USD,150.205,3.306,ריק במקור,496.577,0.24736,0.01791
163,15359,מזרחי,20-061,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,ilAAA,מעלות S&P,USD,121.896,3.306,ריק במקור,402.987,0.20074,0.01454
163,15359,מזרחי,20-061,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,ilAAA,מעלות S&P,USD,-99.348,3.306,ריק במקור,-328.443,-0.16361,-0.01185
163,15359,מזרחי,20-061,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,ilAAA,מעלות S&P,GBP,0.035,4.441,ריק במקור,0.155,8e-05,1e-05
163,15359,מזרחי,20-061,סימול בנק,"מזומן ועו""ש בש""ח",ישראל,לא,ilAAA,מעלות S&P,ILS,1734.301,1.0,ריק במקור,1734.301,0.86391,0.06256
163,15359,לאומי למשכנתאות‎ בנק,10,סימול בנק,"פקדון במט""ח עד שלושה חודשים",ישראל,לא,ilAAA,מעלות S&P,USD,6.898,3.306,ריק במקור,22.804,0.01136,0.00082
163,15359,פועלים,12-531,סימול בנק,"פקדון במט""ח עד שלושה חודשים",ישראל,לא,ilAAA,מעלות S&P,USD,11.506,3.306,ריק במקור,38.039,0.01895,0.00137
163,15359,מזרחי,20-061,סימול בנק,"מזומן ועו""ש בש""ח",ישראל,לא,ilAAA,מעלות S&P,ILS,-447.403,1.0,ריק במקור,-447.403,-0.22287,-0.01614
163,15359,JP MORGAN,CHASUS33XXX,SWIFT,"פקדון במט""ח עד שלושה חודשים","חו""ל",לא,A,S&P,USD,3.971,3.306,ריק במקור,13.127,0.00654,0.00047
163,15360,מזרחי,20-061,סימול בנק,"פקדון במט""ח עד שלושה חודשים",ישראל,לא,ilAAA,מעלות S&P,USD,6102.069,3.306,ריק במקור,20173.441,0.71996,0.06557
163,15360,מזרחי,20-061,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,ilAAA,מעלות S&P,USD,471.635,3.306,ריק במקור,1559.226,0.05565,0.00507
163,15360,מזרחי,20-061,סימול בנק,"מזומן ועו""ש בש""ח",ישראל,לא,ilAAA,מעלות S&P,ILS,16368.089,1.0,ריק במקור,16368.089,0.58416,0.0532
163,15360,מזרחי,20-061,סימול בנק,"מזומן ועו""ש בש""ח",ישראל,לא,ilAAA,מעלות S&P,ILS,-10080.697,1.0,ריק במקור,-10080.697,-0.35977,-0.03276
660,15361,מזרחי,20-061,סימול בנק,"פקדון במט""ח עד שלושה חודשים",ישראל,לא,ilAAA,מעלות S&P,USD,600.037,3.306,ריק במקור,1983.721,1.06724,0.09332
660,15361,מזרחי,20-061,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,ilAAA,מעלות S&P,USD,46.377,3.306,ריק במקור,153.324,0.08249,0.00721
660,15361,מזרחי,20-061,סימול בנק,"מזומן ועו""ש בש""ח",ישראל,לא,ilAAA,מעלות S&P,ILS,356.356,1.0,ריק במקור,356.356,0.19172,0.01676
660,15361,מזרחי,20-061,סימול בנק,"מזומן ועו""ש בש""ח",ישראל,לא,ilAAA,מעלות S&P,ILS,-634.662,1.0,ריק במקור,-634.662,-0.34145,-0.02986
660,15362,מזרחי,20-061,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,ilAAA,מעלות S&P,USD,2184.432,3.306,ריק במקור,7221.731,0.56066,0.05785
660,15362,מזרחי,20-061,סימול בנק,"מזומן ועו""ש בש""ח",ישראל,לא,ilAAA,מעלות S&P,ILS,4806.69,1.0,ריק במקור,4806.69,0.37317,0.03851
660,15362,לאומי למשכנתאות‎ בנק,10,סימול בנק,"פקדון במט""ח עד שלושה חודשים",ישראל,לא,ilAAA,מעלות S&P,USD,1355.975,3.306,ריק במקור,4482.854,0.34803,0.03591
660,15362,מזרחי,20-061,סימול בנק,"מזומן ועו""ש בש""ח",ישראל,לא,ilAAA,מעלות S&P,ILS,-8150.428,1.0,ריק במקור,-8150.428,-0.63276,-0.06529
660,15362,מזרחי,20-061,סימול בנק,"פקדון במט""ח עד שלושה חודשים",ישראל,לא,ilAAA,מעלות S&P,USD,1367.179,3.306,ריק במקור,4519.893,0.3509,0.03621
163,15666,מזרחי,20-061,סימול בנק,"פקדון במט""ח עד שלושה חודשים",ישראל,לא,ilAAA,מעלות S&P,USD,0.548,3.306,ריק במקור,1.811,0.00058,0.00012
