מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,סטאטוס סחירות,זירת מסחר,ענף מסחר,בעל עניין/צד קשור,דירוג,שם מדרג,דירוג נייר הערך/המנפיק,מטבע פעילות,"מח""מ",מועד פדיון,שיעור ריבית,תשואה לפדיון,נחיתות חוזית,האם סווג כחוב בעייתי,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,סכום לקבל (במטבע הפעילות),"שווי הוגן (באלפי ש""ח)","עלות מופחתת (באלפי ש""ח)",עלות מופחתת (במטבע הפעילות),השיטה שיושמה בדוח הכספי,שיעור מערך נקוב מונפק,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
163,2105,רכבת ישראל בעמ,520043613,ח.פ.,רכבת ישר אגח ג,IL0011776254,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,שירותים,לא,ilAAA,מעלות S&P,נייר ערך,ILS,3.16,30/06/2031,0.007,0.0238,החוב לא נחות,ריק במקור,1320.896,1,111.18,0,1.469,ריק במקור,ריק במקור,שווי הוגן,2e-05,0.00022,0
163,2105,רציו אנרגיה (מימון) בעמ,515060044,ח.פ.,רציו מימון אגחד,IL0011781445,ISIN,"צמוד למט""ח",ישראל,ישראל,סחיר,TASE,חיפושי נפט וגז,לא,NR,NR,NR,ILS,2.11,31/10/2029,0.057,0.0501,החוב לא נחות,ריק במקור,11820.387,1,105.38,0,12.456,ריק במקור,ריק במקור,שווי הוגן,4e-05,0.00186,0
163,2105,שופרסל בעמ,520022732,ח.פ.,שופרסל אגח ז,IL0077702582,ISIN,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,רשתות שיווק,לא,ilAA,מעלות S&P,נייר ערך,ILS,2.71,20/08/2030,0.0352,0.0456,החוב לא נחות,ריק במקור,1827.589,1,97.78,0,1.787,ריק במקור,ריק במקור,שווי הוגן,2.61e-06,0.00027,0
163,2105,שופרסל בעמ,520022732,ח.פ.,שופרסל אגח ד,IL0077701915,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,רשתות שיווק,לא,ilAA,מעלות S&P,נייר ערך,ILS,2.45,8/10/2029,0.0299,0.025,החוב לא נחות,ריק במקור,1449.903,1,119.71,0.47,2.202,ריק במקור,ריק במקור,שווי הוגן,1e-05,0.00033,0
163,2105,שופרסל בעמ,520022732,ח.פ.,שופרסל אגח ה,IL0077702095,ISIN,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,רשתות שיווק,לא,ilAA,מעלות S&P,נייר ערך,ILS,2.41,8/10/2029,0.0509,0.0458,החוב לא נחות,ריק במקור,4791.05,1,101.07,1.47,6.314,ריק במקור,ריק במקור,שווי הוגן,1e-05,0.00094,0
163,2105,שופרסל בעמ,520022732,ח.פ.,שופרסל אגח ו,IL0077702178,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,רשתות שיווק,לא,ilAA,מעלות S&P,נייר ערך,ILS,1.98,8/10/2028,0.043,0.0269,החוב לא נחות,ריק במקור,2823.837,1,122.21,1.32,4.767,ריק במקור,ריק במקור,שווי הוגן,1e-05,0.00071,0
163,2105,שמוס אינטרנשיונל לימיטד,1742,מספר מנפיק,שמוס אגח א,IL0011559510,ISIN,"צמוד למט""ח",ישראל,בריטניה,סחיר,TASE,"נדל""ן מניב בחו""ל",לא,Aa3.il,מידרוג Moodys,נייר ערך,ILS,2.28,10/07/2028,0.043,0.0706,החוב לא נחות,ריק במקור,12810.532,1,88.55,0,11.344,ריק במקור,ריק במקור,שווי הוגן,1e-05,0.00169,0
163,2105,תדיראן גרופ בעמ,520036732,ח.פ.,תדיראן גרו אגח4,IL0012087842,ISIN,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,מסחר,לא,A1.il,מידרוג Moodys,נייר ערך,ILS,4.55,30/06/2034,0.0585,0.0487,החוב לא נחות,ריק במקור,1397.98,1,105.82,0,1.479,ריק במקור,ריק במקור,שווי הוגן,1e-05,0.00022,0
163,2105,"תנופורט (1990) בע""מ",511519829,ח.פ.,תנופורט אגח ב,IL0011899197,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,"נדל""ן מניב בישראל",לא,NR,NR,NR,ILS,1.2,31/12/2026,0.0343,0.0335,החוב לא נחות,ריק במקור,8013.381,1,112.06,0,8.98,ריק במקור,ריק במקור,שווי הוגן,1e-05,0.00134,0
163,2105,תשתיות אנרגיה בעמ,520027293,ח.פ.,תשת אנרג אגח ב,IL0012115155,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,אנרגיה,לא,Aaa.il,מידרוג Moodys,נייר ערך,ILS,11.29,31/12/2050,0.0329,0.0277,החוב לא נחות,ריק במקור,560.849,1,109.97,0,0.617,ריק במקור,ריק במקור,שווי הוגן,1.12e-06,9e-05,0
163,2105,ATRIUM,511633596,ח.פ.,"Atrium European Real Estate, 3.625% perp.EUR",XS2338530467,ISIN,"צמוד למט""ח","חו""ל",אירופה,סחיר,EURONEXT,Real Estate Management & Development,לא,Caa2,Moodys,נייר ערך,EUR,0.813,4/08/2026,0.03625,0.32273,החוב לא נחות,ריק במקור,6206.041,3.881,84.647,0,20.386,ריק במקור,ריק במקור,שווי הוגן,2e-05,0.00304,1e-05
