מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,סטאטוס סחירות,זירת מסחר,נכס בסיס (כתב אופציה),ענף מסחר,תאריך פקיעה,בעל עניין/צד קשור,מטבע פעילות,שער מימוש,יחס המרה,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,"שווי הוגן (באלפי ש""ח)",שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
660,2109,ארי נדלן (ארנה) השקעות בעמ,520038332,ח.פ.,ארי נדלן אפ 1,IL0012123498,ISIN,ישראל,ישראל,סחיר,TASE,IL0003660136,"נדל""ן מניב בישראל",27/09/2027,לא,ILS,285.24,1,7680.92,1,59.6,4.578,0.04677,2e-05
660,2109,קבוצת חגג ייזום נדלן בעמ,520033309,ח.פ.,חגג אופ 1,IL0012166547,ISIN,ישראל,ישראל,סחיר,TASE,IL0008230133,בנייה,30/07/2027,לא,ILS,3230,1,1230.8,1,158.2,1.947,0.01989,1e-05
660,2109,"מגידו י.ק. בע""מ",510542855,ח.פ.,מגידו      אפ 1,IL0012251844,ISIN,ישראל,ישראל,סחיר,TASE,IL0012166059,בנייה,12/07/2029,לא,ILS,850,1,2371.954,1,215.8,5.119,0.0523,2e-05
660,2109,"נאוויטס פטרוליום, שותפות מוגבלת",550263107,ח.פ.,נאוויטס פט אפ 6,IL0012288242,ISIN,ישראל,ישראל,סחיר,TASE,IL0011419699,חיפושי נפט וגז,31/08/2026,לא,ILS,12000,1,393.18,1,1609,6.326,0.06464,3e-05
660,2109,"נאייקס בע""מ",513639013,ח.פ.,נאייקס אפ 1,IL0012189812,ISIN,ישראל,ישראל,סחיר,TASE,IL0011751166,תוכנה ואינטרנט,31/03/2027,לא,ILS,17780,1,6.084,1,2797,0.17,0.00174,0
660,2109,"פאי סיאם בע""מ",513978635,ח.פ.,פאי סיאם אופ 1,IL0012162827,ISIN,ישראל,ישראל,סחיר,TASE,IL0011865271,מלונאות ותיירות,12/01/2028,לא,ILS,4900,1,1473.654,1,480.1,7.075,0.07229,3e-05
660,2109,מפעלים פטרוכימיים בישראל בעמ,520029315,ח.פ.,פטרוכימים אופציה 1,IL0011903056,ISIN,ישראל,ישראל,סחיר,TASE,IL0007560159,אנרגיה,25/10/2026,לא,ILS,37.5,1,2075.835,1,134.3,2.788,0.02848,1e-05
660,2109,רותם שני,512287517,ח.פ.,רותם שני   אפ 2,IL0012093030,ISIN,ישראל,ישראל,סחיר,TASE,IL0011715294 ,בנייה,23/10/2027,לא,ILS,2600,1,969.362,1,1802,17.468,0.17848,8e-05
660,2109,SCAGE FUTURE -,21380033k525e5jlia77,LEI,SCAGE FUTURE -A,KYG7840J1186,ISIN,"חו""ל",גלובלי,סחיר,NASDAQ,US80590A1051,Industrial Conglomerates,2023-06-24 00:00:00,לא,USD,2,1,2778.024,3.306,4.76,0.437,0.00447,0
660,2109,Taboola.com Ltd,984500F5945AFAFFCB30,LEI,TABOOLA.COM LTD,IL0011754210,ISIN,"חו""ל","ארה""ב",סחיר,NASDAQ,IL0011754137,Software,2026-06-29 00:00:00,לא,USD,0,1,112.407,3.306,8.5,0.032,0.00032,0
660,2158,אפי נכסים בעמ,510560188,ח.פ.,אפי נכס אופ 3,IL0012137191,ISIN,ישראל,ישראל,סחיר,TASE,IL0010913544,"נדל""ן מניב בחו""ל",20/11/2025,לא,ILS,17000,1,1990.608,1,3900,77.634,0.3467,0.0001
660,2158,אפי קפיטל נדלן בעמ,513948216,ח.פ.,אפי קפיטל אופציה 1,IL0012042136,ISIN,ישראל,ישראל,סחיר,TASE,IL0011814378,בנייה,15/02/2026,לא,ILS,1157.91,1,4948.642,1,530.8,26.267,0.11731,3e-05
660,2158,ארי נדלן (ארנה) השקעות בעמ,520038332,ח.פ.,ארי נדלן אפ 1,IL0012123498,ISIN,ישראל,ישראל,סחיר,TASE,IL0003660136,"נדל""ן מניב בישראל",27/09/2027,לא,ILS,285.24,1,15367.257,1,59.6,9.159,0.0409,1e-05
660,2158,קבוצת חגג ייזום נדלן בעמ,520033309,ח.פ.,חגג אופ 1,IL0012166547,ISIN,ישראל,ישראל,סחיר,TASE,IL0008230133,בנייה,30/07/2027,לא,ILS,3230,1,2462.468,1,158.2,3.896,0.0174,1e-05
660,2158,"מגידו י.ק. בע""מ",510542855,ח.פ.,מגידו      אפ 1,IL0012251844,ISIN,ישראל,ישראל,סחיר,TASE,IL0012166059,בנייה,12/07/2029,לא,ILS,850,1,4745.581,1,215.8,10.241,0.04573,1e-05
660,2158,"נאוויטס פטרוליום, שותפות מוגבלת",550263107,ח.פ.,נאוויטס פט אפ 6,IL0012288242,ISIN,ישראל,ישראל,סחיר,TASE,IL0011419699,חיפושי נפט וגז,31/08/2026,לא,ILS,12000,1,786.637,1,1609,12.657,0.05652,2e-05
660,2158,"נאייקס בע""מ",513639013,ח.פ.,נאייקס אפ 1,IL0012189812,ISIN,ישראל,ישראל,סחיר,TASE,IL0011751166,תוכנה ואינטרנט,31/03/2027,לא,ILS,17780,1,1015.984,1,2797,28.417,0.12691,4e-05
660,2158,"פאי סיאם בע""מ",513978635,ח.פ.,פאי סיאם אופ 1,IL0012162827,ISIN,ישראל,ישראל,סחיר,TASE,IL0011865271,מלונאות ותיירות,12/01/2028,לא,ILS,4900,1,2948.347,1,480.1,14.155,0.06321,2e-05
660,2158,מפעלים פטרוכימיים בישראל בעמ,520029315,ח.פ.,פטרוכימים אופציה 1,IL0011903056,ISIN,ישראל,ישראל,סחיר,TASE,IL0007560159,אנרגיה,25/10/2026,לא,ILS,37.5,1,4153.134,1,134.3,5.578,0.02491,1e-05
660,2158,רותם שני,512287517,ח.פ.,רותם שני   אפ 2,IL0012093030,ISIN,ישראל,ישראל,סחיר,TASE,IL0011715294 ,בנייה,23/10/2027,לא,ILS,2600,1,1939.407,1,1802,34.948,0.15607,5e-05
660,2158,SCAGE FUTURE -,21380033k525e5jlia77,LEI,SCAGE FUTURE -A,KYG7840J1186,ISIN,"חו""ל",גלובלי,סחיר,NASDAQ,US80590A1051,Industrial Conglomerates,2023-06-24 00:00:00,לא,USD,2,1,5774.121,3.306,4.76,0.909,0.00406,0
