מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,מספר מזהה לווה,סוג מספר מזהה לווה,שם הלוואה,מספר הלוואה,תאריך העמדת מסגרת אשראי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,בעל עניין/צד קשור,דירוג,שם מדרג,דירוג הלוואה/המנפיק,מטבע פעילות,שער חליפין,שיעור ריבית,סוג הריבית,סכום מסגרת האשראי הראשוני (במטבע הפעילות),"סכום מסגרת האשראי הראשוני (באלפי ש""ח)",שיעור יתרת מסגרת אשראי
170,9656,194.0,פנימי,הלוואה לגורם 194,2080646.0,2022-12-25,ישראל,,לא,NR,NR,NR,ILS,1.0,13.100%,משתנה,314.919,314.919,46.868%
170,9656,179.0,פנימי,הלוואה לגורם 179,2080533.0,2021-06-30,ישראל,,לא,A-,S&P מעלות,הלוואה,ILS,1.0,7.150%,משתנה,9258.199,9258.199,12.352%
170,9656,182.0,פנימי,הלוואה לגורם 182,2080536.0,2021-06-30,ישראל,,לא,NR,NR,NR,ILS,1.0,7.250%,משתנה,18077.64,18077.64,26.718%
170,9656,174.0,פנימי,הלוואה לגורם 174,2080688.0,2022-12-31,ישראל,,לא,NR,NR,NR,ILS,1.0,4.000%,קבועה,5313.113,5313.113,59.388%
170,9656,203.0,פנימי,הלוואה לגורם 203,2080744.0,2022-12-18,ישראל,,לא,A1,מידרוג Moodys,הלוואה,ILS,1.0,6.600%,משתנה,19699.072,19699.072,69.964%
170,9656,174.0,פנימי,הלוואה לגורם 174,2080662.0,2022-12-31,ישראל,,לא,NR,NR,NR,ILS,1.0,5.000%,קבועה,15193.365,15193.365,53.840%
170,9656,186.0,פנימי,הלוואה לגורם 186,2080622.0,2022-04-30,ישראל,,לא,BBB+,S&P מעלות,הלוואה,ILS,1.0,2.820%,קבועה,11491.104,11491.104,14.194%
170,9656,154.0,פנימי,הלוואה לגורם 154,2080571.0,2018-08-01,ישראל,,לא,A1,מידרוג Moodys,הלוואה,ILS,1.0,6.600%,משתנה,5927.029,5927.029,14.002%
170,9656,185.0,פנימי,הלוואה לגורם 185,2080574.0,2023-09-11,ישראל,,לא,BBB+,S&P מעלות,הלוואה,ILS,1.0,1.370%,קבועה,2959.05,2959.05,7.107%
170,9656,202.0,פנימי,הלוואה לגורם 202,2080749.0,2023-09-21,ישראל,,לא,NR,NR,NR,ILS,1.0,3.940%,קבועה,5095.98,5095.98,54.517%
170,9656,250.0,פנימי,הלוואה לגורם 250,2080765.0,2023-10-26,ישראל,,לא,NR,NR,NR,ILS,1.0,3.390%,קבועה,5644.953,5644.953,10.588%
170,9656,113.0,פנימי,הלוואה לגורם 113,8261018.0,2023-11-15,ישראל,,לא,Aa1,NR,מנפיק,ILS,1.0,3.850%,קבועה,19685.673,19685.673,97.499%
170,9656,19685.0,פנימי,הלוואה לגורם 19685,2080801.0,2023-12-20,ישראל,,לא,A+,S&P מעלות,הלוואה,ILS,1.0,6.900%,משתנה,14506.32,14506.32,83.489%
170,9656,1840.0,פנימי,הלוואה לגורם  1840,2080841.0,2024-04-21,ישראל,,לא,A3,מידרוג Moodys,הלוואה,ILS,1.0,6.500%,משתנה,3068.687,3068.687,8.545%
170,9656,19780.0,פנימי,הלוואה לגורם  19780,2080853.0,2024-06-01,ישראל,,לא,NR,NR,NR,USD,3.306,9.300%,משתנה,1454.372,4808.153,1.008%
170,9656,19803.0,פנימי,הלוואה לגורם  19803,2080880.0,2024-08-07,ישראל,,לא,NR,NR,NR,ILS,1.0,4.990%,קבועה,7921.592,7921.592,67.262%
170,9656,19862.0,פנימי,הלוואה לגורם  19862,2080921.0,2024-11-14,ישראל,,לא,NR,NR,NR,USD,3.306,10.700%,משתנה,1022.711,3381.083,60.018%
170,9656,19977.0,פנימי,הלוואה לגורם  19977,2080948.0,2025-01-15,ישראל,,לא,NR,NR,NR,USD,3.306,8.990%,משתנה,1813.499,5995.429,33.723%
170,9656,203.0,פנימי,הלוואה לגורם 203,2081033.0,2025-08-07,ישראל,,לא,A1,מידרוג Moodys,הלוואה,ILS,1.0,6.600%,משתנה,5583.004,5583.004,0.480%
170,9656,18633.0,פנימי,הלוואה לגורם  18633,2081047.0,2025-09-15,ישראל,,לא,NR,NR,NR,USD,3.306,15.300%,משתנה,821.818,2716.931,67.196%
170,9656,18880.0,פנימי,הלוואה לגורם  18880,2081049.0,2025-09-28,ישראל,,לא,A3,מידרוג Moodys,מנפיק,ILS,1.0,12.500%,משתנה,6057.113,6057.113,62.855%
170,2205,194.0,פנימי,הלוואה לגורם 194,2080645.0,2022-12-25,ישראל,,לא,NR,NR,NR,ILS,1.0,8.500%,משתנה,657.631,657.631,46.868%
170,2205,194.0,פנימי,הלוואה לגורם 194,2080646.0,2022-12-25,ישראל,,לא,NR,NR,NR,ILS,1.0,13.100%,משתנה,77.369,77.369,46.868%
170,2205,179.0,פנימי,הלוואה לגורם 179,2080533.0,2021-06-30,ישראל,,לא,A-,S&P מעלות,הלוואה,ILS,1.0,7.150%,משתנה,1328.6,1328.6,12.352%
170,2205,182.0,פנימי,הלוואה לגורם 182,2080536.0,2021-06-30,ישראל,,לא,NR,NR,NR,ILS,1.0,7.250%,משתנה,2561.691,2561.691,26.718%
170,2205,174.0,פנימי,הלוואה לגורם 174,2080688.0,2022-12-31,ישראל,,לא,NR,NR,NR,ILS,1.0,4.000%,קבועה,1302.806,1302.806,59.388%
170,2205,45.0,פנימי,הלוואה לגורם 45,2080277.0,2018-06-13,ישראל,,לא,Aa2,מידרוג Moodys,הלוואה,EUR,3.8807,3.300%,משתנה,71.018,275.598,54.954%
170,2205,203.0,פנימי,הלוואה לגורם 203,2080744.0,2022-12-18,ישראל,,לא,A1,מידרוג Moodys,הלוואה,ILS,1.0,6.600%,משתנה,4800.0,4800.0,69.964%
170,2205,174.0,פנימי,הלוואה לגורם 174,2080662.0,2022-12-31,ישראל,,לא,NR,NR,NR,ILS,1.0,5.000%,קבועה,3740.0,3740.0,53.840%
170,2205,154.0,פנימי,הלוואה לגורם 154,2080571.0,2018-08-01,ישראל,,לא,A1,מידרוג Moodys,הלוואה,ILS,1.0,6.600%,משתנה,6335.0,6335.0,14.002%
170,2205,1840.0,פנימי,הלוואה לגורם  1840,2080841.0,2024-04-21,ישראל,,לא,A3,מידרוג Moodys,הלוואה,ILS,1.0,6.500%,משתנה,495.0,495.0,8.545%
170,2205,19803.0,פנימי,הלוואה לגורם  19803,2080880.0,2024-08-07,ישראל,,לא,NR,NR,NR,ILS,1.0,4.990%,קבועה,1284.128,1284.128,67.262%
170,2205,92.0,פנימי,הלוואה לגורם 92,2081005.0,2025-04-08,ישראל,,לא,NR,NR,NR,ILS,1.0,4.470%,קבועה,457.762,457.762,65.267%
170,9648,194.0,פנימי,הלוואה לגורם 194,2080645.0,2022-12-25,ישראל,,לא,NR,NR,NR,ILS,1.0,8.500%,משתנה,116.46,116.46,46.868%
170,9648,179.0,פנימי,הלוואה לגורם 179,2080533.0,2021-06-30,ישראל,,לא,A-,S&P מעלות,הלוואה,ILS,1.0,7.150%,משתנה,402.799,402.799,12.352%
170,9648,182.0,פנימי,הלוואה לגורם 182,2080536.0,2021-06-30,ישראל,,לא,NR,NR,NR,ILS,1.0,7.250%,משתנה,786.509,786.509,26.718%
170,9648,174.0,פנימי,הלוואה לגורם 174,2080688.0,2022-12-31,ישראל,,לא,NR,NR,NR,ILS,1.0,4.000%,קבועה,231.159,231.159,59.388%
170,9648,203.0,פנימי,הלוואה לגורם 203,2080744.0,2022-12-18,ישראל,,לא,A1,מידרוג Moodys,הלוואה,ILS,1.0,6.600%,משתנה,857.053,857.053,69.964%
170,9648,174.0,פנימי,הלוואה לגורם 174,2080662.0,2022-12-31,ישראל,,לא,NR,NR,NR,ILS,1.0,5.000%,קבועה,661.022,661.022,53.840%
170,9648,186.0,פנימי,הלוואה לגורם 186,2080622.0,2022-04-30,ישראל,,לא,BBB+,S&P מעלות,הלוואה,ILS,1.0,2.820%,קבועה,499.946,499.946,14.194%
170,9648,154.0,פנימי,הלוואה לגורם 154,2080571.0,2018-08-01,ישראל,,לא,A1,מידרוג Moodys,הלוואה,ILS,1.0,6.600%,משתנה,257.869,257.869,14.002%
170,9648,202.0,פנימי,הלוואה לגורם 202,2080749.0,2023-09-21,ישראל,,לא,NR,NR,NR,ILS,1.0,3.940%,קבועה,221.712,221.712,54.517%
170,9648,250.0,פנימי,הלוואה לגורם 250,2080765.0,2023-10-26,ישראל,,לא,NR,NR,NR,ILS,1.0,3.390%,קבועה,245.596,245.596,10.588%
170,9648,113.0,פנימי,הלוואה לגורם 113,8261018.0,2023-11-15,ישראל,,לא,Aa1,NR,מנפיק,ILS,1.0,3.850%,קבועה,856.47,856.47,97.499%
