מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,בעל עניין/צד קשור,נכס בסיס,תאריך רכישה,דירוג,שם מדרג,דירוג נייר הערך/המנפיק,מטבע פעילות,"מח""מ",שיעור ריבית,תשואה לפדיון,סוג גורם משערך,תלות/אי-תלות המשערך,תאריך שערוך אחרון,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,"שווי הוגן (באלפי ש""ח)",שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
667,2176,"בנק לאומי לישראל בע""מ",520018078.0,ח.פ.,לאומי אגח 1 רצף מוסדי,IL0011986390,ISIN,קרן לא מובטחת,ישראל,ישראל,לא,"ריבית ואג""ח",2023-08-07,NR,NR,NR,ILS,1.19,6.800%,6.100%,חברת ציטוט,אי-תלות,2025-09-30,126504.267652605,1.0,100.51,127.14944,0.672%,0.007%
667,2176,"בנק לאומי לישראל בע""מ",520018078.0,ח.פ.,לאומי אגח 2 רצף מוסדי,IL0012058975,ISIN,קרן לא מובטחת,ישראל,ישראל,לא,"ריבית ואג""ח",2024-04-17,NR,NR,NR,ILS,4.24,6.800%,6.050%,חברת ציטוט,אי-תלות,2025-09-30,1868904.89714005,1.0,101.46,1896.19091,10.026%,0.108%
667,2176,"שפיר מגורים ובניין בע""מ",514103142.0,ח.פ.,שפיר הלוואה CLN,2080856,פנימי,קרן לא מובטחת,ישראל,ישראל,לא,אחר,2024-06-20,NR,NR,NR,ILS,0.3,3.610%,3.950%,חברת ציטוט,אי-תלות,2025-09-30,789110.334918105,1.0,104.5,824.6203,4.360%,0.047%
667,2176,א.ק.מ דה וינצ'י בכנרית שותפות מוגבלת,550261952.0,מספר שותפות,א.ק.מ. דה וינצ'י הלוואה CLN,2080857,פנימי,קרן לא מובטחת,ישראל,ישראל,לא,אחר,2024-06-20,NR,NR,NR,ILS,1.8,3.830%,3.740%,חברת ציטוט,אי-תלות,2025-09-30,1211804.58794046,1.0,104.87,1270.81947,6.720%,0.073%
667,2176,"מליסרון בע""מ",520037789.0,ח.פ.,קניון רמת אביב הלוואה CLN,2080858,פנימי,קרן לא מובטחת,ישראל,ישראל,לא,אחר,2024-06-20,AA,S&P מעלות,מנפיק,ILS,1.74,3.870%,4.410%,חברת ציטוט,אי-תלות,2025-09-30,2955710.81710377,1.0,103.78,3067.43669,16.220%,0.175%
667,2176,אקרו בניה ותשתית (ל.כ) 2017 שותפות מוגבלת,550277115.0,מספר שותפות,מגדל אקרו ONE הלוואה CLN,2080859,פנימי,קרן לא מובטחת,ישראל,ישראל,לא,אחר,2024-06-20,NR,NR,NR,ILS,4.12,4.020%,3.630%,חברת ציטוט,אי-תלות,2025-09-30,1501703.69441853,1.0,106.51,1599.4646,8.457%,0.091%
667,2176,"אפריים רוגובין בע""מ",510597842.0,ח.פ.,מגדל אפריים ONE הלוואה CLN,2080860,פנימי,קרן לא מובטחת,ישראל,ישראל,לא,אחר,2024-06-20,NR,NR,NR,ILS,4.12,4.020%,3.630%,חברת ציטוט,אי-תלות,2025-09-30,1501703.69441853,1.0,106.51,1599.4646,8.457%,0.091%
667,2176,"בנק הפועלים בע""מ",520000118.0,ח.פ.,פועלים אגח 1 רצף מוסדי,IL0012117474,ISIN,קרן מובטחת,ישראל,ישראל,לא,"ריבית ואג""ח",2024-09-24,NR,NR,NR,ILS,1.91,6.750%,5.730%,חברת ציטוט,אי-תלות,2025-09-30,466662.267680105,1.0,101.09,471.74889,2.494%,0.027%
667,2176,"מכלול מימון נדל""ן בע""מ",515759777.0,ח.פ.,מכלול נדלן אגח 2 רצף מוסדי,IL0012151937,ISIN,קרן מובטחת,ישראל,ישראל,לא,אחר,2024-12-25,A3,מידרוג Moodys,מנפיק,ILS,2.07,7.000%,7.080%,חברת ציטוט,אי-תלות,2025-09-30,179650.921454006,1.0,101.55,185.64217,0.982%,0.011%
667,2176,"אושירה בע""מ",511113243.0,ח.פ.,אושירה מניבים CLN,2080967,פנימי,קרן מובטחת,ישראל,ישראל,לא,אחר,2025-03-03,NR,NR,NR,ILS,2.13,3.970%,4.560%,חברת ציטוט,אי-תלות,2025-09-30,2804477.80980853,1.0,101.7,2852.15393,15.081%,0.163%
667,2176,"בנק לאומי לישראל בע""מ",520018078.0,ח.פ.,לאומי אגח 4 רצף מוסדי,IL0012219288,ISIN,קרן מובטחת,ישראל,ישראל,לא,אחר,2025-05-21,NR,NR,NR,ILS,3.34,6.700%,6.490%,חברת ציטוט,אי-תלות,2025-09-30,2385191.89977958,1.0,99.38,2370.40371,12.534%,0.135%
667,2176,"מכלול מימון נדל""ן בע""מ",515759777.0,ח.פ.,מכלול נדלן אגח 3 רמ,IL0012253667,ISIN,קרן מובטחת,ישראל,ישראל,לא,אחר,2025-07-20,A3,מידרוג Moodys,מנפיק,ILS,3.89,6.850%,7.090%,חברת ציטוט,אי-תלות,2025-09-30,273481.947943891,1.0,101.29,274.96324,1.454%,0.016%
667,2176,"בנק הפועלים בע""מ",520000118.0,ח.פ.,פועלים אגח 2 רצף מוסדי,IL0012275454,ISIN,קרן מובטחת,ישראל,ישראל,לא,אחר,2025-08-27,AAA,S&P מעלות,מנפיק,ILS,2.87,6.750%,6.470%,חברת ציטוט,אי-תלות,2025-09-30,904691.765109774,1.0,99.52,900.34924,4.761%,0.051%
667,2176,"בנק מזרחי טפחות בע""מ",520000522.0,ח.פ.,ELAL C1 JUN 2026,IL0010878242,ISIN,קרן מובטחת,ישראל,ישראל,לא,מניות לרבות מדדי מניות,2025-06-04,AAA,S&P מעלות,מנפיק,ILS,0.0,0.000%,0.000%,אחר,אי-תלות,2025-09-30,79541.526878153,1.0,1509.0,1200.28164,6.347%,0.069%
667,9634,"בנק לאומי לישראל בע""מ",520018078.0,ח.פ.,לאומי אגח 1 רצף מוסדי,IL0011986390,ISIN,קרן לא מובטחת,ישראל,ישראל,לא,"ריבית ואג""ח",2023-08-07,NR,NR,NR,ILS,1.19,6.800%,6.100%,חברת ציטוט,אי-תלות,2025-09-30,62751.719669401,1.0,100.51,63.07175,0.681%,0.007%
667,9634,"בנק לאומי לישראל בע""מ",520018078.0,ח.פ.,לאומי אגח 2 רצף מוסדי,IL0012058975,ISIN,קרן לא מובטחת,ישראל,ישראל,לא,"ריבית ואג""ח",2024-04-17,NR,NR,NR,ILS,4.24,6.800%,6.050%,חברת ציטוט,אי-תלות,2025-09-30,927059.603365785,1.0,101.46,940.59467,10.163%,0.102%
667,9634,"שפיר מגורים ובניין בע""מ",514103142.0,ח.פ.,שפיר הלוואה CLN,2080856,פנימי,קרן לא מובטחת,ישראל,ישראל,לא,אחר,2024-06-20,NR,NR,NR,ILS,0.3,3.610%,3.950%,חברת ציטוט,אי-תלות,2025-09-30,391433.676063721,1.0,104.5,409.04819,4.420%,0.044%
667,9634,א.ק.מ דה וינצ'י בכנרית שותפות מוגבלת,550261952.0,מספר שותפות,א.ק.מ. דה וינצ'י הלוואה CLN,2080857,פנימי,קרן לא מובטחת,ישראל,ישראל,לא,אחר,2024-06-20,NR,NR,NR,ILS,1.8,3.830%,3.740%,חברת ציטוט,אי-תלות,2025-09-30,601108.746823909,1.0,104.87,630.38274,6.811%,0.068%
667,9634,"מליסרון בע""מ",520037789.0,ח.פ.,קניון רמת אביב הלוואה CLN,2080858,פנימי,קרן לא מובטחת,ישראל,ישראל,לא,אחר,2024-06-20,AA,S&P מעלות,מנפיק,ILS,1.74,3.870%,4.410%,חברת ציטוט,אי-תלות,2025-09-30,1466163.474643,1.0,103.78,1521.58445,16.440%,0.165%
