מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם שותף כללי קרן השקעות,מספר מזהה שותף כללי קרן השקעות,סוג מספר מזהה שותף כללי קרן השקעות,שם קרן השקעה,מספר מזהה קרן השקעה,סוג מספר מזהה קרן השקעות,מאפיין עיקרי,אסטרטגיית קרן ההשקעה,"ישראל/חו""ל",מדינת התאגדות קרן השקעה,מיקום משרד השותף הכללי,מדינה לפי חשיפה כלכלית,בעל עניין/צד קשור,תאריך רכישה,מטבע פעילות,סוג גורם משערך,תלות/אי-תלות המשערך,תאריך שערוך אחרון,שער חליפין,NAV (במטבע הדיווח של קרן ההשקעה),"שווי הוגן (באלפי ש""ח)",שיעור החזקה בקרן השקעה,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
170,2002,Apollo CL Co-Invest GP LLC,,,Apollo CL Co-Invest L.P AP Edge Co-invest,89493,פנימי,קרן השקעה אחרת,,"חו""ל",,,גלובלי,לא,2024-08-20,USD,דיווח מנהל הקרן,אי-תלות,2025-08-31,3.306,998.023,3299.46453,0.133%,0.046%,0.006%
170,2002,Bridgepoint Advisers Limited,,,Bridgepoint VII Negev Co-Investment L.P LumApps,89506,פנימי,קרן השקעה אחרת,,"חו""ל",,,אירופה,לא,2024-11-12,EUR,דיווח מנהל הקרן,אי-תלות,2025-08-27,3.8807,444.657,1725.57932,0.084%,0.024%,0.003%
170,2002,Bridgepoint Advisers Limited,,,Bridgepoint VII Negev Co-Investment L.P ROC,89507,פנימי,קרן השקעה אחרת,,"חו""ל",,,אירופה,לא,2024-11-12,EUR,דיווח מנהל הקרן,אי-תלות,2025-08-27,3.8807,503.463,1953.78907,0.101%,0.027%,0.004%
170,2002,CVC Capital Partners IX Limited,,,CVC Capital Partners IX,89494,פנימי,קרן השקעה אחרת,,"חו""ל",,,אירופה,לא,2024-11-26,EUR,דיווח מנהל הקרן,אי-תלות,2025-08-18,3.8807,571.359,2217.27282,0.016%,0.031%,0.004%
170,2002,Clearlake Capital Partners VIII GP LLC,,,Clearlake Capital Partners VIII,89500,פנימי,קרן השקעה אחרת,,"חו""ל",,,"ארה""ב",לא,2024-11-26,USD,דיווח מנהל הקרן,אי-תלות,2025-09-03,3.306,5.155,17.0433,0.001%,0.000%,0.000%
170,2002,Bridgepoint Advisers Limited,,,Bridgepoint VII Negev Co-Investment L.P Kyriba,89510,פנימי,קרן השקעה אחרת,,"חו""ל",,,אירופה,לא,2024-12-11,EUR,דיווח מנהל הקרן,אי-תלות,2025-08-27,3.8807,575.402,2232.96197,0.153%,0.031%,0.004%
170,2002,Pagaya Auto Loans Manager,,,Pagaya Opportunity SPV I Ltd,89514,פנימי,קרן השקעה אחרת,,"חו""ל",,,"ארה""ב",לא,2024-12-19,USD,דיווח מנהל הקרן,אי-תלות,2025-08-07,3.306,770.874,2548.50911,1.409%,0.036%,0.005%
170,2002,Turnaround Capital (General Partner) S.? r.l,,,Turnaround Capital Investment Fund Luxembourg SC,89511,פנימי,קרן השקעה אחרת,,"חו""ל",,,אירופה,לא,2024-12-30,EUR,דיווח מנהל הקרן,אי-תלות,2025-08-31,3.8807,3445.017,13369.07825,1.503%,0.188%,0.024%
170,2002,Bridgepoint Advisers Limited,,,Bridgepoint VII Negev Co-Investment L.P Alpha,89513,פנימי,קרן השקעה אחרת,,"חו""ל",,,אירופה,לא,2024-12-30,EUR,דיווח מנהל הקרן,אי-תלות,2025-08-27,3.8807,449.744,1745.32109,0.081%,0.025%,0.003%
170,2002,Apollo Management,,,Apollo CL Co-Invest L.P Barnes Group,89520,פנימי,קרן השקעה אחרת,,"חו""ל",,,גלובלי,לא,2025-01-23,USD,דיווח מנהל הקרן,אי-תלות,2025-08-13,3.306,578.008,1910.8944,0.000%,0.027%,0.003%
170,2002,Invesco Direct Lending Associates II LLC,,,Invesco Direct Lending Fund Cayman II,89518,פנימי,קרן השקעה אחרת,,"חו""ל",,,"ארה""ב",לא,2025-03-17,USD,דיווח מנהל הקרן,אי-תלות,2025-08-31,3.306,7428.779,24559.54379,3.122%,0.345%,0.044%
170,2002,Initiative Partners Delta V Ltd,,,Initiative Delta V,89531,פנימי,קרן השקעה אחרת,,"חו""ל",,,יפן,לא,2025-03-17,JPY,דיווח מנהל הקרן,אי-תלות,2025-03-13,0.022332,64585.82,1442.33054,0.281%,0.020%,0.003%
170,2002,PGIM GDC GP I Pte. Ltd.,,,PGIM Real Estate Global Data Center Fund,89526,פנימי,קרן השקעה אחרת,,"חו""ל",,,גלובלי,לא,2025-03-19,USD,דיווח מנהל הקרן,אי-תלות,2025-09-30,3.306,2728.257,9019.61686,0.625%,0.127%,0.016%
170,2002,Bridgepoint Advisers Limited,,,Bridgepoint VII Negev Co-Investment L.P Esker,89527,פנימי,קרן השקעה אחרת,,"חו""ל",,,אירופה,לא,2025-03-19,EUR,דיווח מנהל הקרן,אי-תלות,2025-08-27,3.8807,430.813,1671.85586,0.922%,0.023%,0.003%
170,2002,RDF IV GP LLC,,,Related Real Estate Debt Fund IV,89538,פנימי,קרן השקעה אחרת,,"חו""ל",,,"ארה""ב",לא,2025-04-22,USD,דיווח מנהל הקרן,אי-תלות,2025-08-28,3.306,3486.05,11524.8808,1.028%,0.162%,0.021%
170,2002,Clearlake Capital Partners VIII GP LLC,,,Clearlake Canaf Co-Investment L.P ModMed,89540,פנימי,קרן השקעה אחרת,,"חו""ל",,,"ארה""ב",לא,2025-05-22,USD,דיווח מנהל הקרן,אי-תלות,2025-09-03,3.306,6.389,21.1208,0.000%,0.000%,0.000%
170,2002,Pemba Capital Partners Pty Limited,,,Pemba Capital Fund III Trusco 3B Pty Ltd,89542,פנימי,קרן השקעה אחרת,,"חו""ל",,,אוסטרליה,לא,2025-05-28,AUD,דיווח מנהל הקרן,אי-תלות,2025-08-18,2.1849,59.989,131.06899,0.027%,0.002%,0.000%
170,2002,Apollo CL Co-Invest GP LLC,,,Apollo CL Co-Invest Tenneco ICECo,89557,פנימי,קרן השקעה אחרת,,"חו""ל",,,גלובלי,לא,2025-07-31,USD,דיווח מנהל הקרן,אי-תלות,2025-07-29,3.306,747.942,2472.69635,1.170%,0.035%,0.004%
170,2002,Electra Transcendent SFR LLC,,,Electra Ark SFR Investment Fund,89535,פנימי,קרן השקעה אחרת,,"חו""ל",,,"ארה""ב",לא,2025-08-06,USD,דיווח מנהל הקרן,אי-תלות,2025-03-26,3.306,667.023,2205.17783,4.941%,0.031%,0.004%
170,2002,Northwind Healthcare Debt Fund II GP LLC,,,Northwind Healthcare Debt Fund II,89558,פנימי,קרן השקעה אחרת,,"חו""ל",,,"ארה""ב",לא,2025-08-13,USD,דיווח מנהל הקרן,אי-תלות,2025-08-05,3.306,3835.411,12679.86919,2.571%,0.178%,0.023%
170,2002,Clal Wacker Investments LP,,,One South Wacker -שיקגו עמיתים הון,440000079,פנימי,"קרן נדל""ן",,"חו""ל",,,"ארה""ב",לא,2012-12-31,USD,דיווח מנהל הקרן,אי-תלות,2017-07-31,3.306,113.978,376.81251,9.696%,0.005%,0.001%
170,2002,Klein 660 Columbus,,,קולומבוס ספיר הון,440000219,פנימי,"קרן נדל""ן",,"חו""ל",,,"ארה""ב",לא,2015-10-14,USD,דיווח מנהל הקרן,אי-תלות,2025-09-30,3.306,-3211.851,-10618.37878,9.900%,-0.149%,-0.019%
170,2002,Silver Lake Partners,,,SL SPV-1 L.P. (Silver Lake|<20|UFC),89168,פנימי,קרן השקעה אחרת,,"חו""ל",,,"ארה""ב",לא,2017-11-01,USD,דיווח מנהל הקרן,אי-תלות,2025-08-18,3.306,50.081,165.56696,0.088%,0.002%,0.000%
170,2002,Silver Lake Partners,,,SL SPV-2 L.P (Silver Lake|<20|Dell Technologies In,89189,פנימי,קרן השקעה אחרת,,"חו""ל",,,"ארה""ב",לא,2019-04-22,USD,דיווח מנהל הקרן,אי-תלות,2025-08-18,3.306,1636.185,5409.22703,0.072%,0.076%,0.010%
170,2002,Arjun Infrastructure Partners,,,WMR Investor 2 LP,89205,פנימי,קרן השקעה אחרת,,"חו""ל",,,בריטניה,לא,2019-10-07,GBP,דיווח מנהל הקרן,אי-תלות,2025-07-29,4.4409,9217.817,40935.40366,6.216%,0.575%,0.074%
170,2002,Equitix,,,Equitix MA 12 LP,89217,פנימי,קרן אנרגיה ותשתיות,,"חו""ל",,,בריטניה,לא,2020-02-11,GBP,דיווח מנהל הקרן,אי-תלות,2025-01-30,4.4409,47.76,212.09957,6.765%,0.003%,0.000%
170,2002,ASTORIA ENERGY LLC,,,Astoria Power Partners Holding,89215,פנימי,קרן השקעה אחרת,,"חו""ל",,,"ארה""ב",לא,2020-06-15,USD,דיווח מנהל הקרן,אי-תלות,2025-08-31,3.306,7467.199,24686.55916,1.120%,0.347%,0.045%
170,2002,One Equity Partners,,,OEP VII Project Infobip Excl Carry,89253,פנימי,קרן השקעה אחרת,,"חו""ל",,,"ארה""ב",לא,2020-11-25,USD,דיווח מנהל הקרן,אי-תלות,2025-08-18,3.306,5185.03,17141.70866,1.951%,0.241%,0.031%
170,2002,One Equity Partners,,,OEP VII Project Infobip-I Incl Carry,89254,פנימי,קרן השקעה אחרת,,"חו""ל",,,"ארה""ב",לא,2020-11-25,USD,דיווח מנהל הקרן,אי-תלות,2025-08-18,3.306,4540.869,15012.11138,4.279%,0.211%,0.027%
170,2002,OPC US Inc.,,,OPC Power Ventures,89264,פנימי,קרן השקעה אחרת,,"חו""ל",,,"ארה""ב",לא,2021-01-12,USD,דיווח מנהל הקרן,אי-תלות,2025-05-29,3.306,46552.874,153903.8027,3.170%,2.163%,0.277%
170,2002,Intermediate Capital Group,,,Glendower Capital A DomusVI,89291,פנימי,קרן השקעה אחרת,,"חו""ל",,,אירופה,לא,2021-06-21,EUR,דיווח מנהל הקרן,אי-תלות,2025-09-08,3.8807,18822.422,73044.1731,4.111%,1.026%,0.132%
170,2002,Accelmed Partners,,,Accelmed Partners II Co-Invest MedMinder System,89279,פנימי,קרן השקעה אחרת,,"חו""ל",,,"ארה""ב",לא,2021-04-12,USD,דיווח מנהל הקרן,אי-תלות,2025-08-31,3.306,2870.112,9488.5901,6.007%,0.133%,0.017%
170,2002,Silver Lake Partners,,,SL SPV-3 LP Silver Lake|<20|Red Ventures Holdco LP,89280,פנימי,קרן השקעה אחרת,,"חו""ל",,,"ארה""ב",לא,2021-04-19,USD,דיווח מנהל הקרן,אי-תלות,2025-08-18,3.306,6020.074,19902.36571,3.672%,0.280%,0.036%
170,2002,Silverstein Capital Partners,,,SLP - 116 John Street,89331,פנימי,קרן השקעה אחרת,,"חו""ל",,,"ארה""ב",לא,2021-12-20,USD,דיווח מנהל הקרן,אי-תלות,2025-09-30,3.306,5975.219,19754.07421,2.245%,0.278%,0.036%
170,2002,One Equity Partners,,,OEP Project Cyber Co-Investment Partners LP,89332,פנימי,קרן השקעה אחרת,,"חו""ל",,,"ארה""ב",לא,2021-12-23,USD,דיווח מנהל הקרן,אי-תלות,2025-08-18,3.306,5638.124,18639.63916,9.691%,0.262%,0.034%
170,2002,OMERS,,,Fitzgerald Fund US LP (OMERS|20-49|Direct Chassis),89428,פנימי,קרן השקעה אחרת,,"חו""ל",,,"ארה""ב",לא,2023-05-17,USD,דיווח מנהל הקרן,אי-תלות,2025-08-31,3.306,12916.741,42702.74651,4.298%,0.600%,0.077%
170,2002,Macquarie Group,,,Wight Ventures S.a r.l Macquarie|<20|Southern Wate,89444,פנימי,קרן השקעה אחרת,,"חו""ל",,,אירופה,לא,2023-10-11,GBP,דיווח מנהל הקרן,אי-תלות,2025-08-19,4.4409,9419.023,41828.93906,0.610%,0.588%,0.075%
170,2002,One Equity Partners,,,OEP VIII Project Laser Co-Investment Partners,89421,פנימי,קרן השקעה אחרת,,"חו""ל",,,"ארה""ב",לא,2023-03-20,USD,דיווח מנהל הקרן,אי-תלות,2025-08-18,3.306,12313.867,40709.64573,4.213%,0.572%,0.073%
170,2002,Community SPV GP LP,,,CF GLOBAL 8 LP Community|20-49|Keter Group Holdin,89502,פנימי,קרן השקעה אחרת,,"חו""ל",,,גלובלי,לא,2024-10-09,EUR,דיווח מנהל הקרן,אי-תלות,2024-12-31,3.8807,7066.173,27421.69646,4.572%,0.385%,0.049%
170,2002,ICONIQ Strategic Partners VII GP L.P,,,Iconiq Strategic Partners VII Co-Invest,89562,פנימי,קרן השקעה אחרת,,"חו""ל",,,גלובלי,לא,2025-08-25,USD,דיווח מנהל הקרן,אי-תלות,2025-08-24,3.306,8843.487,29236.56802,0.354%,0.411%,0.053%
170,2002,Pagaya,,,Pagaya Auto Loans Fund,89231,פנימי,קרן חוב,,"חו""ל",,,"ארה""ב",לא,2020-05-27,USD,דיווח מנהל הקרן,אי-תלות,2025-09-30,3.306,4484.797,14826.73777,2.565%,0.208%,0.027%
170,2002,Pagaya Auto Loans Manager,,,Pagaya Auto Loans SPV 1 Ltd,89512,פנימי,קרן חוב,,"חו""ל",,,"ארה""ב",לא,2024-12-17,USD,דיווח מנהל הקרן,אי-תלות,2025-08-05,3.306,2602.936,8605.30785,6.013%,0.121%,0.016%
170,2002,EMCO GP Limited,,,Credit Suisse Emerging Market Credit Opportunity,89065,פנימי,קרן חוב,,"חו""ל",,,גלובלי,לא,2011-01-03,USD,דיווח מנהל הקרן,אי-תלות,2025-09-30,3.306,255.037,843.15087,0.755%,0.012%,0.002%
170,2002,Madison Realty Capital,,,Madison Realty Capital Debt Fund IV,89185,פנימי,קרן חוב,,"חו""ל",,,"ארה""ב",לא,2019-03-04,USD,דיווח מנהל הקרן,אי-תלות,2025-08-25,3.306,8678.75,28691.94686,1.269%,0.403%,0.052%
170,2002,Torchlight Investors,,,Torchlight Debt Opportunity Fund VI,89195,פנימי,קרן חוב,,"חו""ל",,,"ארה""ב",לא,2019-06-17,USD,דיווח מנהל הקרן,אי-תלות,2025-08-18,3.306,13291.018,43940.1047,0.985%,0.617%,0.079%
170,2002,Madison Realty Capital,,,Madison Realty Capital Debt Fund V,89227,פנימי,קרן חוב,,"חו""ל",,,"ארה""ב",לא,2020-03-26,USD,דיווח מנהל הקרן,אי-תלות,2025-08-25,3.306,6865.917,22698.72324,0.560%,0.319%,0.041%
170,2002,Pagaya,,,Pagaya Opportunity,89263,פנימי,קרן חוב,,"חו""ל",,,"ארה""ב",לא,2021-01-04,USD,דיווח מנהל הקרן,אי-תלות,2025-09-30,3.306,11034.007,36478.42701,0.916%,0.513%,0.066%
170,2002,Harbor Group International,,,HGI Multifamily Credit Fund,89380,פנימי,קרן חוב,,"חו""ל",,,"ארה""ב",לא,2022-06-15,USD,דיווח מנהל הקרן,אי-תלות,2025-08-31,3.306,12253.393,40509.71879,0.802%,0.569%,0.073%
170,2002,MV Credit,,,MV Subordinated V Feeder,89395,פנימי,קרן חוב,,"חו""ל",,,אירופה,לא,2022-09-12,EUR,דיווח מנהל הקרן,אי-תלות,2025-08-18,3.8807,4654.057,18060.99782,0.812%,0.254%,0.033%
