מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם הנכס האחר,מספר הנכס האחר,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,בעל עניין/צד קשור,תאריך עסקה,מטבע פעילות,תאריך שערוך אחרון,שווי מטבעי,שער חליפין,"שווי הוגן (באלפי ש""ח)","עלות מופחתת (באלפי ש""ח)",השיטה שיושמה בדוח הכספי,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
170,2002,יורוקום הלוואה ב 12.2014,20701371,אחר,ישראל,ישראל,לא,2014-12-30,ILS,2025-09-30,2725.404,1.0,2725.40357,,,-4.602%,0.005%
170,2002,יורוקום הלוואה ג 12.2014,20701372,אחר,ישראל,ישראל,לא,2014-12-30,ILS,2025-09-30,211.94,1.0,211.94042,,,-0.358%,0.000%
170,2002,אדגר פ.ת הכנסות לקבל - מקיפה כללי,400000457,חייבים והכנסות שכר דירה לקבל,ישראל,ישראל,לא,2017-08-29,ILS,2025-09-30,781.003,1.0,781.00327,,,-1.319%,0.001%
170,2002,חייבים זכאים תפעולי,60101335,חייבים וזכאים,ישראל,ישראל,לא,2018-04-12,ILS,2025-09-30,-72732.812,1.0,-72732.81232,,,122.802%,-0.131%
170,2002,מס לקבל מפעל מאושר שנת 2025,20805062,חייבים וזכאים מס,ישראל,ישראל,לא,2024-01-08,ILS,2024-01-08,286.7,1.0,286.69984,,,-0.484%,0.001%
170,2002,מס לקבל 2019-2023 אירו  להחזר מ WTAX,999999440,חייבים וזכאים מס,ישראל,ישראל,לא,2022-06-30,EUR,2025-09-30,4.691,3.8807,18.20286,,,-0.031%,0.000%
170,2002,מס לקבל 2025 מניות דואליות  בישראל דולר,999999499,חייבים וזכאים מס,ישראל,ישראל,לא,2022-06-30,USD,2025-09-30,148.01,3.306,489.32174,,,-0.826%,0.001%
170,2002,מס לקבל 2025 דולר קנדי להחזר מ WTAX,20803056,חייבים וזכאים מס,ישראל,ישראל,לא,2023-03-06,CAD,2025-09-30,135.086,2.3745,320.76156,,,-0.542%,0.001%
170,2002,מס לקבל דולר בוני בגין שנים 2019-2023,20805061,חייבים וזכאים מס,ישראל,ישראל,לא,2023-09-27,USD,2025-09-30,334.522,3.306,1105.93061,,,-1.867%,0.002%
170,2002,מס לקבל דולר 2019-2023  להחזר מ WTAX,99368085,חייבים וזכאים מס,ישראל,ישראל,לא,2025-05-28,USD,2025-09-30,16.032,3.306,53.00049,,,-0.089%,0.000%
170,2002,חוז פנסיה וגמל בגין מס לקבל שנת 2022,99368090,חייבים וזכאים מס,ישראל,ישראל,לא,2025-07-27,USD,2025-09-30,119.653,3.306,395.57281,,,-0.668%,0.001%
