מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,מספר מזהה לווה,סוג מספר מזהה לווה,שם הלוואה,מספר הלוואה,מאפיין עיקרי,מאפיין הלוואות מתואמות עבור זכויות מקרקעין,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,ענף מסחר,בעל עניין/צד קשור,קונסורציום/ סינדיקציה,מספר קונסורציום/ סינדיקציה,תאריך העמדת הלוואה,דירוג,שם מדרג,דירוג הלוואה/המנפיק,מטבע פעילות,"מח""מ",סוג הריבית,שיעור ריבית,סוג הצמדה,ריבית עוגן,שיעור תוספת/הפחתה לריבית העוגן,תשואה לפדיון,מועד פדיון,נחיתות חוזית,סוג בטוחה,שווי הבטוחות העומדות כנגד ההלוואה,שיעור הבטוחות מהחוב,מועד עדכון אחרון לשווי הבטוחות,זכות חזרה,מבנה לוח סילוקין,יעוד הלוואה,זכות פירעון מוקדם,סוג גורם משערך,שם גורם משערך,תלות/אי-תלות המשערך,תאריך שערוך אחרון,תאריך אחרון בו נבחנה בפועל ירידת ערך,שיעור ריבית בגין אי-ניצול מסגרת האשראי,ערך נקוב,שער הלוואה,שער חליפין,"שווי הוגן (באלפי ש""ח)",שווי הוגן (במטבע הפעילות),"עלות מופחתת (באלפי ש""ח)",עלות מופחתת (במטבע הפעילות),האם סווג כחוב בעייתי,השיטה שיושמה בדוח הכספי,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
170,2002,199.0,פנימי,הלוואה לגורם 199,2080615,אחר,,ישראל,,אנשים פרטיים,לא,לא,,2022-05-30,NR,NR,NR,ILS,6.9,קבועה,3.050%,,,,6.630%,2050-06-30,החוב לא נחות,,,,,,,,לא,חברת ציטוט,,אי-תלות,2025-09-30,,,988989.133444032,105.04,1.0,1038.83419,1038.834,,,,,0.032%,0.002%
170,2002,199.0,פנימי,הלוואה לגורם 199,2080616,אחר,,ישראל,,אנשים פרטיים,לא,לא,,2022-05-30,NR,NR,NR,ILS,7.95,קבועה,4.410%,,,,5.700%,2052-03-31,החוב לא נחות,,,,,,,,לא,חברת ציטוט,,אי-תלות,2025-09-30,,,6220333.06914788,121.41,1.0,7552.10638,7552.106,,,,,0.236%,0.014%
170,2002,199.0,פנימי,הלוואה לגורם 199,2080617,אחר,,ישראל,,אנשים פרטיים,לא,לא,,2022-05-30,NR,NR,NR,ILS,7.96,משתנה,7.673%,,,,6.000%,2052-03-31,החוב לא נחות,,,,,,,,לא,חברת ציטוט,,אי-תלות,2025-09-30,,,11964329.0156886,110.6,1.0,13232.54789,13232.548,,,,,0.413%,0.024%
170,2002,200.0,פנימי,הלוואה לגורם 200,2080644,אחר,,ישראל,,אנשים פרטיים,לא,לא,,2022-09-29,NR,NR,NR,ILS,9.4,קבועה,4.420%,,,,4.680%,2049-10-31,החוב לא נחות,,,,,,,,לא,חברת ציטוט,,אי-תלות,2025-09-30,,,63882700.2971298,96.63,1.0,61729.8533,61729.853,,,,,1.929%,0.111%
170,2002,200.0,פנימי,הלוואה לגורם 200,2080649,אחר,,ישראל,,אנשים פרטיים,לא,לא,,2022-09-29,NR,NR,NR,ILS,8.81,משתנה,9.106%,,,,5.580%,2050-01-31,החוב לא נחות,,,,,,,,לא,חברת ציטוט,,אי-תלות,2025-09-30,,,58992522.2786502,98.74,1.0,58249.2165,58249.217,,,,,1.820%,0.105%
170,2002,200.0,פנימי,הלוואה לגורם 200,2080651,אחר,,ישראל,,אנשים פרטיים,לא,לא,,2022-09-29,NR,NR,NR,ILS,9.02,קבועה,3.110%,,,,5.120%,2049-12-31,החוב לא נחות,,,,,,,,לא,חברת ציטוט,,אי-תלות,2025-09-30,,,18623140.8572084,118.91,1.0,22144.77679,22144.777,,,,,0.692%,0.040%
170,2002,199.0,פנימי,הלוואה לגורם 199,2080450,אחר,,ישראל,,אנשים פרטיים,לא,לא,,2023-03-15,NR,NR,NR,ILS,7.58,קבועה,4.430%,,,,6.820%,2052-01-31,החוב לא נחות,,,,,,,,לא,חברת ציטוט,,אי-תלות,2025-09-30,,,6180429.17213272,82.84,1.0,5119.86753,5119.868,,,,,0.160%,0.009%
170,2002,199.0,פנימי,הלוואה לגורם 199,2080696,אחר,,ישראל,,אנשים פרטיים,לא,לא,,2023-03-15,NR,NR,NR,ILS,8.4,קבועה,4.430%,,,,6.950%,2052-01-31,החוב לא נחות,,,,,,,,לא,חברת ציטוט,,אי-תלות,2025-09-30,,,12072906.8927678,107.37,1.0,12962.68013,12962.68,,,,,0.405%,0.023%
170,2002,199.0,פנימי,הלוואה לגורם 199,2080697,אחר,,ישראל,,אנשים פרטיים,לא,לא,,2023-03-15,NR,NR,NR,ILS,8.08,קבועה,4.430%,,,,6.450%,2051-12-31,החוב לא נחות,,,,,,,,לא,חברת ציטוט,,אי-תלות,2025-09-30,,,1887364.21254057,109.87,1.0,2073.64706,2073.647,,,,,0.065%,0.004%
170,2002,199.0,פנימי,הלוואה לגורם 199,2080698,אחר,,ישראל,,אנשים פרטיים,לא,לא,,2023-03-15,NR,NR,NR,ILS,8.6,משתנה,0.07836,,,,6.000%,2052-01-31,החוב לא נחות,,,,,,,,לא,חברת ציטוט,,אי-תלות,2025-09-30,,,8547462.74476919,114.11,1.0,9753.50974,9753.51,,,,,0.305%,0.018%
