מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,סטאטוס סחירות,נכס בסיס (כתב אופציה),ענף מסחר,תאריך פקיעה,בעל עניין/צד קשור,תאריך רכישה,מטבע פעילות,סוג גורם משערך,תלות/אי-תלות המשערך,תאריך שערוך אחרון,שער מימוש,יחס המרה,ערך נקוב (יחידות),שער נייר הערך,שער חליפין,"שווי הוגן (באלפי ש""ח)",שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
170,9647,Mayers cars and trucks company limited,510485261,ח.פ.,Mayers cars and trucks Options,99368127.0,פנימי,ישראל,ישראל,לא סחיר,89430,מסחר,2026-05-16,לא,2023-12-31,ILS,אחר,אי-תלות,2025-09-30,515.4,1.0,2761.6,48.76,1.0,134.65561,3.229%,0.002%
170,9647,"אפריקה ישראל מגורים בע""מ",520034760,ח.פ.,אפריקה מגורים אופציה לא סחירה,99368129.0,פנימי,ישראל,ישראל,לא סחיר,IL0010979487,בנייה,2027-06-30,לא,2024-01-09,ILS,אחר,אי-תלות,2025-09-30,24000.0,1.0,8538.6,9386.45,1.0,801.47141,19.216%,0.009%
170,9647,רוטשטיין,520039959,ח.פ.,רוטשטיין אופציה לא סחירה,99368132.0,פנימי,ישראל,ישראל,לא סחיר,IL0005390153,בנייה,2026-04-10,לא,2024-05-08,ILS,אחר,אי-תלות,2025-09-30,4500.0,1.0,15747.132169714,4693.5,1.0,739.09165,17.721%,0.009%
170,9647,י.ח.דמרי בניה ופיתוח,511399388,ח.פ.,דמרי אופציה לא סחירה,99368055.0,פנימי,ישראל,ישראל,לא סחיר,IL0010903156,בנייה,2025-12-13,לא,2024-10-14,ILS,אחר,אי-תלות,2025-09-30,36000.0,1.0,1473.931571085,2663.86,1.0,39.26347,0.941%,0.000%
170,9647,אלומיי קפיטל בעמ דואלי,520039868,ח.פ.,אלומיי אופציה לא סחירה,99368087.0,פנימי,ישראל,ישראל,לא סחיר,IL0010826357,אנרגיה מתחדשת,2027-08-16,לא,2025-06-23,ILS,אחר,אי-תלות,2025-09-30,6970.0,1.0,4856.0,742.34,1.0,36.04803,0.864%,0.000%
170,9647,איסתא,520042763,ח.פ.,איסתא אופציה לא סחירה,99368089.0,פנימי,ישראל,ישראל,לא סחיר,IL0010810740,מלונאות ותיירות,2029-07-10,לא,2025-07-15,ILS,אחר,אי-תלות,2025-09-30,16000.0,1.0,8324.500961669,911.57,1.0,75.88365,1.819%,0.001%
170,9647,אקסל סולושנס גרופ בעמ,520031345,ח.פ.,אקסל אופציה לא סחירה,99368099.0,פנימי,ישראל,ישראל,לא סחיר,IL0007700169,שירותי מידע,2027-06-24,לא,2025-08-24,ILS,אחר,אי-תלות,2025-09-30,220.0,1.0,1157580.78360685,15.3,1.0,177.10986,4.246%,0.002%
170,9647,"איילון חברה לביטוח בע""מ",520030677,ח.פ.,איילון אופציה לא סחירה,99368100.0,פנימי,ישראל,ישראל,לא סחיר,IL0002090152,ביטוח,2026-06-30,לא,2025-09-03,ILS,אחר,אי-תלות,2025-09-30,7500.0,1.0,39535.72577754,318.33,1.0,125.85408,3.018%,0.001%
170,9647,"אלקטריאון וירלס בע""מ",520038126,ח.פ.,אלקטריאון אופציה לא סחירה 5.2027,99368102.0,פנימי,ישראל,ישראל,לא סחיר,IL0003680191,קלינטק,2027-05-31,לא,2025-09-04,ILS,אחר,אי-תלות,2025-09-30,6000.0,1.0,1736.845689791,1073.73,1.0,18.64903,0.447%,0.000%
170,9647,סולרום החזקות בעמ,515512580,ח.פ.,סולרום אופציה לא סחירה עמיתים,99368101.0,פנימי,ישראל,ישראל,לא סחיר,IL0011775181,ביטחוניות,2028-09-11,לא,2025-09-11,ILS,אחר,אי-תלות,2025-09-30,1050.0,1.0,155914.524129336,217.88,1.0,339.70656,8.145%,0.004%
170,9647,A2Z Smart technologies corp,875500SPYFJB375QFG54,LEI,AZ US Non Tradable Option,999999487.0,פנימי,"חו""ל",קנדה,לא סחיר,CA00249W1005,"Technology Hardware, Storage & Peripherals",2025-12-28,לא,2021-03-09,USD,אחר,אי-תלות,2025-09-30,0.9,1.0,17216.434083941,2.63,3.306,1.49693,0.036%,0.000%
170,9647,BEYOND OIL LTD,984500E796XC5AD68C60,LEI,BOIL CN Option A,99368083.0,פנימי,"חו""ל",קנדה,לא סחיר,CA0886691066,תעשיה,2027-03-12,לא,2025-05-20,CAD,אחר,אי-תלות,2025-09-30,6.0,1.0,42517.256858227,0.17,2.3745,17.16273,0.411%,0.000%
170,9647,BEYOND OIL LTD,984500E796XC5AD68C60,LEI,BOIL CN Option B,99368084.0,פנימי,"חו""ל",קנדה,לא סחיר,CA0886691066,תעשיה,2028-03-12,לא,2025-05-20,CAD,אחר,אי-תלות,2025-09-30,7.75,1.0,42517.256858227,0.23,2.3745,23.22016,0.557%,0.000%
170,12177,"אלקטריאון וירלס בע""מ",520038126,ח.פ.,אלקטריאון אופציה לא סחירה 9.2027,99368019.0,פנימי,ישראל,ישראל,לא סחיר,IL0003680191,קלינטק,2027-09-01,לא,2023-06-28,ILS,אחר,אי-תלות,2025-09-30,9500.0,1.0,5587.106154316,908.47,1.0,50.75718,1.298%,0.000%
170,12177,"שיכון ובינוי בע""מ - שכון ובינוי אחזקות",520036104,ח.פ.,שיכון ובינוי אופציה לא סחירה,99368125.0,פנימי,ישראל,ישראל,לא סחיר,IL0010819428,בנייה,2025-10-18,לא,2023-10-18,ILS,אחר,אי-תלות,2025-09-30,1100.0,1.0,426421.9,412.45,1.0,1758.77712,44.962%,0.017%
170,12177,Mayers cars and trucks company limited,510485261,ח.פ.,Mayers cars and trucks Options,99368127.0,פנימי,ישראל,ישראל,לא סחיר,89430,מסחר,2026-05-16,לא,2023-12-31,ILS,אחר,אי-תלות,2025-09-30,515.4,1.0,3337.0,48.76,1.0,162.71212,4.160%,0.002%
170,12177,"אפריקה ישראל מגורים בע""מ",520034760,ח.פ.,אפריקה מגורים אופציה לא סחירה,99368129.0,פנימי,ישראל,ישראל,לא סחיר,IL0010979487,בנייה,2027-06-30,לא,2024-01-09,ILS,אחר,אי-תלות,2025-09-30,24000.0,1.0,11792.2,9386.45,1.0,1106.86895,28.296%,0.010%
